seed,window,rate,H2,H3,dH,J2,J3
123,23,0.0,0.7732,1.1451,0.3719,0.0732,0.3422
123,24,0.0,0.9056,1.5546,0.649,-0.0153,0.5774
123,25,0.0,0.6402,0.6402,0.0,-0.0472,0.1047
314,1,0.0,0.7757,1.0729,0.2972,-0.3853,-0.2196
314,2,0.0,0.3612,0.8892,0.528,-0.4957,-0.1026
314,3,0.0,0.2762,0.549,0.2728,-0.29,-0.1957
314,4,0.0,1.571,1.961,0.39,0.8412,1.1228
314,5,0.0,1.75,1.75,0.0,0.6744,0.8214
314,6,0.0,-0.0,0.9457,0.9457,0.0579,0.8148
314,7,0.0,-0.0,-0.0,0.0,-0.5,-0.0404
314,8,0.0,-0.0,-0.0,0.0,-0.5,-0.5
314,9,0.0,-0.0,-0.0,0.0,-0.5,-0.5
314,10,0.0,-0.0,-0.0,0.0,-0.5,-0.5
314,11,0.0,-0.0,0.5665,0.5665,-0.5,0.0388
314,12,0.0,-0.0,0.8905,0.8905,-0.5,0.2786
314,13,0.0,-0.0,0.9612,0.9612,-0.5,0.2374
314,14,0.0,1.3716,1.6738,0.3022,0.6316,0.8806
314,15,0.0,1.0409,1.0409,0.0,0.3311,0.3853
314,16,0.0,0.3912,0.9913,0.6001,0.0109,0.4817
314,17,0.0,-0.0,-0.0,0.0,-0.3011,-0.1447
314,18,0.0,-0.0,0.469,0.469,-0.5,-0.0957
314,19,0.0,1.8464,2.2464,0.4,1.3145,1.6511
314,20,0.0,1.5466,1.5466,0.0,0.9107,1.0624
314,21,0.0,1.0892,1.6267,0.5375,0.3335,0.7971
314,22,0.0,0.8031,0.8031,0.0,0.0033,0.1493
314,23,0.0,1.3965,1.9,0.5035,0.6431,1.1623
314,24,0.0,-0.0,0.8631,0.8631,-0.0017,0.5689
314,25,0.0,1.5,1.5,0.0,1.0579,1.1376
456,1,0.0,0.9869,1.1636,0.1767,-0.1741,-0.1289
456,2,0.0,0.91,1.1511,0.2411,0.0276,0.1124
456,3,0.0,0.7345,0.7345,0.0,-0.1838,-0.0933
456,4,0.0,1.2516,1.614,0.3624,0.4436,0.751
456,5,0.0,-0.0,0.3912,0.3912,-0.0631,0.0399
456,6,0.0,-0.0,-0.0,0.0,-0.5,-0.3011
456,7,0.0,-0.0,0.3228,0.3228,-0.5,-0.2963
456,8,0.0,1.7472,2.1714,0.4242,1.5044,1.8499
456,9,0.0,1.1488,1.1488,0.0,0.8157,0.9421
456,10,0.0,1.0613,1.5488,0.4875,0.4283,0.8339
456,11,0.0,0.6998,0.6998,0.0,-0.1735,-0.0007
456,12,0.0,0.5033,0.8031,0.2998,0.0605,0.1907
456,13,0.0,0.6144,1.4108,0.7964,-0.1996,0.5743
456,14,0.0,-0.0,-0.0,0.0,-0.2593,-0.0218
456,15,0.0,0.3373,0.6686,0.3313,-0.2764,-0.0755
456,16,0.0,1.3216,1.7804,0.4588,0.5205,0.8677
456,17,0.0,1.2366,1.2366,0.0,0.1522,0.3407
456,18,0.0,0.9056,0.9056,0.0,0.1811,0.1811
456,19,0.0,0.4427,0.806,0.3633,-0.255,-0.0023
456,20,0.0,1.4834,1.7842,0.3008,0.9746,1.1288
456,21,0.0,1.2244,1.8366,0.6122,0.4405,0.9103
456,22,0.0,-0.0,-0.0,0.0,-0.0631,0.0974
456,23,0.0,-0.0,-0.0,0.0,-0.5,-0.5
456,24,0.0,1.2988,1.2988,0.0,0.7668,0.7668
456,25,0.0,1.371,1.6729,0.3019,0.4631,0.7223
789,1,0.0,0.7657,1.1492,0.3835,-0.2343,-0.0118
789,2,0.0,0.7876,1.1826,0.395,-0.1988,0.0648
789,3,0.0,-0.0,0.3298,0.3298,-0.2295,-0.1866
789,4,0.0,0.4972,1.0239,0.5267,-0.2955,0.0962
789,5,0.0,1.28,1.8776,0.5976,0.3983,0.8912
789,6,0.0,1.8911,1.8911,0.0,1.0582,1.139
789,7,0.0,0.7219,0.7219,0.0,0.4717,0.4717
789,8,0.0,-0.0,-0.0,0.0,-0.1713,-0.1713
789,9,0.0,1.7034,1.9698,0.2664,1.0794,1.2561
789,10,0.0,0.9864,1.4466,0.4602,0.2904,0.5913
789,11,0.0,1.0224,1.4961,0.4737,0.3608,0.6737
789,12,0.0,1.0409,1.0409,0.0,0.1133,0.2993
789,13,0.0,0.8167,1.4183,0.6016,0.1725,0.7157
789,14,0.0,1.761,2.2464,0.4854,0.9857,1.3673
789,15,0.0,0.9,1.1387,0.2387,0.0518,0.2832
789,16,0.0,1.1542,1.1542,0.0,0.0899,0.1642
789,17,0.0,0.6219,1.2116,0.5897,-0.1283,0.4197
789,18,0.0,0.6686,0.6686,0.0,-0.28,-0.0412
789,19,0.0,1.9406,2.2855,0.3449,1.2753,1.6269
789,20,0.0,1.0975,1.8289,0.7314,0.3348,0.9371
789,21,0.0,0.6402,1.1401,0.4999,-0.119,0.2951
789,22,0.0,1.404,1.6235,0.2195,0.4977,0.6027
789,23,0.0,1.1863,1.6738,0.4875,0.1186,0.5366
789,24,0.0,1.7882,1.7882,0.0,0.9688,1.0236
789,25,0.0,0.5132,0.5132,0.0,0.0068,0.0068
999,1,0.0,0.8456,1.1084,0.2628,-0.3154,-0.1841
999,2,0.0,1.4654,1.7642,0.2988,0.5162,0.6915
999,3,0.0,1.0138,1.4486,0.4348,0.0335,0.3394
999,4,0.0,1.4125,1.8521,0.4396,0.4578,0.7724
999,5,0.0,1.0409,1.614,0.5731,0.3846,0.7991
999,6,0.0,0.569,0.569,0.0,-0.2525,-0.0638
999,7,0.0,0.8659,1.6172,0.7513,0.142,0.949
999,8,0.0,1.2516,1.7925,0.5409,0.6291,1.0149
999,9,0.0,1.4838,1.9751,0.4913,0.6167,0.9774
999,10,0.0,1.871,1.871,0.0,1.0926,1.1329
999,11,0.0,1.1161,1.6714,0.5553,0.4452,0.8983
999,12,0.0,0.3373,1.0141,0.6768,-0.1663,0.303
999,13,0.0,1.574,1.574,0.0,0.8664,0.9396
999,14,0.0,0.5132,0.7654,0.2522,-0.1051,0.0064
999,15,0.0,0.6402,0.6402,0.0,-0.1314,-0.0882
999,16,0.0,0.3095,0.9445,0.635,-0.3092,0.2838
999,17,0.0,0.9882,1.2495,0.2613,0.1018,0.2684
999,18,0.0,-0.0,0.3373,0.3373,-0.1799,-0.135
999,19,0.0,-0.0,-0.0,0.0,-0.5,-0.3212
999,20,0.0,-0.0,-0.0,0.0,-0.5,-0.5
999,21,0.0,-0.0,0.7919,0.7919,-0.5,0.3609
999,22,0.0,1.3568,1.771,0.4142,0.6071,0.9003
999,23,0.0,-0.0,-0.0,0.0,-0.0887,-0.0137
999,24,0.0,1.4047,1.838,0.4333,0.6806,1.0638
999,25,0.0,-0.0,0.8454,0.8454,-0.0631,0.5005
1337,1,0.0,1.1798,1.3833,0.2035,0.0188,0.0908
1337,2,0.0,0.905,0.905,0.0,-0.1737,-0.0957
1337,3,0.0,0.3816,0.9701,0.5885,-0.4344,0.1337
1337,4,0.0,1.7828,1.9595,0.1767,1.0754,1.1309
1337,5,0.0,-0.0,-0.0,0.0,0.0579,0.0816
1337,6,0.0,0.5132,0.9274,0.4142,-0.2749,0.0713
1337,7,0.0,0.9665,1.2087,0.2422,0.1258,0.2174
1337,8,0.0,-0.0,-0.0,0.0,-0.1561,-0.1197
1337,9,0.0,1.9406,1.9406,0.0,1.445,1.445
1337,10,0.0,0.9056,1.2366,0.331,0.3461,0.5362
1337,11,0.0,-0.0,-0.0,0.0,-0.1713,-0.115
1337,12,0.0,0.6998,1.0389,0.3391,-0.0354,0.2066
1337,13,0.0,1.5683,1.5683,0.0,1.1491,1.164
1337,14,0.0,0.6144,1.3355,0.7211,0.2018,0.8129
1337,15,0.0,1.2075,1.2075,0.0,0.27,0.4447
1337,16,0.0,1.4746,1.7048,0.2302,0.8097,0.923
1337,17,0.0,1.3383,1.9329,0.5946,0.8531,1.349
1337,18,0.0,0.6402,1.3784,0.7382,-0.0734,0.5337
1337,19,0.0,-0.0,0.8905,0.8905,-0.2521,0.3487
1337,20,0.0,0.8659,1.2776,0.4117,0.1781,0.4856
1337,21,0.0,0.7345,0.7345,0.0,0.0215,0.0969
1337,22,0.0,1.8911,2.1133,0.2222,1.3465,1.5467
1337,23,0.0,0.8031,1.2752,0.4721,0.4211,0.7674
1337,24,0.0,0.7732,0.7732,0.0,0.0819,0.1661
1337,25,0.0,1.7899,1.7899,0.0,1.049,1.049
2024,1,0.0,0.9278,1.2885,0.3607,-0.2332,-0.004
2024,2,0.0,0.7781,1.0781,0.3,-0.3196,-0.1417
2024,3,0.0,0.6144,1.2332,0.6188,-0.2969,0.2448
2024,4,0.0,-0.0,0.6723,0.6723,-0.2593,0.1207
2024,5,0.0,1.0975,1.7689,0.6714,0.2846,0.8396
2024,6,0.0,0.8031,1.2752,0.4721,0.0082,0.365
2024,7,0.0,-0.0,0.4855,0.4855,-0.202,-0.0069
2024,8,0.0,-0.0,0.3621,0.3621,-0.5,-0.3756
2024,9,0.0,1.3527,1.8395,0.4868,0.839,1.2008
2024,10,0.0,1.2087,1.7056,0.4969,0.2867,0.6601
2024,11,0.0,1.1033,1.1033,0.0,0.3498,0.4641
2024,12,0.0,-0.0,0.469,0.469,-0.115,0.1118
2024,13,0.0,1.7783,1.7783,0.0,1.1752,1.2019
2024,14,0.0,0.8167,0.8167,0.0,0.1759,0.1759
2024,15,0.0,1.3216,1.8943,0.5727,0.3542,0.9846
2024,16,0.0,0.6402,1.2772,0.637,-0.0894,0.3903
2024,17,0.0,1.0224,1.7034,0.681,0.3362,0.8704
2024,18,0.0,0.9445,1.4047,0.4602,0.3323,0.659
2024,19,0.0,1.053,1.6729,0.6199,0.0969,0.6388
2024,20,0.0,0.3998,1.0092,0.6094,-0.3486,0.1187
2024,21,0.0,1.2087,1.4473,0.2386,0.3,0.44
2024,22,0.0,1.2516,1.614,0.3624,0.524,0.7376
2024,23,0.0,-0.0,-0.0,0.0,-0.0631,-0.0017
2024,24,0.0,0.9934,0.9934,0.0,0.1498,0.1498
2024,25,0.0,0.8659,1.4911,0.6252,0.0532,0.6958
7,1,0.0005,0.1493,0.4148,0.2655,-0.8507,-0.7462
7,2,0.0005,0.6806,1.135,0.4544,-0.2801,0.0686
7,3,0.0005,1.4372,1.9369,0.4997,0.518,0.9063
7,4,0.0005,1.4838,1.4838,0.0,0.3924,0.6065
7,5,0.0005,1.0583,1.0583,0.0,0.0526,0.0526
7,6,0.0005,0.7654,1.0144,0.249,-0.288,-0.0986
7,7,0.0005,-0.0,0.971,0.971,-0.2383,0.6227
7,8,0.0005,0.7742,0.7742,0.0,0.0637,0.3161
7,9,0.0005,1.4591,1.4591,0.0,1.0601,1.0601
7,10,0.0005,1.0409,1.4183,0.3774,0.7731,0.9981
7,11,0.0005,0.7732,1.1451,0.3719,0.1253,0.3371
7,12,0.0005,1.8554,2.1887,0.3333,1.1655,1.4464
7,13,0.0005,1.1401,1.1401,0.0,0.3652,0.5445
7,14,0.0005,1.4412,1.9477,0.5065,0.4212,0.9894
7,15,0.0005,0.5436,0.5436,0.0,0.087,0.2128
7,16,0.0005,0.8167,0.8167,0.0,0.029,0.029
7,17,0.0005,1.2917,1.8074,0.5157,0.343,0.8767
7,18,0.0005,-0.0,-0.0,0.0,-0.0999,0.0069
7,19,0.0005,1.723,2.1029,0.3799,1.1012,1.4245
7,20,0.0005,-0.0,0.5917,0.5917,0.0392,0.3411
7,21,0.0005,1.1982,1.7272,0.529,0.6155,0.991
7,22,0.0005,0.6998,1.0389,0.3391,-0.1196,0.1164
7,23,0.0005,0.469,0.469,0.0,-0.1338,-0.0566
7,24,0.0005,1.7296,2.1887,0.4591,1.0054,1.4705
7,25,0.0005,1.1488,1.1488,0.0,0.5297,0.6644
42,1,0.0005,0.2962,0.509,0.2128,-0.7038,-0.652
42,2,0.0005,0.8776,1.1983,0.3207,-0.0636,0.1363
42,3,0.0005,0.6998,1.0389,0.3391,-0.1866,-0.0084
42,4,0.0005,0.6686,1.1863,0.5177,-0.0771,0.2931
42,5,0.0005,1.054,1.4789,0.4249,0.1955,0.4597
42,6,0.0005,-0.0,0.6292,0.6292,-0.1286,0.2091
42,7,0.0005,-0.0,0.8524,0.8524,-0.5,0.1839
42,8,0.0005,0.5907,0.5907,0.0,-0.1753,0.0359
42,9,0.0005,1.2075,1.2075,0.0,0.273,0.273
42,10,0.0005,0.5033,1.2244,0.7211,0.0092,0.669
42,11,0.0005,0.9864,1.4466,0.4602,0.2277,0.5486
42,12,0.0005,-0.0,0.5033,0.5033,-0.1519,0.0609
42,13,0.0005,0.8659,0.8659,0.0,0.1781,0.25
42,14,0.0005,1.5466,2.0458,0.4992,0.6319,1.1577
42,15,0.0005,1.0975,1.3863,0.2888,0.1035,0.3372
42,16,0.0005,1.6212,2.0649,0.4437,0.643,1.0103
42,17,0.0005,-0.0,0.7642,0.7642,0.0003,0.472
