atom,category,obs_rank1_ratio_mean,uni_baseline_rank1_ratio_mean,delta_ratio,z_score_uniform,n_seeds_obs_appeared
FND.logic,FND,0.0,0.002497892867981303,-0.002497892867981303,-5.663585995940816,0
FND.languageless,FND,0.0,0.0015713051095745893,-0.0015713051095745893,-6.442033206641135,0
COG.enlightenment,COG,0.0,0.0011005959549521673,-0.0011005959549521673,-6.560928082655142,0
ELM.sky,ELM,0.0,0.0027844909071090764,-0.0027844909071090764,-7.282247152740804,0
WLD.religion,WLD,0.0,0.002074566836305446,-0.002074566836305446,-7.608310981695692,0
WLD.nonscience,WLD,0.0,0.004385942054648932,-0.004385942054648932,-7.635365677603534,0
PRP.whole,PRP,0.0,0.002219749682324377,-0.002219749682324377,-7.635890553948771,0
TIM.period,TIM,0.0,0.003995485294462246,-0.003995485294462246,-7.655594107645291,0
PRP.difficult,PRP,0.0,0.005070915946540217,-0.005070915946540217,-10.225830728148122,0
COM.practice,COM,0.0,0.006911598934285169,-0.006911598934285169,-11.78391905311405,0
ACT.make,ACT,0.0013498476194410951,0.013368429909446665,-0.01201858229000557,-12.064252193335085,24
SPC.direction,SPC,0.0,0.004205251210014635,-0.004205251210014635,-12.125763830227278,0
CHG.advance,CHG,0.0019694118123918746,0.010287656161112662,-0.008318244348720787,-12.893551979346656,23
WLD.realm,WLD,0.003616173128742539,0.012093314065217249,-0.00847714093647471,-13.289126050675012,24
LOG.cause,LOG,0.00171721781518096,0.012973547551129868,-0.011256329735948908,-15.528742582537037,24
PRP.new,PRP,4.517673867406473e-05,0.017813034538913336,-0.017767857800239272,-20.246481774995218,9
TIM.past,TIM,0.0,0.047151291156545545,-0.047151291156545545,-31.421308875950995,0
WLD.science,WLD,0.0001341461608789304,0.02464880895528461,-0.02451466279440568,-32.049264116570285,6
COM.conduct,COM,0.025125443941716622,0.09004969235090926,-0.06492424840919264,-47.23208699438028,24
TIM.moment,TIM,0.05069255448081613,0.5918057384864085,-0.5411131840055924,-184.32711468869545,24
