window,link_id,age_r_current,max_age_r_so_far
20,"(1574,2336)",0,0
20,"(393,2295)",0,0
20,"(1288,1304)",0,0
20,"(1759,2875)",0,0
20,"(2923,4410)",0,0
20,"(24,1265)",0,0
20,"(2683,2851)",0,0
20,"(522,724)",0,0
20,"(3456,4235)",0,0
20,"(124,3832)",0,0
20,"(34,677)",0,0
20,"(1497,3634)",0,0
20,"(1336,2405)",0,0
20,"(509,3530)",0,0
20,"(1361,2169)",0,0
20,"(540,4011)",0,0
20,"(1228,2993)",0,0
20,"(724,1324)",0,0
20,"(1308,1789)",0,0
20,"(3528,3599)",0,0
20,"(2390,2876)",0,0
20,"(4009,4397)",0,0
20,"(2624,2634)",0,0
20,"(1346,2840)",0,0
20,"(3703,3716)",0,0
20,"(2341,3514)",0,0
20,"(2572,3792)",0,0
20,"(784,4650)",0,0
20,"(1013,2258)",0,0
20,"(333,4485)",0,0
20,"(905,1907)",0,0
20,"(804,2907)",0,0
20,"(1265,1841)",0,0
20,"(2814,4084)",0,0
20,"(2186,4106)",0,0
20,"(1684,4762)",0,0
20,"(2921,3163)",0,0
20,"(2299,2936)",0,0
20,"(1923,3768)",0,0
20,"(504,1046)",0,0
20,"(1195,1228)",0,0
20,"(1116,4727)",0,0
20,"(2369,3939)",0,0
20,"(216,2341)",0,0
20,"(2079,4631)",0,0
20,"(1341,4702)",0,0
20,"(4080,4411)",0,0
20,"(1511,4704)",0,0
20,"(3844,4728)",0,0
20,"(1521,2911)",0,0
20,"(3506,3686)",0,0
20,"(2310,2699)",0,0
20,"(2010,3075)",0,0
20,"(2126,2649)",0,0
20,"(3977,4848)",0,0
20,"(2004,2772)",0,0
20,"(1800,2893)",0,0
20,"(518,2800)",0,0
20,"(318,3678)",0,0
20,"(2166,2196)",0,0
20,"(373,3348)",0,0
20,"(829,1758)",0,0
20,"(2203,4823)",0,0
20,"(150,4624)",0,0
20,"(3719,4674)",0,0
20,"(2663,3532)",0,0
20,"(500,3690)",0,0
20,"(1943,4603)",0,0
20,"(2530,3762)",0,0
20,"(29,3287)",0,0
20,"(215,1836)",0,0
20,"(4648,4886)",0,0
20,"(2998,4397)",0,0
20,"(2352,3611)",0,0
20,"(1590,3145)",0,0
20,"(3277,3403)",0,0
20,"(1270,1334)",0,0
20,"(2152,2619)",0,0
20,"(1150,4041)",0,0
20,"(2880,2949)",0,0
20,"(2286,4196)",0,0
20,"(480,3280)",0,0
20,"(368,2056)",0,0
20,"(1203,1280)",0,0
20,"(70,4464)",0,0
20,"(1152,1234)",0,0
20,"(1216,2301)",0,0
20,"(2598,4404)",0,0
20,"(3942,4966)",0,0
20,"(538,2997)",0,0
20,"(338,4629)",0,0
20,"(3612,4453)",0,0
20,"(3498,4925)",0,0
20,"(1279,3116)",0,0
20,"(3680,4178)",0,0
20,"(1000,1486)",0,0
20,"(1548,3506)",0,0
20,"(3677,4932)",0,0
20,"(320,680)",0,0
20,"(697,2473)",0,0
20,"(2358,3496)",0,0
20,"(4018,4215)",0,0
20,"(1511,4563)",0,0
20,"(624,2259)",0,0
20,"(1645,2168)",0,0
20,"(2745,4435)",0,0
20,"(1245,4156)",0,0
20,"(29,3254)",0,0
20,"(3629,4869)",0,0
20,"(155,3479)",0,0
20,"(1358,4181)",0,0
20,"(1570,4217)",0,0
20,"(847,3822)",0,0
20,"(519,3611)",0,0
20,"(1522,4814)",0,0
20,"(2727,3497)",0,0
20,"(552,4318)",0,0
20,"(4037,4820)",0,0
20,"(2698,3964)",0,0
20,"(2740,3552)",0,0
20,"(2788,4495)",0,0
20,"(2184,4911)",0,0
20,"(2846,3798)",0,0
20,"(587,3494)",0,0
20,"(4228,4652)",0,0
20,"(2361,4808)",0,0
20,"(2408,4511)",0,0
20,"(159,4257)",0,0
20,"(1032,2016)",0,0
20,"(1435,2140)",0,0
20,"(315,4095)",0,0
20,"(248,2873)",0,0
20,"(3784,4998)",0,0
20,"(1866,2363)",0,0
20,"(373,658)",0,0
20,"(3517,3750)",0,0
20,"(2425,3638)",0,0
20,"(1307,4062)",0,0
20,"(3475,4019)",0,0
20,"(156,4452)",0,0
20,"(560,4313)",0,0
20,"(2141,3470)",0,0
20,"(386,713)",0,0
20,"(624,770)",0,0
20,"(1810,2961)",0,0
20,"(2162,3300)",0,0
20,"(472,4730)",0,0
20,"(2949,3535)",0,0
20,"(2368,3526)",0,0
20,"(2102,4422)",0,0
20,"(1544,3902)",0,0
20,"(3943,4100)",0,0
20,"(1972,2622)",0,0
20,"(3082,3512)",0,0
20,"(1338,2979)",0,0
20,"(619,1077)",0,0
20,"(3849,3913)",0,0
20,"(1059,1120)",0,0
20,"(691,2759)",0,0
20,"(637,1247)",0,0
20,"(2433,3776)",0,0
20,"(104,4805)",0,0
20,"(608,4567)",0,0
20,"(879,2995)",0,0
20,"(1093,1118)",0,0
20,"(629,834)",0,0
20,"(3131,3934)",0,0
20,"(1926,3270)",0,0
20,"(1191,1360)",0,0
20,"(3408,3919)",0,0
20,"(687,3175)",0,0
20,"(4077,4980)",0,0
20,"(4184,4963)",0,0
20,"(3539,3764)",0,0
20,"(595,733)",0,0
20,"(725,1602)",0,0
20,"(1019,1820)",0,0
20,"(222,981)",0,0
20,"(899,2248)",0,0
20,"(1154,3706)",0,0
20,"(3521,3809)",0,0
20,"(3759,4275)",0,0
20,"(798,2058)",0,0
20,"(292,1203)",0,0
20,"(3130,4481)",0,0
20,"(370,4649)",0,0
20,"(2466,4846)",0,0
20,"(1726,3989)",0,0
20,"(97,1457)",0,0
20,"(2647,3029)",0,0
20,"(3626,4890)",0,0
20,"(720,4595)",0,0
20,"(699,1274)",0,0
20,"(609,2320)",0,0
20,"(503,4782)",0,0
20,"(95,1281)",0,0
20,"(1904,2697)",0,0
20,"(349,2100)",0,0
20,"(1078,4461)",0,0
20,"(164,2463)",0,0
20,"(1481,4994)",0,190
20,"(2266,2640)",0,0
20,"(308,1281)",0,0
20,"(1213,1387)",0,0
