seed,window,links,v_labels,alive_tracked,mean_social,mean_stability,mean_spread,mean_familiarity,count_social,count_isolated,count_deeply_connected,reciprocal_pairs,asymmetric_pairs,fam_symmetry_mean,fam_symmetry_std,att_overlap_mean,att_overlap_pairs
31,20,2935,18,18,0.4127,0.6624,0.852,23.6266,6,6,13,34,28,0.8812,0.2013,26.4,140
31,21,2885,24,24,0.3623,0.6783,0.8288,18.6721,8,9,20,58,57,0.8236,0.2798,28.5,224
31,22,2865,24,24,0.4077,0.6776,0.8188,11.7097,8,7,14,71,60,0.8467,0.2455,34.3,260
31,23,2787,26,26,0.4404,0.6718,0.8123,11.5794,10,8,13,95,70,0.8531,0.2179,32.2,303
31,24,2799,30,30,0.4108,0.6574,0.8195,12.5471,10,9,16,118,89,0.826,0.2531,28.4,387
31,25,2785,27,27,0.4182,0.6681,0.8077,15.1199,11,9,17,107,71,0.8305,0.2581,32.2,307
31,26,2818,23,23,0.4902,0.6795,0.822,9.9528,11,4,12,100,51,0.8337,0.2449,40.6,240
31,27,2679,22,22,0.5173,0.6592,0.8129,8.3178,11,4,2,110,52,0.8224,0.2458,46.9,224
31,28,2722,26,26,0.4526,0.6655,0.8176,12.7959,13,8,10,119,64,0.8148,0.2519,37.3,291
31,29,2817,24,24,0.498,0.6722,0.8321,10.8796,13,6,10,110,63,0.7943,0.2681,47.1,254
