seed,window,links,v_labels,alive_tracked,mean_social,mean_stability,mean_spread,mean_familiarity,count_social,count_isolated,count_deeply_connected,reciprocal_pairs,asymmetric_pairs,fam_symmetry_mean,fam_symmetry_std,att_overlap_mean,att_overlap_pairs
21,20,2883,22,22,0.4139,0.6758,0.8564,13.8705,9,7,18,56,52,0.9057,0.1841,25.4,221
21,21,2869,23,23,0.5066,0.6662,0.8268,14.6938,11,6,16,94,50,0.8098,0.2802,45.5,242
21,22,2884,21,21,0.5774,0.6674,0.8222,9.8489,12,3,11,96,47,0.7949,0.287,48.4,206
21,23,2972,24,24,0.5417,0.673,0.825,12.9625,13,5,14,110,69,0.8138,0.2564,46.5,268
21,24,2856,31,31,0.4618,0.6768,0.8267,14.6647,14,10,21,137,113,0.821,0.252,41.3,434
21,25,2921,28,28,0.5122,0.6686,0.8218,13.747,14,5,15,139,97,0.8215,0.2461,49.7,360
21,26,2951,26,26,0.5769,0.6673,0.8255,10.5043,16,2,16,166,70,0.8047,0.2672,56.8,317
21,27,2935,30,30,0.4992,0.6562,0.8276,14.2462,14,6,19,175,100,0.7864,0.2936,55.0,415
21,28,2956,29,29,0.5525,0.6754,0.8252,11.8961,18,7,19,169,102,0.7588,0.2843,57.5,393
21,29,2819,29,29,0.5533,0.6739,0.8338,10.9222,17,6,16,175,90,0.8007,0.2528,64.2,394
