window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node
181,4803,3063,1,5,1,1.9878,1,40.7,3069,0,4.61,1.0374,2968.0,10,1.0,11,4,1,228,0.024061,0.1494,116.2791,180,21.0,0.0939,0.0308,1,0
182,4802,2886,0,0,3,1.9732,2,39.5,5,2881,4.35,0.9749,2960.2,5,1.0,10,2,3,248,0.020666,0.1404,56.6038,181,22.9,0.0982,0.0285,0,1
183,4802,2995,0,0,3,1.9553,1,40.5,2992,0,4.44,1.0106,2963.5,3,1.0,8,0,2,207,0.025588,0.1636,58.8235,182,29.4,0.1055,0.0351,0,0
184,4802,2986,1,5,3,1.906,1,39.8,2978,0,4.46,1.0069,2965.7,8,1.0,8,1,1,212,0.026656,0.1562,131.1475,183,28.2,0.1062,0.0322,1,1
185,4801,2919,2,5,3,1.9576,1,40.0,8,2911,4.5,0.9857,2961.2,8,1.0,10,4,2,246,0.022567,0.1739,107.6923,184,23.4,0.1039,0.0446,1,0
186,4800,2927,1,4,3,1.9591,2,40.9,4,2923,4.46,0.9895,2958.0,4,1.0,9,1,2,241,0.02084,0.1486,58.8235,185,25.7,0.0973,0.0338,0,1
187,4797,2903,0,0,3,1.9756,2,39.7,0,2903,4.39,0.9832,2952.7,0,1.0,9,0,0,208,0.026704,0.2182,0.0,186,26.7,0.0982,0.0415,0,0
188,4796,2873,1,3,3,1.9924,1,40.2,3,2870,4.33,0.9755,2945.1,3,1.0,8,1,2,209,0.025557,0.2,76.9231,187,29.1,0.1187,0.0423,0,1
189,4796,2938,1,3,3,1.9876,1,39.7,5,2929,4.41,0.9978,2944.4,9,1.0,10,5,3,226,0.022883,0.2167,145.4545,188,23.8,0.0917,0.0484,0,0
190,4794,2938,0,0,3,1.9174,2,40.2,3,2935,4.47,0.998,2943.8,3,1.0,10,0,0,192,0.026868,0.1791,45.4545,189,24.8,0.1157,0.0366,0,0
191,4793,2994,0,0,3,1.8861,1,39.8,2991,0,4.51,1.0154,2948.6,3,1.0,7,0,3,192,0.025288,0.1846,50.0,190,36.0,0.1423,0.0295,0,0
192,4793,2928,1,5,1,1.9003,1,39.9,3,2925,4.5,0.9937,2946.6,3,1.0,6,1,2,187,0.030403,0.3043,68.1818,191,40.7,0.1159,0.0684,1,2
193,4790,2954,1,5,3,1.8834,1,40.4,2935,0,4.52,1.0023,2947.3,19,1.0,13,12,5,213,0.019436,0.1184,279.4118,192,19.2,0.0954,0.0255,1,0
194,4788,2853,0,0,3,1.7964,2,40.2,11,2842,4.33,0.9709,2938.4,11,1.0,13,0,0,209,0.022358,0.1351,161.7647,193,20.2,0.0709,0.0239,0,0
195,4788,2952,3,5,1,1.7927,1,40.9,2933,0,4.46,1.0042,2939.7,19,1.0,13,3,3,268,0.017536,0.1327,104.7794,194,20.8,0.085,0.025,1,0
196,4786,2940,0,0,3,1.7767,1,40.3,2932,0,4.43,1.0001,2939.7,8,1.0,12,2,3,269,0.018858,0.1507,25.3412,195,23.3,0.0788,0.0364,0,1
197,4786,2854,0,0,3,1.7479,1,41.2,7,2847,4.37,0.9736,2931.5,7,1.0,11,1,2,228,0.021582,0.1475,34.925,196,26.2,0.0943,0.0274,0,0
198,4784,2911,0,0,3,1.8227,1,39.3,4,2907,4.39,0.9937,2929.6,4,1.0,10,1,2,227,0.020654,0.1481,61.2245,197,29.6,0.1049,0.0351,0,1
199,4782,2921,0,0,0,1.8632,1,40.4,3,2915,4.47,0.9974,2928.8,6,1.0,10,3,3,216,0.023763,0.2429,76.9231,198,30.0,0.0714,0.052,0,0
200,4782,2950,0,0,3,1.8589,1,40.4,2946,0,4.45,1.0066,2930.8,4,1.0,9,1,2,203,0.025758,0.1633,65.2174,199,32.2,0.1156,0.039,0,0
