window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini
114,4862,2933,3,5,1,1.9622,2,15.7,0,2918,4.36,0.9776,3000.2,15,1.0,36,3,0,770,0.002337,0.0524,66.3717,108,38.1,0.0287,0.011,3,0,0,0,0.087336,0.015625,32,0.8211,6.0258,0.4513
115,4860,2976,0,0,1,1.9147,2,22.9,2,2969,4.43,0.9927,2997.9,7,1.0,35,2,3,785,0.00237,0.0526,31.9635,109,39.9,0.0292,0.0107,0,1,0,0,0.092105,0.015625,32,0.8304,6.0785,0.4505
116,4858,2994,0,0,3,1.9727,1,22.7,4,2985,4.42,0.9988,2997.5,9,1.0,35,4,4,774,0.002401,0.0576,14.8122,110,40.9,0.0288,0.0115,0,0,0,0,0.078189,0.015625,31,0.8002,6.132,0.4493
117,4857,3108,2,8,3,1.9839,1,19.6,3104,0,4.5,1.0368,3009.2,16,1.0,36,2,1,807,0.002703,0.08,57.1644,111,40.7,0.0259,0.0162,1,0,0,0,0.08,0.015625,32,0.8047,6.212,0.4473
118,4853,2934,1,5,3,1.9329,1,16.3,3,2926,4.42,0.9773,3002.0,8,1.0,36,1,1,818,0.002743,0.0673,20.7645,112,41.4,0.0263,0.0136,1,1,0,0,0.089686,0.015625,33,0.8258,6.2568,0.4454
119,4852,3022,0,0,3,1.9424,2,15.8,3019,0,4.45,1.006,3003.9,3,1.0,36,0,0,795,0.002353,0.0558,0.0,113,42.4,0.0289,0.0108,0,0,0,0,0.095618,0.015625,32,0.8366,6.3006,0.4444
120,4849,3009,1,4,1,1.9685,1,15.7,3002,0,4.45,1.0015,3004.4,7,1.0,37,2,1,818,0.002331,0.0519,4.9257,114,42.3,0.0277,0.01,0,0,0,0,0.051948,0.015625,33,0.6992,6.3353,0.443
121,4843,2977,1,5,3,1.9975,1,15.8,0,2972,4.42,0.9917,3001.8,5,1.0,38,1,0,821,0.002281,0.0579,20.9205,115,42.1,0.0264,0.0102,1,0,0,0,0.086777,0.015625,33,0.8199,6.3559,0.4413
122,4840,3022,1,5,3,1.9713,2,15.7,3022,0,4.51,1.0061,3003.7,0,1.0,37,1,2,842,0.00195,0.0437,0.0,116,44.0,0.0271,0.0097,1,2,0,0,0.104803,0.015625,33,0.8509,6.3778,0.4403
123,4837,2971,2,5,3,1.9778,2,15.6,0,2967,4.42,0.9901,3000.6,4,1.0,39,2,0,826,0.002291,0.0558,17.5439,117,42.7,0.0262,0.011,1,0,0,0,0.103004,0.015625,32,0.8483,6.4336,0.4394
124,4836,3038,2,4,3,1.9749,2,15.7,3030,0,4.52,1.0113,3004.2,8,1.0,42,7,4,874,0.001964,0.0414,31.746,118,40.2,0.0232,0.0078,0,1,0,0,0.067669,0.015625,34,0.7691,6.4749,0.4381
125,4836,2972,3,4,3,1.9922,2,18.2,15,2952,4.39,0.9903,3001.1,20,1.0,47,11,6,902,0.002049,0.0381,80.7175,119,36.8,0.0221,0.0086,0,0,0,0,0.076271,0.015625,36,0.7951,6.513,0.4369
126,4832,2999,0,0,1,1.9974,2,15.6,4,2990,4.53,0.9994,3000.9,9,1.0,43,0,4,882,0.001886,0.0451,35.2941,120,41.0,0.024,0.0084,0,0,0,0,0.067669,0.015625,36,0.7691,6.5394,0.436
127,4830,2931,0,0,3,1.9967,1,17.8,5,2922,4.41,0.9789,2994.2,9,1.0,43,1,1,856,0.001683,0.0422,34.9345,121,42.0,0.0234,0.0085,0,0,0,0,0.080169,0.015625,36,0.8051,6.5815,0.4353
128,4828,3099,1,4,3,1.9735,1,15.6,3096,0,4.58,1.034,3005.0,11,1.0,42,5,6,885,0.001701,0.0724,31.3589,122,43.7,0.0216,0.0128,0,1,0,0,0.072368,0.015625,40,0.7841,6.6408,0.434
