window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini
1,5000,6034,13,6,0,1.9984,0,18.3,0,0,6.5,1.0,6034.0,632,1.0,396,611,215,2116,0.000922,0.006,412.688,0,0.0,0.0,0.001,0,0,0,0,0.036702,0.015625,64,0.5743,0.0367,0.2221
2,5000,3715,2,3,0,1.9984,0,17.0,449,3236,5.26,0.8308,4508.7,479,1.0,373,17,40,2167,0.001004,0.0085,385.6103,1,1.0,0.0,0.0012,0,0,0,0,0.035109,0.015625,64,0.555,0.0668,0.2199
3,5000,3445,1,5,0,1.9984,0,16.8,250,3210,4.86,0.8695,3988.3,235,1.0,295,1,79,2048,0.001083,0.0093,250.8004,2,2.0,0.0068,0.0014,1,0,0,0,0.030483,0.015625,63,0.4874,0.0939,0.2305
4,5000,3133,0,0,1,1.9984,0,16.7,65,3102,4.62,0.8653,3659.8,31,1.0,183,0,112,1801,0.001274,0.0117,53.7262,3,3.0,0.0103,0.0022,0,0,0,0,0.039589,0.015625,62,0.6053,0.1288,0.2432
5,5000,3066,0,0,0,1.9985,0,16.6,0,3066,4.41,0.8856,3461.9,0,1.0,162,0,21,1338,0.001864,0.0362,0.0,4,4.0,0.0362,0.0042,0,0,0,0,0.05314,0.015625,57,0.706,0.1602,0.264
6,5000,2968,1,5,0,1.9988,0,16.4,1,2962,4.37,0.8938,3320.8,6,1.0,109,2,55,1265,0.001839,0.0218,13.8504,5,4.9,0.0182,0.0036,1,0,0,0,0.053398,0.015625,56,0.7074,0.2039,0.28
7,5000,3153,1,5,0,1.9971,1,16.4,9,3144,4.47,0.9616,3278.8,9,1.0,82,5,32,955,0.002491,0.0347,31.0345,6,5.7,0.0263,0.0056,1,0,0,0,0.053628,0.015625,51,0.7086,0.2484,0.2917
8,5000,3060,0,0,1,1.997,2,16.4,9,3051,4.42,0.9473,3230.2,9,1.0,58,0,24,809,0.002967,0.0444,40.9091,7,6.5,0.0309,0.0075,0,0,0,0,0.084677,0.015625,44,0.8155,0.3037,0.3115
9,5000,3090,2,5,0,1.9931,1,16.5,8,3072,4.45,0.965,3202.2,18,1.0,43,2,17,638,0.004106,0.0594,97.2973,8,7.0,0.0436,0.0125,2,0,0,0,0.089109,0.015625,36,0.8247,0.368,0.3282
10,5000,3138,1,5,0,1.9932,1,16.5,3,3130,4.52,0.9835,3190.5,8,1.0,38,1,6,529,0.004932,0.0659,51.2821,9,7.6,0.0479,0.0146,1,0,0,0,0.08982,0.015625,30,0.826,0.4459,0.3454
11,5000,3120,1,5,0,1.9931,2,16.4,0,3105,4.51,0.9815,3178.7,15,1.0,39,6,5,522,0.005336,0.0765,86.2069,10,7.4,0.039,0.0136,1,0,0,0,0.10929,0.015625,29,0.857,0.5552,0.3606
12,5000,3144,1,3,1,1.9892,2,16.4,6,3133,4.48,0.9907,3173.4,11,1.0,33,4,10,518,0.005404,0.0743,67.0732,11,7.7,0.0531,0.0165,0,0,0,0,0.074286,0.015625,29,0.7897,0.6066,0.3738
13,5000,3122,0,0,3,1.9627,2,16.4,7,3110,4.45,0.9861,3166.1,12,1.0,29,4,8,455,0.005916,0.0803,91.6031,12,8.1,0.0521,0.0179,0,0,0,0,0.080292,0.015625,26,0.8054,0.6358,0.3888
14,5000,3090,2,5,1,1.972,1,16.4,11,3075,4.53,0.9791,3155.9,15,1.0,26,4,7,463,0.006248,0.0676,109.4891,13,8.2,0.049,0.0177,1,0,0,0,0.101351,0.015625,27,0.8458,0.6426,0.402
15,5000,3041,0,0,1,1.9436,1,16.4,11,3030,4.47,0.968,3141.6,11,1.0,23,0,3,412,0.006711,0.0855,99.0991,14,8.6,0.0534,0.0219,0,0,0,0,0.111111,0.015625,22,0.8594,0.7042,0.4157
16,5000,3158,0,0,3,1.9846,1,16.4,3151,0,4.52,1.0046,3143.5,7,1.0,22,0,1,383,0.007266,0.0849,58.8235,15,10.0,0.0531,0.0219,0,0,0,0,0.141509,0.015625,21,0.8896,0.8457,0.4317
17,5000,3099,0,0,3,1.9254,1,16.4,7,3092,4.5,0.9874,3138.5,7,1.0,20,0,2,378,0.006494,0.102,63.8298,16,11.2,0.0525,0.0236,0,1,0,0,0.122449,0.015625,20,0.8724,0.9171,0.4478
18,5000,3166,1,5,3,1.973,1,16.5,3162,0,4.56,1.0078,3141.4,4,1.0,18,1,3,342,0.008373,0.1064,43.4783,17,11.9,0.0691,0.0273,1,0,0,0,0.117021,0.015625,17,0.8665,1.0341,0.4617
19,5000,3087,1,5,1,1.966,1,16.5,0,3082,4.36,0.9844,3136.0,5,1.0,17,1,2,357,0.007665,0.1053,54.3478,18,11.6,0.0702,0.0232,1,0,0,0,0.178947,0.015625,16,0.9127,1.2131,0.4764
20,5000,3120,1,3,3,1.966,2,16.5,3,3112,4.48,0.9954,3134.5,8,1.0,22,6,1,368,0.007138,0.0932,70.1754,19,9.7,0.0556,0.0224,0,0,0,0,0.101695,0.015625,18,0.8464,1.2894,0.484
21,5000,3065,2,5,3,1.8501,2,16.4,3,3047,4.35,0.9799,3127.9,18,1.0,22,2,2,414,0.007424,0.1007,135.3383,20,10.6,0.0536,0.023,2,0,0,0,0.136691,0.015625,18,0.8857,1.4045,0.494
22,5000,3128,1,5,3,1.7849,2,16.5,3116,0,4.51,1.0,3127.9,12,1.0,22,1,1,434,0.007368,0.1029,83.9695,21,11.5,0.0527,0.0246,1,0,0,0,0.110294,0.015625,18,0.8583,1.4486,0.5023
23,5000,2990,1,3,3,1.8069,2,16.8,7,2978,4.37,0.96,3114.7,12,1.0,24,8,6,468,0.0055,0.1088,71.4286,22,10.5,0.051,0.0202,0,0,0,0,0.163265,0.015625,21,0.9043,1.6119,0.508
24,4999,3153,3,5,3,1.8069,2,16.8,3136,0,4.45,1.0111,3118.4,17,1.0,26,5,3,491,0.006183,0.0786,126.8657,23,9.7,0.0456,0.019,1,0,0,0,0.107143,0.015625,22,0.8542,1.719,0.5079
25,4999,3093,0,0,3,1.7734,2,16.7,0,3084,4.47,0.9926,3116.0,9,1.0,24,0,2,487,0.006328,0.1104,60.0,24,10.7,0.0509,0.0208,0,1,0,0,0.11039,0.015625,21,0.8585,1.7904,0.5113
26,4999,3084,2,5,3,1.7723,1,17.0,4,3070,4.49,0.9907,3112.9,14,1.0,23,2,3,494,0.005575,0.0839,100.7194,25,11.7,0.0466,0.0182,1,1,0,0,0.111888,0.015625,21,0.8604,1.8813,0.5122
27,4999,3095,2,5,3,1.8314,1,16.6,5,3080,4.41,0.9948,3111.2,15,1.0,24,3,2,507,0.00637,0.0694,100.0,26,12.0,0.0459,0.0173,1,0,0,0,0.097222,0.015625,22,0.8393,1.9369,0.511
28,4998,2994,1,5,1,1.7899,2,16.7,4,2980,4.48,0.9658,3100.0,14,1.0,23,1,2,513,0.005694,0.1007,102.9412,27,12.7,0.0487,0.0201,1,1,0,0,0.100719,0.015625,21,0.8449,2.0232,0.5123
29,4996,3070,2,5,3,1.9749,2,16.8,9,3056,4.44,0.9912,3097.2,14,1.0,24,4,3,522,0.006111,0.0667,88.0503,28,12.2,0.0415,0.0158,1,1,0,0,0.09697,0.015625,21,0.8389,2.0899,0.5121
30,4994,3026,0,0,3,1.9955,2,16.5,9,3017,4.4,0.9792,3090.4,9,1.0,21,0,3,470,0.006415,0.1079,65.6934,29,12.3,0.0493,0.0239,0,0,0,0,0.107914,0.015625,19,0.8552,2.1474,0.5117
31,4990,3121,0,0,3,1.97,1,16.7,3109,0,4.49,1.0089,3093.3,12,1.0,23,4,2,474,0.00592,0.0759,86.3309,30,12.2,0.0472,0.0147,0,0,0,0,0.096552,0.015625,20,0.8382,2.244,0.5143
32,4988,2995,0,0,0,1.9254,1,16.4,3,2992,4.4,0.9712,3084.0,3,1.0,24,3,2,495,0.00484,0.0859,16.2602,31,12.6,0.0385,0.0168,0,0,0,0,0.117188,0.015625,23,0.8667,2.3612,0.517
33,4987,3040,0,0,3,1.9357,1,16.5,0,3040,4.47,0.9871,3079.8,0,1.0,23,0,1,479,0.004646,0.0775,0.0,32,14.0,0.0464,0.019,0,1,0,0,0.140845,0.015625,21,0.8891,2.502,0.5226
34,4982,2967,1,3,3,1.9742,1,16.5,5,2962,4.4,0.9668,3069.0,5,1.0,21,4,6,478,0.004931,0.084,41.3223,33,14.8,0.0444,0.0161,0,1,0,0,0.083969,0.015625,23,0.8139,2.5707,0.5246
