seed,window,A_islands,A_nodes_in_isl,B_islands,B_nodes_in_isl,C_islands,C_nodes_in_isl,tripartite,boundary_links,boundary_weight,concept_entropy,n_bridges,persistent_bridges,bridge_mean_life,bridge_max_life,bridges_AC,bridges_AB,bridges_BC,global_k,div_flag,merge,split,r0_concept,r1_concept,r2_concept,r3_concept
10,1,0,0,0,0,0,0,0,2056,57.1503,1.5842,5,0,1.0,1,4,0,1,0,0,0,0,A,B,A,B
10,2,1,2,0,0,0,0,0,2115,61.8921,1.5841,10,0,1.0,1,4,3,3,0,0,0,0,A,B,A,B
10,3,0,0,0,0,0,0,0,1984,55.049,1.579,3,0,1.0,1,2,1,0,3,1,0,0,A,B,A,B
10,4,0,0,0,0,0,0,0,1979,56.3879,1.5758,8,0,1.0,1,1,4,3,1,1,0,0,A,B,A,B
10,5,0,0,0,0,0,0,0,1964,54.562,1.5656,6,0,1.0,1,2,3,1,1,1,0,0,C,B,A,B
10,6,0,0,0,0,0,0,0,2060,55.4583,1.448,1,0,1.0,1,0,0,1,1,1,0,0,A,B,A,B
10,7,0,0,0,0,0,0,0,2129,62.4052,1.5269,8,0,1.0,1,5,2,1,4,1,0,0,A,B,A,B
10,8,0,0,0,0,0,0,0,2040,56.8503,1.5695,3,0,1.0,1,1,1,1,4,0,0,0,A,B,A,B
10,9,0,0,0,0,0,0,0,2047,56.6586,1.5477,1,0,1.0,1,0,1,0,4,0,0,0,A,B,A,B
10,10,0,0,0,0,0,0,0,2057,57.5201,1.5766,4,0,1.0,1,2,1,1,1,1,0,0,A,B,A,B
10,11,0,0,0,0,0,0,0,2016,54.3961,1.5567,3,0,1.0,1,1,0,2,3,1,0,0,C,B,A,B
10,12,1,3,0,0,0,0,1,2121,58.7541,1.5697,4,0,1.0,1,3,0,1,1,1,0,0,A,B,A,B
10,13,0,0,0,0,0,0,0,2032,54.9711,1.4949,7,0,1.0,1,3,3,1,4,0,0,0,A,B,A,C
10,14,0,0,0,0,0,0,0,2062,56.0169,1.361,1,0,1.0,1,1,0,0,4,0,0,0,A,C,A,B
10,15,0,0,0,0,0,0,0,2030,52.9187,1.4605,0,0,0,0,0,0,0,4,0,0,0,A,B,C,C
10,16,0,0,0,0,0,0,0,1979,52.445,1.4714,0,0,0,0,0,0,0,4,0,0,0,A,B,A,C
10,17,0,0,0,0,0,0,1,1979,56.6072,1.5727,11,0,1.0,1,4,3,4,4,0,0,0,A,B,C,C
10,18,0,0,0,0,0,0,0,2023,54.8239,1.561,1,0,1.0,1,0,0,1,4,0,0,0,A,B,A,C
10,19,0,0,0,0,0,0,0,2048,56.5259,1.5751,2,0,1.0,1,1,1,0,4,0,0,0,A,B,A,C
10,20,0,0,0,0,0,0,0,2019,57.2179,1.5241,7,0,1.0,1,2,2,3,4,0,0,0,A,B,A,B
10,21,0,0,0,0,0,0,0,2021,57.3343,1.5752,8,0,1.0,1,6,1,1,4,0,0,0,A,C,A,B
10,22,0,0,1,2,0,0,0,1999,55.2977,1.5682,3,0,1.0,1,1,2,0,4,0,0,0,A,B,A,B
10,23,0,0,0,0,0,0,0,2099,57.5104,1.5726,0,0,0,0,0,0,0,4,0,0,0,C,B,A,B
10,24,0,0,0,0,0,0,0,1990,56.3671,1.541,4,0,1.0,1,1,0,3,4,0,0,0,C,B,A,B
10,25,0,0,0,0,0,0,0,1983,54.5719,1.4577,4,0,1.0,1,2,1,1,1,1,0,0,A,B,A,C
