seed,window,A_islands,A_nodes_in_isl,B_islands,B_nodes_in_isl,C_islands,C_nodes_in_isl,tripartite,boundary_links,boundary_weight,concept_entropy,n_bridges,persistent_bridges,bridge_mean_life,bridge_max_life,bridges_AC,bridges_AB,bridges_BC,global_k,div_flag,merge,split,r0_concept,r1_concept,r2_concept,r3_concept
11,1,0,0,0,0,1,2,0,2130,59.7253,1.5841,5,0,1.0,1,1,2,2,0,0,0,0,A,B,A,B
11,2,0,0,0,0,0,0,0,2054,57.3053,1.5847,7,0,1.0,1,2,3,2,0,0,0,0,A,B,A,B
11,3,0,0,0,0,0,0,0,2064,56.3037,1.584,1,0,1.0,1,0,0,1,4,1,0,0,A,B,A,B
11,4,0,0,0,0,0,0,0,2034,55.2786,1.5691,0,0,0,0,0,0,0,4,1,0,0,A,B,A,C
11,5,0,0,0,0,0,0,0,2033,56.4852,1.512,7,0,1.0,1,1,3,3,3,1,0,0,A,B,A,C
11,6,0,0,0,0,1,3,0,2022,56.9687,1.5514,7,0,1.0,1,2,3,2,4,1,0,0,A,B,A,C
11,7,0,0,0,0,0,0,0,2066,56.962,1.4249,2,0,1.0,1,1,0,1,4,1,0,0,C,B,C,B
11,8,0,0,0,0,0,0,1,2058,57.7349,1.5512,3,0,1.0,1,1,1,1,1,1,0,0,A,B,A,B
11,9,0,0,0,0,0,0,0,2024,56.2888,1.5557,8,0,1.0,1,2,2,4,4,1,0,0,A,C,A,B
11,10,0,0,0,0,0,0,0,2032,57.45,1.5622,9,0,1.0,1,4,4,1,4,1,0,0,A,B,A,B
11,11,0,0,0,0,0,0,0,2062,55.7118,1.5843,2,0,1.0,1,0,2,0,4,1,0,0,A,B,A,B
11,12,0,0,0,0,0,0,0,2070,56.8108,1.5567,5,0,1.0,1,2,2,1,1,1,0,0,A,B,A,B
11,13,0,0,0,0,0,0,0,2002,56.0183,1.5243,7,0,1.0,1,2,3,2,1,1,0,0,A,B,A,B
11,14,0,0,0,0,0,0,1,2086,60.4942,1.5691,8,0,1.0,1,1,2,5,3,1,0,0,A,B,A,B
11,15,0,0,0,0,0,0,1,2043,58.0461,1.5695,5,0,1.0,1,1,3,1,4,0,0,0,C,B,A,B
11,16,0,0,0,0,0,0,0,1998,53.4799,1.5433,0,0,0,0,0,0,0,4,0,0,0,A,B,A,B
11,17,0,0,0,0,0,0,0,2090,56.152,1.2886,0,0,0,0,0,0,0,4,0,0,0,A,B,A,B
11,18,0,0,0,0,0,0,0,2100,55.8357,1.5219,0,0,0,0,0,0,0,4,0,0,0,A,B,A,C
11,19,0,0,0,0,0,0,0,2105,56.2897,1.542,2,0,1.0,1,0,0,2,1,1,0,0,A,B,A,B
11,20,0,0,0,0,0,0,0,2101,58.0936,1.2088,4,0,1.0,1,1,1,2,4,0,0,0,C,B,C,B
11,21,0,0,0,0,0,0,0,2015,56.292,1.5613,2,0,1.0,1,2,0,0,4,0,0,0,A,B,C,B
11,22,0,0,0,0,0,0,0,2054,58.5574,1.5462,2,0,1.0,1,0,2,0,4,0,0,0,A,B,A,C
11,23,0,0,1,2,0,0,0,2059,56.3629,1.571,3,0,1.0,1,0,0,3,4,0,0,0,A,B,A,B
11,24,0,0,0,0,0,0,0,2085,57.2373,1.5746,5,0,1.0,1,1,1,3,4,0,0,0,A,B,A,B
11,25,0,0,0,0,0,0,0,2029,56.6714,1.5715,4,0,1.0,1,0,0,4,4,0,0,0,A,B,C,B
