seed,win,tri,ent,gk,div,nC,A_drift_bnd,A_drift_deep,A_erosion_d,A_core_pres,A_bnd_k,B_drift_bnd,B_drift_deep,B_erosion_d,B_core_pres,B_bnd_k,C_drift_bnd,C_drift_deep,C_erosion_d,C_core_pres,C_bnd_k
3,1,1,1.5847,0,0,2631,1.593127,1.014503,5,0.0,1.97,1.594207,0,2,1.0,1.98,1.601528,2.24514,3,0.0,1.97
3,2,0,1.5849,0,1,747,1.565907,1.252013,3,0.0,1.83,1.56076,2.633715,3,0.0,1.93,1.551171,0.550685,3,0.0,1.85
3,3,0,1.5849,1,1,167,1.592434,0.054171,3,0.5,1.9,1.568106,3.085793,3,0.0,1.85,1.550565,1.538521,3,0.0,1.84
3,4,0,1.5794,0,1,48,1.506093,2.121622,3,0.0,1.9,1.5556,1.413148,4,0.0,1.89,1.587453,0.506918,3,0.0,1.86
3,5,0,1.5632,4,0,29,1.585406,2.754781,3,0.0,1.86,1.566721,1.722051,3,0.0,1.92,1.528774,1.177165,5,0.0,1.87
3,6,0,1.5651,4,0,37,1.585673,1.763582,4,0.0,1.99,1.605595,0,2,1.0,1.88,1.570602,0,2,1.0,1.91
3,7,0,1.5832,4,0,29,1.506889,0.949297,3,0.0,1.84,1.565149,0,2,1.0,1.86,1.541444,1.743662,3,0.0,1.87
3,8,0,1.5763,4,0,34,1.585167,1.217397,3,0.0,1.88,1.60713,1.75484,3,0.0,1.86,1.517823,2.155317,3,0.0,1.87
3,9,0,1.547,4,0,38,1.611737,2.169039,4,0.0,1.87,1.559156,1.467734,3,0.0,1.85,1.546376,1.515398,3,0.0,1.89
3,10,0,1.5341,3,1,56,1.534773,0.378762,3,0.0,1.9,1.549801,2.578688,3,0.0,1.84,1.595364,1.234428,4,0.0,1.89
3,11,0,1.5548,4,0,58,1.524333,1.662862,3,0.0,1.85,1.597313,0,2,1.0,1.88,1.528119,1.02083,4,0.0,1.92
3,12,0,1.5262,1,1,39,1.566874,1.552965,3,0.0,1.85,1.53443,2.079884,4,0.0,1.85,1.539989,1.872151,3,0.0,1.8
3,13,0,1.5216,1,1,39,1.527949,1.918343,3,0.0,1.86,1.590155,0,2,1.0,1.92,1.612251,0.771856,3,0.0,1.84
3,14,0,1.5559,1,1,29,1.531639,1.497028,4,0.0,1.86,1.584484,1.327187,3,0.0,1.92,1.509996,2.356455,4,0.0,1.83
3,15,0,1.5157,0,1,24,1.643596,1.936083,3,0.0,1.87,1.599632,2.250005,3,0.0,1.85,1.518281,1.75324,3,0.0,1.93
3,16,0,1.5275,4,0,29,1.544003,2.870481,3,0.0,1.91,1.557613,2.167254,3,0.0,1.88,1.593338,1.530102,4,0.0,1.87
3,17,0,1.581,4,0,38,1.597726,1.681168,3,0.0,1.93,1.568749,2.299028,3,0.0,1.86,1.615322,1.335653,5,0.0,1.92
3,18,0,1.5789,4,0,41,1.566643,1.857308,3,0.0,1.87,1.535405,1.226111,3,0.0,1.91,1.562113,1.496908,3,0.0,1.89
3,19,1,1.5028,4,0,43,1.569417,1.955965,3,0.0,1.87,1.574969,1.188739,3,0.2,1.8,1.508169,1.428425,3,0.0,1.91
3,20,0,1.5677,4,0,49,1.555268,2.269267,4,0.0,1.84,1.605777,1.256267,3,0.0,1.85,1.539998,0.228958,3,0.0,1.89
3,21,0,1.5796,4,0,43,1.583541,1.485557,3,0.0,1.91,1.576885,1.945475,3,0.0,1.93,1.53197,0.919544,3,0.0,1.9
3,22,0,1.5524,4,0,30,1.559659,1.763224,5,0.0,1.91,1.590802,1.406244,4,0.0,1.84,1.585396,1.263901,4,0.0,1.94
3,23,0,1.4057,4,0,25,1.557593,0,2,1.0,1.91,1.539294,1.805149,3,0.0,1.93,1.528512,1.525466,3,0.0,1.9
3,24,0,1.57,4,0,35,1.555374,1.045138,3,0.0,1.9,1.542977,1.794573,3,0.0,1.83,1.590217,1.086463,3,0.0,1.83
3,25,0,1.5567,4,0,35,1.545416,1.105771,3,0.0,1.86,1.556816,2.010189,4,0.0,1.85,1.581337,1.120172,3,0.0,1.89
