seed,win,tri,ent,gk,div,nC,A_drift_bnd,A_drift_deep,A_erosion_d,A_core_pres,A_bnd_k,B_drift_bnd,B_drift_deep,B_erosion_d,B_core_pres,B_bnd_k,C_drift_bnd,C_drift_deep,C_erosion_d,C_core_pres,C_bnd_k
7,1,0,1.5846,0,0,2644,1.591878,1.651699,4,0.0,2.02,1.625614,0,2,1.0,2.0,1.584908,1.558558,4,0.0,2.0
7,2,0,1.5846,3,1,804,1.588334,1.526453,4,0.0,1.88,1.527642,2.905082,3,0.0,1.85,1.57837,1.743508,4,0.0,1.9
7,3,0,1.5748,0,1,166,1.572766,2.204013,3,0.0,1.96,1.5803,1.775478,3,0.0,1.9,1.580628,1.904664,3,0.0,1.85
7,4,0,1.5711,4,1,52,1.581478,2.052745,3,0.0,1.87,1.570592,1.94981,4,0.0,1.83,1.513315,1.65829,4,0.0,1.9
7,5,0,1.4725,4,1,31,1.585333,2.003403,5,0.0,1.85,1.544835,0,2,1.0,1.82,1.568595,1.193872,5,0.0,1.91
7,6,0,1.5391,4,1,36,1.547571,2.017705,3,0.0,1.89,1.566387,1.519895,3,0.0,1.85,1.56046,3.102217,3,0.0,1.89
7,7,0,1.5682,4,1,42,1.573539,1.926938,4,0.0,1.9,1.54594,2.134053,5,0.0,1.94,1.551826,1.447091,3,0.0,1.86
7,8,0,1.4618,4,1,27,1.550553,1.548774,3,0.0,1.87,1.583677,2.678707,3,0.0,1.88,1.619095,1.652674,4,0.0,1.87
7,9,0,1.5218,3,1,38,1.621637,2.344864,3,0.0,1.84,1.559856,2.882,3,0.0,1.88,1.559741,1.202327,3,0.0,1.85
7,10,0,1.5275,4,1,29,1.548388,1.902904,3,0.0,1.98,1.597167,0.605883,3,0.0,1.88,1.553006,1.105426,3,0.0,1.84
7,11,0,1.5387,4,1,34,1.603083,1.565811,3,0.0,1.9,1.56762,0.81275,3,0.0,1.86,1.516074,1.542011,3,0.0,1.82
7,12,0,1.4984,0,1,30,1.565456,0.498774,3,0.0,1.85,1.559489,3.116638,3,0.0,1.87,1.637301,1.288388,3,0.0,1.88
7,13,0,1.546,0,1,45,1.610447,0.872659,4,0.0,1.86,1.627427,0.979665,3,0.0,1.86,1.551623,1.94747,3,0.0,1.8
7,14,0,1.5241,3,1,30,1.534894,1.609519,4,0.0,1.95,1.579705,1.124134,3,0.0,1.91,1.610299,1.602799,3,0.0,1.84
7,15,0,1.5165,3,1,28,1.601024,0.852657,3,0.0,1.93,1.575276,0.785151,3,0.5,1.95,1.497259,1.383147,4,0.0,1.86
7,16,0,1.5632,3,1,24,1.556757,0.253486,4,0.0,1.85,1.612087,0.915592,3,0.0,1.85,1.551368,1.472994,3,0.0,1.87
7,17,0,1.5275,4,1,29,1.598892,1.953791,4,0.0,1.9,1.564169,2.229625,3,0.0,1.8,1.586611,1.664936,3,0.0,1.87
7,18,0,1.5647,4,1,31,1.619989,1.165959,3,0.0,1.82,1.562093,0,2,1.0,1.84,1.594879,1.399335,4,0.0,1.97
7,19,0,1.5715,4,1,18,1.559236,2.118599,3,0.0,1.9,1.525682,1.767372,4,0.0,1.83,1.564459,2.598592,3,0.0,1.82
7,20,0,1.4926,4,1,14,1.526512,1.906343,3,0.0,1.9,1.570668,0,2,1.0,1.85,1.560381,1.89247,3,0.0,1.83
7,21,1,1.5774,1,1,28,1.603721,1.461269,3,0.0,1.9,1.504096,1.592811,3,0.0,1.84,1.552382,0,2,1.0,1.84
7,22,0,1.4488,1,1,35,1.585268,2.226851,3,0.0,1.78,1.592326,2.77354,3,0.0,1.82,1.543361,1.405347,3,0.0,1.92
7,23,0,1.5644,4,1,22,1.547797,0.898143,3,0.0,1.87,1.57895,2.082993,4,0.0,1.82,1.543683,1.415173,3,0.0,1.86
7,24,0,1.5828,4,1,26,1.564215,1.82683,4,0.0,1.86,1.57387,1.484704,6,0.0,1.9,1.598792,0,2,1.0,1.84
7,25,0,1.5164,4,1,32,1.536828,2.018862,4,0.0,1.88,1.648542,1.85256,3,0.0,1.78,1.573392,2.116388,3,0.0,1.81
