seed,win,tri,ent,gk,div,nC,A_drift_bnd,A_drift_deep,A_erosion_d,A_core_pres,A_bnd_k,B_drift_bnd,B_drift_deep,B_erosion_d,B_core_pres,B_bnd_k,C_drift_bnd,C_drift_deep,C_erosion_d,C_core_pres,C_bnd_k
19,1,0,1.5823,0,0,2631,1.578918,1.329453,3,0.0,1.99,1.587051,2.042526,4,0.0,1.99,1.548957,1.198428,3,0.0,2.03
19,2,0,1.5812,3,1,812,1.553949,1.232002,3,0.0,1.85,1.505453,1.955307,3,0.0,1.85,1.539196,2.485074,3,0.0,1.87
19,3,0,1.5847,3,1,164,1.544974,1.04986,3,0.0,1.91,1.557537,1.683017,3,0.0,1.88,1.520568,1.028434,3,0.0,1.93
19,4,0,1.572,4,0,58,1.561078,1.285378,3,0.0,1.89,1.562456,2.902848,3,0.0,1.87,1.598745,1.914415,3,0.0,1.93
19,5,0,1.5409,4,0,31,1.549626,1.216858,4,0.0,1.85,1.570185,1.326958,3,0.0,1.79,1.555246,2.006955,4,0.1429,1.88
19,6,0,1.5575,4,0,32,1.568715,2.255367,3,0.0,1.91,1.594998,1.499694,3,0.0,1.87,1.592835,1.755338,4,0.0,1.9
19,7,0,1.5099,4,0,23,1.547473,0.621567,3,0.0,1.85,1.569394,1.727942,3,0.0,1.86,1.617813,0.751256,3,0.0,1.83
19,8,0,1.5514,4,0,29,1.554028,1.920869,4,0.0,1.87,1.525875,1.410778,3,0.0,1.91,1.601612,1.360142,5,0.0,1.86
19,9,0,1.5706,4,0,44,1.585031,1.979275,3,0.0,1.91,1.610959,1.757051,5,0.0,1.84,1.642282,2.117549,3,0.0,1.86
19,10,0,1.5803,4,0,35,1.595216,1.434699,5,0.0,1.92,1.532603,1.709083,3,0.0,1.87,1.601014,1.545202,3,0.25,1.83
19,11,0,1.5651,4,0,37,1.585734,0,2,1.0,1.89,1.533129,1.041937,3,0.0,1.95,1.570006,1.637477,3,0.0,1.91
19,12,1,1.5546,1,1,48,1.607821,1.507039,4,0.2,1.87,1.596699,1.080037,5,0.2,1.88,1.572285,0.861297,4,0.25,1.84
19,13,1,1.5818,3,1,43,1.560769,2.210896,4,0.0,1.9,1.575619,1.265971,3,0.0,1.88,1.551727,1.761478,4,0.0,1.9
19,14,0,1.5496,3,1,25,1.599687,1.309454,5,0.0,1.83,1.589253,2.170527,4,0.0,1.94,1.539649,1.04186,3,0.0,1.87
19,15,0,1.5305,4,0,18,1.570363,0.28169,3,0.0,1.86,1.563828,1.634981,4,0.0,1.89,1.558083,1.356684,4,0.0,1.9
19,16,0,1.4412,4,0,21,1.574751,2.07832,3,0.0,1.85,1.559935,1.639073,4,0.0,1.83,1.576685,1.000275,3,0.0,1.92
19,17,0,1.5544,4,0,37,1.540303,2.50485,4,0.0,1.95,1.576943,2.087122,3,0.0,1.9,1.616073,1.74577,4,0.0,1.88
19,18,0,1.5754,3,1,44,1.575189,1.291215,3,0.0,1.85,1.604415,2.018321,3,0.0,1.88,1.63489,1.19274,3,0.5,1.89
19,19,0,1.5389,3,1,40,1.59371,1.552329,4,0.0,1.85,1.542705,1.897282,3,0.0,1.8,1.533386,1.375737,3,0.0,1.87
19,20,0,1.4919,4,0,31,1.530054,1.633309,4,0.0,1.84,1.560193,2.808596,3,0.0,1.84,1.585247,1.681796,4,0.0,1.85
19,21,0,1.4824,4,0,30,1.609055,1.098797,3,0.0,1.85,1.568631,1.013764,4,0.0,1.92,1.572691,2.261687,3,0.0,1.93
19,22,0,1.5803,4,0,35,1.557673,1.835306,3,0.0,1.91,1.597004,1.998528,4,0.0,1.88,1.596416,1.209097,4,0.1667,1.92
19,23,0,1.4518,4,0,35,1.541732,0,2,1.0,1.85,1.565472,1.311748,5,0.1429,1.86,1.579228,2.32281,3,0.0,1.93
19,24,0,1.4919,4,0,31,1.578745,2.197648,3,0.0,1.9,1.562705,0,2,1.0,1.87,1.546136,0.493253,3,0.0,1.86
19,25,0,1.5462,4,0,32,1.550337,1.777748,4,0.0,1.81,1.577122,0,2,1.0,1.85,1.555031,1.085618,3,0.3333,1.85
