seed,label_id,birth_window,death_window,lifespan,alive,phase_sig,n_core,last_social,last_stability,last_spread,last_familiarity,last_partners,last_st_mean,last_st_std,last_fam_max,last_att_nodes,trajectory_type,cognitive_id,became_ghost_w
19,0,1,,39,True,-1.7338,5,0.9048,0.6855,0.8428,19.2386,19,45.27,20.77,44.4611,1678,social|stable|deep_conn,0,
19,83,20,21,2,False,2.4987,2,0.1364,0.5943,0.7842,8.7055,3,7.5,5.12,15.2413,138,isolated|stable|focused_att|dead,83,21
19,6,3,,37,True,2.9504,5,0.9524,0.6859,0.8485,13.1572,20,47.67,21.83,35.8706,1980,social|stable|deep_conn,6,
19,22,6,24,19,False,-2.3613,2,0.2174,0.6904,0.7863,15.2969,5,7.93,3.56,32.6753,155,stable|focused_att|deep_conn|dead,22,24
19,32,9,,31,True,1.7492,5,0.8095,0.6192,0.8049,11.8373,17,22.87,14.06,44.3777,769,social|stable|deep_conn,32,
19,34,9,35,27,False,2.4575,2,0.2632,0.6535,0.7365,7.8499,5,4.99,2.65,28.4764,106,stable|focused_att|dead,34,35
19,50,15,,25,True,-1.4559,5,1.0,0.6576,0.8388,14.402,21,45.45,23.67,60.075,1792,social|stable|deep_conn,50,
19,59,16,,24,True,-2.8351,3,0.6667,0.6833,0.831,8.2302,14,17.52,8.12,39.097,440,social|stable,59,
19,58,16,27,12,False,0.6819,2,0.4167,0.6359,0.7099,7.3392,10,6.9,3.95,45.4047,151,stable|focused_att|dead,58,27
19,63,17,23,7,False,-2.6518,4,0.625,0.6507,0.8247,2.9727,15,29.91,16.06,10.11,1002,social|stable|dead,63,23
19,61,17,22,6,False,1.7873,2,0.3043,0.67,0.7753,10.0278,7,8.5,4.19,30.1166,186,stable|focused_att|deep_conn|dead,61,22
19,66,18,21,4,False,1.2012,3,0.5455,0.6406,0.8095,8.7888,12,17.0,9.53,28.4166,458,social|stable|dead,66,21
19,67,18,20,3,False,0.5542,2,0.0,0.6422,0.8156,0.0,0,6.66,3.71,0.0,86,isolated|stable|dead,67,20
19,68,19,,21,True,-1.7674,5,0.9048,0.6759,0.8533,17.3497,19,45.94,22.03,48.9382,1588,social|stable|wide_att|deep_conn,68,
19,69,19,24,6,False,1.6533,5,0.8696,0.6727,0.8652,11.7922,20,53.79,26.17,40.383,1920,social|stable|wide_att|deep_conn|dead,69,24
19,70,19,,21,True,-2.8806,4,0.9524,0.6573,0.8363,10.4808,20,28.18,14.69,36.0451,1111,social|stable|deep_conn,70,
19,71,19,23,5,False,-2.8476,2,0.2917,0.66,0.7316,7.9539,7,7.56,3.89,18.4792,155,stable|focused_att|dead,71,23
