window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini
147,4848,2960,0,0,1,1.7822,1,79.6,5,2955,4.44,0.9905,2988.3,5,1.0,63,0,2,1244,0.000881,0.0371,14.7059,146,68.5,0.0164,0.0069,0,1,0,0,0.071429,0.015625,37,0.7812,10.4963,0.4664
148,4848,3020,1,4,1,1.8744,1,80.0,3017,0,4.45,1.0096,2991.3,3,1.0,62,1,2,1256,0.000788,0.0279,7.8534,147,70.5,0.0169,0.0057,0,0,0,0,0.091371,0.015625,36,0.829,10.5876,0.4668
149,4847,2946,1,5,3,1.8973,1,79.4,0,2941,4.43,0.9863,2987.0,5,1.0,62,1,1,1264,0.000796,0.0292,13.624,148,71.4,0.0164,0.0061,1,0,0,0,0.090186,0.015625,36,0.8267,10.6778,0.4672
150,4847,3031,1,5,3,1.8516,2,80.3,3021,0,4.47,1.0133,2991.2,10,1.0,62,1,1,1268,0.000825,0.0378,28.49,149,72.4,0.0169,0.0078,1,1,0,0,0.105405,0.015625,37,0.8518,10.7832,0.4675
151,4845,2941,0,0,3,1.8516,2,84.1,0,2936,4.43,0.9848,2986.4,5,1.0,61,0,1,1240,0.000816,0.0367,14.5773,150,74.5,0.0168,0.0068,0,1,0,0,0.115819,0.015625,37,0.8651,10.868,0.4678
152,4844,2988,0,0,3,1.8453,1,80.0,2988,0,4.53,1.0005,2986.6,0,1.0,59,0,2,1227,0.000703,0.0392,0.0,151,77.5,0.0169,0.008,0,1,0,0,0.095238,0.015625,36,0.8359,10.9632,0.4681
153,4844,3053,1,4,3,1.926,1,81.6,3049,0,4.53,1.0201,2992.9,4,1.0,60,1,0,1228,0.000752,0.0354,10.4439,152,77.2,0.017,0.0072,0,0,0,0,0.086076,0.015625,35,0.8185,11.0417,0.4685
154,4843,3024,1,4,3,1.9919,1,77.0,3018,0,4.42,1.0094,2995.9,6,1.0,62,4,2,1256,0.000667,0.0357,15.2439,153,75.5,0.0165,0.0069,0,0,0,0,0.08631,0.015625,36,0.819,11.128,0.4689
155,4843,3012,1,4,3,1.9727,2,81.8,3001,0,4.51,1.0049,2997.4,11,1.0,63,3,2,1258,0.000824,0.0401,28.0112,154,75.3,0.0162,0.0072,0,0,0,0,0.069519,0.015625,37,0.7752,11.1975,0.469
156,4841,2999,3,3,3,1.9166,2,84.8,2993,0,4.48,1.0005,2997.5,6,1.0,63,3,3,1289,0.000707,0.0403,16.7598,155,76.2,0.0164,0.0067,0,0,0,0,0.075269,0.015625,38,0.7924,11.2728,0.4691
