window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini
1,5000,6191,12,5,0,1.9985,0,19.4,0,0,6.58,1.0,6191.0,561,1.0,344,533,189,1960,0.001034,0.0089,401.8625,0,0.0,0.0064,0.0011,2,0,0,0,0.03132,0.015625,64,0.5011,0.0313,0.2759
2,5000,3664,4,5,0,1.9985,0,20.9,468,3202,5.16,0.8168,4531.0,462,1.0,332,18,30,2050,0.001154,0.0082,354.7826,1,1.0,0.0071,0.0013,1,0,0,0,0.036376,0.015625,64,0.5705,0.0666,0.2693
3,5000,3366,3,5,0,1.9985,0,25.0,258,3127,4.84,0.8562,3961.5,239,1.0,278,3,57,1999,0.001172,0.0096,262.0614,2,1.9,0.0081,0.0016,2,0,0,0,0.039474,0.015625,63,0.6042,0.0922,0.2621
4,5000,3110,0,0,1,1.9985,0,27.5,50,3082,4.52,0.8629,3629.7,28,1.0,235,2,45,1722,0.001361,0.0118,44.586,3,2.9,0.0082,0.0024,0,0,0,0,0.044183,0.015625,62,0.6464,0.1364,0.264
5,5000,3085,2,5,0,1.9985,0,30.6,3,3075,4.48,0.8951,3448.8,10,1.0,197,2,40,1570,0.001548,0.0181,18.8679,4,3.9,0.0137,0.0032,2,0,0,0,0.052347,0.015625,60,0.7015,0.1779,0.2683
6,5000,3116,2,4,0,1.9984,1,34.7,7,3109,4.49,0.9291,3353.7,7,1.0,181,3,19,1518,0.001637,0.025,14.0281,5,4.8,0.0165,0.0038,0,0,0,0,0.046243,0.015625,60,0.6621,0.2242,0.2749
7,5000,3056,1,5,0,1.9942,2,37.7,9,3042,4.42,0.9319,3279.3,14,1.0,159,6,28,1436,0.001622,0.0273,36.3636,6,5.6,0.0136,0.0039,1,0,0,0,0.049628,0.015625,56,0.6852,0.2713,0.2855
8,5000,3037,0,0,3,1.9956,2,47.7,4,3033,4.48,0.9416,3225.4,4,1.0,141,0,18,1343,0.00174,0.0247,10.3359,7,6.6,0.0136,0.0043,0,0,0,0,0.066667,0.015625,55,0.7656,0.338,0.2928
9,5000,3067,0,0,0,1.9963,1,55.1,7,3060,4.39,0.9603,3193.8,7,1.0,129,3,15,1256,0.001722,0.0253,18.6667,8,7.5,0.018,0.0049,0,0,0,0,0.058081,0.015625,53,0.731,0.3961,0.3009
10,5000,3110,4,5,0,1.9978,1,62.4,5,3090,4.52,0.9784,3178.5,20,1.0,115,7,21,1189,0.002141,0.0379,55.8659,9,8.1,0.0222,0.0065,3,0,0,0,0.04878,0.015625,53,0.6797,0.434,0.3011
