window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node
1,5000,6080,18,5,0,1.9986,0,34.1,0,0,6.58,1.0,6080.0,626,1.0,378,587,209,2111,0.000966,0.0082,409.7177,0,0.0,0.0068,0.0011,3,0
2,5000,3706,6,5,0,1.9986,0,37.9,437,3239,5.2,0.8274,4520.0,467,1.0,308,22,92,2222,0.001094,0.0097,308.3339,1,1.0,0.0075,0.0011,2,0
3,5000,3536,0,0,1,1.9986,0,43.1,245,3311,4.94,0.8817,4042.0,225,1.0,255,0,53,1935,0.001502,0.0118,241.6756,2,1.9,0.0082,0.0018,0,0
4,5000,3121,0,0,3,1.9986,0,51.8,71,3089,4.55,0.8566,3689.2,32,1.0,160,0,95,1668,0.001929,0.0231,58.4906,3,2.9,0.0175,0.0032,0,0
5,5000,3230,3,5,0,1.9985,0,75.7,12,3208,4.51,0.9134,3536.1,22,1.0,122,9,47,1316,0.002568,0.0286,50.1139,4,3.7,0.019,0.0042,2,0
6,5000,2997,3,5,0,1.9987,1,92.8,8,2969,4.39,0.8861,3382.1,28,1.0,98,6,30,1065,0.003429,0.0338,79.7721,5,4.4,0.0256,0.0058,1,0
7,5000,3187,2,4,0,1.9992,2,102.5,8,3159,4.51,0.9561,3333.3,28,1.0,77,2,23,945,0.003988,0.0367,88.3281,6,5.1,0.0238,0.0068,0,1
8,5000,3110,0,0,3,1.9994,2,113.1,2,3090,4.46,0.9473,3283.9,20,1.0,63,5,19,787,0.004825,0.0358,77.2201,7,5.7,0.0261,0.0077,0,0
9,5000,3144,1,3,0,1.999,1,125.2,3,3136,4.58,0.9656,3255.9,8,1.0,49,1,15,660,0.006,0.0619,41.2371,8,6.3,0.0306,0.0104,0,0
10,5000,3110,1,5,0,1.9955,1,140.9,3,3100,4.46,0.963,3229.4,10,1.0,46,3,6,618,0.006614,0.0446,46.1538,9,6.9,0.0316,0.0105,1,0
