window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node
1,5000,6130,18,5,0,1.9998,0,33.8,0,0,6.56,1.0,6130.0,561,1.0,344,521,177,1974,0.001046,0.0099,390.2439,0,0.0,0.008,0.0012,2,0
2,5000,3663,1,3,0,1.9999,0,36.1,453,3209,5.13,0.8204,4510.0,454,1.0,278,24,90,2044,0.001229,0.0095,401.7778,1,0.9,0.0061,0.0012,0,0
3,5000,3430,0,0,3,1.9999,0,42.6,270,3176,4.83,0.8675,3982.5,254,1.0,231,8,55,1843,0.001574,0.0111,130.3051,2,1.9,0.0066,0.0018,0,0
4,5000,3202,2,5,0,1.9999,0,52.4,67,3153,4.66,0.8772,3681.1,49,1.0,155,6,82,1596,0.001913,0.0187,98.7903,3,2.8,0.0108,0.0025,1,0
5,5000,3046,1,4,0,1.9999,0,77.9,8,3033,4.42,0.878,3469.4,13,1.0,106,1,50,1193,0.002861,0.0288,35.0404,4,3.7,0.0232,0.0048,0,0
6,5000,3088,1,3,0,1.9999,0,94.3,3,3075,4.43,0.9189,3360.4,13,1.0,80,6,32,932,0.003817,0.0324,47.619,5,4.5,0.0313,0.006,0,0
7,5000,3082,1,5,0,1.9982,2,104.5,3,3069,4.53,0.9365,3290.8,13,1.0,62,1,19,731,0.005123,0.0522,57.0175,6,5.4,0.0361,0.0087,1,0
8,5000,3012,1,4,1,1.9951,2,119.0,13,2984,4.43,0.9328,3228.9,28,1.0,56,13,19,685,0.005253,0.0474,115.0442,7,5.2,0.0346,0.0095,0,0
9,5000,3044,0,0,3,1.9966,2,128.5,7,3032,4.36,0.9537,3191.9,12,1.0,41,0,15,561,0.006873,0.0529,71.4286,8,6.0,0.0317,0.0111,0,0
10,5000,3132,1,4,0,1.9837,1,136.7,9,3114,4.58,0.9846,3181.0,18,1.0,38,5,8,486,0.008002,0.0485,123.2877,9,6.1,0.0348,0.0108,0,0
11,5000,3009,0,0,3,1.9818,1,145.9,0,3007,4.42,0.9545,3152.3,2,1.0,27,2,13,429,0.009738,0.0813,8.6957,10,7.3,0.0569,0.0174,0,0
12,5000,3004,0,0,3,1.9781,1,153.5,0,3004,4.39,0.9599,3129.5,0,1.0,24,0,3,361,0.012286,0.0748,0.0,11,8.8,0.0491,0.0164,0,0
13,5000,3097,1,3,3,1.9621,1,161.2,0,3092,4.43,0.9911,3124.9,5,1.0,20,4,8,338,0.012179,0.101,54.9451,12,8.9,0.0758,0.0205,0,0
14,5000,3119,1,4,1,1.894,1,159.1,0,3114,4.54,0.9984,3124.1,5,1.0,16,1,5,277,0.015043,0.1139,68.4932,13,9.1,0.0759,0.0247,0,0
15,5000,3081,0,0,3,1.8787,2,163.8,2,3075,4.46,0.9879,3118.7,6,1.0,14,2,4,275,0.016503,0.1071,51.9481,14,9.6,0.0714,0.0189,0,0
16,5000,3064,0,0,3,1.8781,1,176.6,0,3059,4.5,0.9845,3112.3,5,1.0,16,5,3,260,0.017232,0.1333,69.4444,15,9.1,0.09,0.029,0,0
17,5000,2980,1,3,3,1.9342,1,172.9,3,2977,4.39,0.962,3097.6,3,1.0,14,1,3,270,0.017509,0.1111,45.4545,16,8.9,0.0625,0.0209,0,0
18,5000,3080,0,0,3,1.9217,1,177.1,3,3077,4.44,0.9949,3095.7,3,1.0,11,0,3,237,0.021166,0.16,44.7761,17,10.7,0.1067,0.0312,0,0
19,5000,3034,1,5,1,1.9197,1,179.8,3,3026,4.41,0.982,3089.5,8,1.0,12,1,0,234,0.02203,0.1587,126.9841,18,10.8,0.1016,0.0331,1,0
20,5000,3102,1,5,3,1.9241,1,183.1,3089,0,4.4,1.0036,3090.7,13,1.0,12,1,1,259,0.021421,0.1452,220.339,19,11.2,0.0995,0.0348,1,0
21,5000,3035,0,0,3,1.9139,2,184.5,3,3027,4.36,0.9837,3085.4,8,1.0,14,5,3,264,0.018453,0.1196,91.954,20,10.1,0.087,0.0281,0,0
22,5000,3066,1,3,3,1.944,1,196.4,7,3054,4.5,0.9943,3083.6,12,1.0,16,3,1,277,0.015942,0.0989,141.1765,21,9.8,0.0714,0.0178,0,0
23,5000,3119,2,5,1,1.9344,1,181.3,3111,0,4.52,1.0104,3086.9,8,1.0,15,2,3,312,0.0143,0.125,82.4742,22,10.8,0.0714,0.0272,1,0
24,5000,3114,1,5,3,1.9201,2,185.2,3104,0,4.39,1.0079,3089.5,10,1.0,13,1,3,305,0.017039,0.1304,111.1111,23,11.8,0.0815,0.0334,1,0
25,5000,3062,0,0,3,1.9585,2,194.2,5,3057,4.48,0.9919,3086.9,5,1.0,11,0,2,282,0.020759,0.2286,74.6269,24,13.2,0.0964,0.0538,0,0
26,5000,3061,1,3,3,1.9351,1,195.0,1,3056,4.38,0.9924,3084.4,5,1.0,12,4,3,278,0.017089,0.1266,56.338,25,10.9,0.0868,0.0245,0,1
27,5000,3207,1,5,3,1.9575,1,196.7,3219,0,4.57,1.0408,3097.7,5,1.0,13,1,0,261,0.020285,0.1081,68.4932,26,11.0,0.0828,0.0194,1,0
28,5000,3023,0,0,3,1.9626,2,190.5,3,3015,4.44,0.9781,3090.6,8,1.0,9,3,7,276,0.017117,0.1558,119.403,27,12.6,0.1061,0.0281,0,2
29,4999,3060,1,3,3,1.8788,1,190.5,6,3054,4.46,0.991,3087.7,6,1.0,8,1,2,202,0.024566,0.2,100.0,28,13.4,0.1462,0.0428,0,2
30,4999,2997,0,0,3,1.9501,1,193.7,6,2991,4.44,0.9733,3079.1,6,1.0,7,0,1,157,0.035794,0.2121,187.5,29,13.3,0.1515,0.0392,0,0
31,4999,2934,0,0,3,1.9785,1,196.3,9,2925,4.41,0.9572,3065.2,9,1.0,8,3,2,151,0.031811,0.2195,230.7692,30,12.5,0.128,0.0447,0,0
32,4996,3033,0,0,3,1.9542,1,195.7,9,3024,4.42,0.9905,3062.2,9,1.0,6,0,2,146,0.034586,0.2041,34.7674,31,16.8,0.148,0.0362,0,0
33,4994,3140,2,4,0,1.8876,1,205.2,3128,0,4.54,1.0241,3070.0,16,1.0,9,5,2,175,0.023407,0.1837,154.8,32,9.0,0.1361,0.0301,0,1
34,4990,3097,3,5,1,1.9233,1,205.1,3074,0,4.5,1.008,3072.5,23,1.0,10,4,3,194,0.022595,0.1519,281.6901,33,5.5,0.1139,0.0306,1,1
35,4988,3157,0,0,3,1.8911,2,209.9,3146,0,4.5,1.0248,3080.6,11,1.0,10,0,0,165,0.026415,0.2203,196.4286,34,6.5,0.0791,0.047,0,0
36,4986,3164,1,3,3,1.9261,1,209.6,3154,0,4.55,1.0244,3088.5,10,1.0,8,1,3,170,0.023958,0.2174,238.0952,35,7.6,0.0652,0.0485,0,2
37,4983,2970,1,3,3,1.8498,1,209.4,3,2967,4.42,0.9652,3077.2,3,1.0,7,1,2,139,0.032789,0.1707,78.9474,36,8.6,0.0732,0.0365,0,0
38,4982,3054,1,4,3,1.7446,2,211.3,11,3043,4.46,0.9932,3075.0,11,1.0,10,5,2,161,0.026246,0.1207,196.4286,37,6.7,0.1207,0.0169,0,0
39,4977,3021,3,5,3,1.7686,2,217.6,10,3001,4.47,0.9841,3069.9,20,1.0,13,4,1,231,0.020645,0.1494,226.1905,38,5.9,0.1111,0.0336,2,0
40,4975,3095,1,5,3,1.7738,2,214.4,3080,0,4.47,1.0074,3072.3,15,1.0,16,5,2,269,0.01628,0.1327,152.1739,39,5.6,0.0816,0.0271,1,0
41,4974,3175,0,0,3,1.8371,2,212.6,3180,0,4.52,1.0337,3083.2,7,1.0,15,0,1,255,0.017789,0.125,104.4776,40,6.7,0.0972,0.0267,0,0
42,4970,3084,1,5,3,1.8238,1,211.0,3076,0,4.5,1.0002,3083.3,8,1.0,13,2,4,273,0.018692,0.1364,111.1111,41,8.2,0.0818,0.0351,1,0
43,4970,3038,1,5,3,1.9395,1,215.8,1,3027,4.45,0.9867,3079.0,11,1.0,16,7,4,283,0.015657,0.1099,114.9425,42,7.2,0.0733,0.0226,1,0
44,4969,3051,1,4,1,1.953,2,213.3,0,3048,4.42,0.9918,3076.3,3,1.0,11,1,6,286,0.016301,0.1389,49.1803,20,5.5,0.0856,0.0253,0,0
45,4969,3035,0,0,1,1.9726,2,208.3,0,3035,4.42,0.9878,3072.4,0,1.0,8,0,3,213,0.023251,0.1429,0.0,12,5.4,0.1071,0.0279,0,2
46,4968,3156,0,0,3,1.987,1,206.7,3156,0,4.58,1.0246,3080.3,0,1.0,7,0,1,160,0.028724,0.1707,0.0,12,5.4,0.1585,0.0316,0,0
47,4968,3120,1,4,1,1.9877,1,210.1,3116,0,4.49,1.0116,3084.1,4,1.0,6,2,3,146,0.03486,0.2895,83.3333,13,6.3,0.1842,0.0679,0,1
48,4967,3027,0,0,1,1.9841,1,201.8,0,3027,4.46,0.9832,3078.7,0,1.0,5,0,1,122,0.044367,0.2857,0.0,14,7.8,0.1905,0.0543,0,0
49,4967,3001,2,5,1,1.953,1,195.3,3,2993,4.46,0.9771,3071.3,8,1.0,7,2,0,151,0.034876,0.2885,153.8462,15,6.3,0.1731,0.0641,1,0
50,4966,3116,1,5,1,1.9875,1,195.6,3110,0,4.51,1.0132,3075.5,6,1.0,8,1,0,165,0.029772,0.1667,103.4483,16,6.4,0.1367,0.0323,1,0
51,4966,3063,1,4,1,1.9926,2,191.3,7,3056,4.47,0.9963,3074.3,7,1.0,9,2,1,194,0.027594,0.1636,115.3846,17,6.6,0.1018,0.0297,0,0
52,4965,3163,0,0,1,1.9574,2,169.6,3163,0,4.62,1.0269,3083.1,3,1.0,9,0,0,185,0.028244,0.1746,47.619,18,7.6,0.1238,0.0359,0,0
53,4964,3117,0,0,3,1.9419,1,174.0,3106,0,4.5,1.0099,3086.3,11,1.0,13,8,4,225,0.019127,0.175,150.6849,19,5.9,0.0975,0.037,0,0
54,4963,3109,1,4,3,1.9629,1,167.1,3094,0,4.49,1.0066,3088.5,15,1.0,13,1,1,239,0.018426,0.1159,234.375,20,6.7,0.0841,0.0226,0,0
55,4962,3127,1,5,3,1.9966,1,166.0,3110,0,4.6,1.0113,3092.1,17,1.0,12,1,2,242,0.020138,0.1644,246.3768,21,7.7,0.0685,0.0316,1,0
56,4962,3213,0,0,3,1.9678,2,171.3,3214,0,4.6,1.0381,3104.6,9,1.0,11,0,1,232,0.023799,0.1398,100.0,22,9.2,0.1022,0.0297,0,0
57,4962,3095,2,4,1,1.9386,1,165.9,8,3082,4.44,0.9972,3103.7,13,1.0,9,2,4,256,0.019412,0.1549,200.0,23,7.6,0.1232,0.0344,0,2
58,4962,3047,2,5,2,1.9078,1,174.3,5,3032,4.45,0.9834,3098.3,15,1.0,9,2,2,222,0.023007,0.2073,200.0,24,6.3,0.1128,0.0419,1,1
59,4962,3044,0,0,1,1.8194,2,165.4,4,3035,4.48,0.9841,3093.1,9,1.0,7,0,2,178,0.028128,0.2222,163.6364,17,5.1,0.1468,0.0597,0,0
60,4962,3104,0,0,0,1.876,1,173.8,3100,0,4.51,1.0032,3094.2,4,1.0,7,0,0,139,0.034865,0.2222,74.0741,18,6.1,0.1528,0.0549,0,0
61,4962,3097,0,0,0,1.9372,1,166.2,3097,0,4.44,1.0008,3094.4,0,1.0,7,0,0,139,0.035642,0.1795,0.0,19,7.1,0.141,0.0332,0,0
62,4962,2952,2,5,3,1.9387,1,171.6,4,2940,4.41,0.9582,3080.9,12,1.0,6,6,7,215,0.021687,0.2182,123.617,20,5.7,0.1455,0.0501,1,2
63,4962,3086,1,5,3,1.9665,1,167.1,3073,0,4.46,1.0015,3081.3,13,1.0,9,4,1,168,0.028104,0.1864,228.0702,21,4.4,0.1525,0.0431,1,0
64,4959,3060,4,5,1,1.9781,2,171.5,11,3036,4.54,0.9937,3079.3,24,1.0,14,7,2,268,0.017711,0.1413,252.8736,22,3.5,0.0978,0.0343,1,0
65,4958,3071,1,4,1,1.9921,2,169.9,7,3064,4.46,0.9976,3078.5,7,1.0,14,2,2,266,0.017148,0.1646,81.0811,23,4.4,0.0785,0.0312,0,0
