window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node
1,5000,5862,12,6,0,1.9988,0,33.0,0,0,6.36,1.0,5862.0,476,1.0,291,454,163,1700,0.001198,0.0087,408.0756,0,0.0,0.0,0.0013,0,0
2,5000,3606,1,3,0,1.9989,0,36.0,384,3230,5.09,0.8297,4372.7,376,1.0,236,15,70,1719,0.001505,0.008,131.2179,1,1.0,0.0,0.0014,0,0
3,5000,3348,2,3,0,1.9989,0,41.2,217,3152,4.81,0.8709,3872.8,196,1.0,203,8,41,1565,0.001793,0.0126,265.3899,2,1.9,0.0,0.0021,0,0
4,5000,3029,2,5,0,1.9989,0,50.6,48,2989,4.52,0.8599,3542.1,40,1.0,134,4,73,1384,0.00222,0.0186,93.9759,3,2.8,0.0186,0.0032,1,0
5,5000,3143,1,3,0,1.9989,0,68.5,13,3124,4.54,0.922,3409.1,19,1.0,99,12,47,1106,0.003068,0.0258,49.5627,4,3.6,0.0233,0.0043,0,0
6,5000,3145,2,4,0,1.9985,2,93.4,9,3132,4.43,0.9436,3333.9,13,1.0,82,6,23,939,0.003636,0.0276,44.0678,5,4.3,0.0184,0.0051,0,0
7,5000,3190,1,4,0,1.9962,2,109.9,8,3182,4.58,0.9673,3297.9,8,1.0,71,1,12,786,0.004627,0.0364,30.7692,6,5.1,0.0291,0.0063,0,0
8,5000,3109,1,4,0,1.9948,2,120.5,4,3101,4.55,0.9551,3256.2,8,1.0,57,3,17,682,0.005557,0.0465,40.6091,7,5.8,0.0419,0.0086,0,0
9,5000,3096,1,4,3,1.9851,2,129.1,4,3087,4.43,0.9603,3224.1,9,1.0,40,1,18,537,0.007252,0.0577,62.5,8,6.5,0.0192,0.0121,0,0
10,5000,3073,0,0,3,1.9803,2,132.6,0,3068,4.39,0.9613,3196.7,5,1.0,33,0,7,423,0.009095,0.0621,35.9712,9,7.4,0.0414,0.0145,0,0
