window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node
1,5000,6019,20,7,0,1.9987,0,33.9,0,0,6.55,1.0,6019.0,503,1.0,304,459,155,1797,0.001165,0.0116,391.1353,0,0.0,0.0061,0.0014,1,0
2,5000,3616,1,5,0,1.9986,0,36.4,385,3233,5.1,0.8221,4439.7,383,1.0,295,22,31,1887,0.0014,0.0085,385.6999,1,0.9,0.0082,0.0014,1,0
3,5000,3318,2,5,0,1.9986,0,43.5,218,3104,4.8,0.8567,3883.3,214,1.0,234,6,67,1798,0.001586,0.0148,260.0243,2,1.9,0.0079,0.002,1,0
4,5000,3107,1,5,0,1.9986,0,50.6,52,3077,4.57,0.8745,3583.6,30,1.0,161,3,76,1591,0.001974,0.0257,52.9101,3,2.8,0.0151,0.0029,1,0
5,5000,3099,2,4,0,1.9986,0,72.9,1,3088,4.49,0.9056,3422.1,11,1.0,117,7,51,1282,0.002621,0.0233,25.974,4,3.7,0.0122,0.0037,0,0
6,5000,3146,2,4,0,1.9987,2,94.5,8,3133,4.51,0.941,3343.2,13,1.0,87,2,32,1075,0.003386,0.0298,38.9222,5,4.5,0.0181,0.0054,0,1
7,5000,3090,2,5,0,1.9882,2,101.7,8,3072,4.5,0.9421,3279.9,18,1.0,70,2,19,920,0.004309,0.0557,63.6042,6,5.3,0.023,0.0087,1,0
8,5000,3097,1,5,1,1.9859,2,110.2,13,3084,4.5,0.9561,3239.2,13,1.0,53,1,18,782,0.005409,0.0506,59.0909,7,6.1,0.0304,0.0105,1,0
9,5000,2994,0,0,3,1.9865,2,116.0,12,2982,4.36,0.9385,3190.2,12,1.0,41,0,12,630,0.00708,0.0773,69.3642,8,6.9,0.0453,0.0154,0,0
10,5000,3051,1,5,0,1.9652,1,124.7,10,3036,4.46,0.964,3164.9,15,1.0,38,6,9,618,0.006879,0.0495,80.4598,9,7.2,0.0366,0.0113,1,0
11,5000,3061,1,4,0,1.9616,1,133.1,7,3054,4.5,0.9725,3147.6,7,1.0,28,1,11,563,0.008081,0.0719,46.6667,10,7.4,0.0509,0.0161,0,0
12,5000,3105,0,0,1,1.9645,2,144.4,0,3105,4.52,0.9885,3141.0,0,1.0,21,0,7,441,0.010851,0.088,0.0,11,8.2,0.0507,0.0159,0,0
13,5000,2994,0,0,3,1.9675,1,155.8,3,2991,4.38,0.9596,3120.0,3,1.0,15,3,9,379,0.012802,0.1188,34.0909,12,7.5,0.0561,0.0184,0,0
14,5000,3088,2,5,1,1.9479,1,151.8,4,3079,4.41,0.9911,3115.8,9,1.0,15,2,2,334,0.014968,0.1075,101.1236,13,6.7,0.0676,0.0254,1,0
15,5000,3050,1,3,1,1.9018,1,166.9,2,3045,4.4,0.9815,3107.5,5,1.0,14,4,5,347,0.013367,0.1176,53.3333,14,6.6,0.0706,0.0221,0,1
16,5000,3051,1,5,3,1.8825,2,169.9,3,3044,4.4,0.9839,3100.9,7,1.0,15,4,3,303,0.01736,0.1209,79.5455,15,6.9,0.0691,0.0225,1,0
17,5000,3125,1,5,3,1.8748,2,170.2,3120,0,4.47,1.0069,3103.6,5,1.0,12,1,4,320,0.016566,0.1443,56.1798,16,8.2,0.0979,0.0305,1,2
18,5000,3075,0,0,3,1.9242,2,177.2,4,3071,4.48,0.9918,3100.6,4,1.0,13,4,3,275,0.017663,0.1098,51.9481,17,7.6,0.0793,0.0224,0,0
19,5000,3089,2,5,3,1.8454,1,183.4,9,3076,4.48,0.9966,3099.4,13,1.0,14,2,1,302,0.018091,0.1649,141.3043,18,6.9,0.0766,0.0386,2,1
20,5000,2991,2,5,3,1.8516,1,179.3,4,2977,4.34,0.9683,3089.1,14,1.0,15,4,3,327,0.014066,0.0789,140.0,19,6.5,0.0702,0.014,1,1
21,5000,3090,0,0,3,1.8937,2,191.7,3080,0,4.48,1.0003,3089.2,10,1.0,11,5,9,328,0.015648,0.1304,37.625,20,9.1,0.0714,0.0318,0,0
22,5000,3162,0,0,3,1.9287,1,192.1,3161,0,4.5,1.0216,3096.2,2,1.0,10,2,3,262,0.022167,0.1429,0.0,21,10.7,0.0872,0.0313,0,0
23,5000,3091,0,0,3,1.9103,1,193.2,1,3090,4.53,0.9985,3095.7,1,1.0,10,1,1,243,0.02296,0.1707,0.0,22,11.7,0.0889,0.0351,0,0
24,5000,3047,1,4,3,1.9498,1,192.9,4,3043,4.44,0.9857,3091.1,4,1.0,10,1,1,251,0.021529,0.1613,65.5738,23,11.1,0.1022,0.0349,0,1
25,5000,3099,0,0,3,1.9855,1,196.3,3095,0,4.45,1.0023,3091.8,4,1.0,10,0,0,230,0.024089,0.1525,67.7966,24,12.1,0.0847,0.0351,0,0
26,5000,3124,1,5,3,1.9701,1,203.8,3109,0,4.49,1.0094,3094.9,15,1.0,14,7,3,288,0.017372,0.1325,189.8734,25,9.4,0.0637,0.0281,1,0
27,4999,3188,0,0,3,1.8901,1,199.3,3186,0,4.51,1.0295,3104.5,10,1.0,12,1,3,285,0.017286,0.1321,91.8367,26,11.4,0.0755,0.027,0,0
28,4999,3058,2,4,1,1.8085,1,197.9,7,3051,4.38,0.9864,3100.1,7,1.0,13,2,1,283,0.017913,0.1224,73.6842,27,11.3,0.0729,0.0238,0,0
29,4999,3136,1,5,1,1.8182,1,206.2,3131,0,4.52,1.0105,3103.5,5,1.0,13,1,1,299,0.017327,0.1028,48.0769,28,12.1,0.0771,0.0183,1,0
30,4998,3111,3,5,1,1.9035,2,195.5,3096,0,4.51,1.0022,3104.2,15,1.0,13,4,4,352,0.014924,0.1091,138.6139,29,12.3,0.0737,0.0232,1,0
