window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node
1,5000,6028,16,6,0,1.9975,0,34.9,0,0,6.48,1.0,6028.0,603,1.0,378,568,190,2064,0.000982,0.0067,403.6145,0,0.0,0.0063,0.0011,4,0
2,5000,3671,4,5,0,1.9977,0,34.8,448,3217,5.17,0.8276,4482.7,454,1.0,298,11,91,2120,0.001192,0.01,131.3298,1,1.0,0.0074,0.0013,3,0
3,5000,3376,1,4,0,1.9978,0,42.2,238,3153,4.8,0.8625,3940.8,223,1.0,250,5,53,1913,0.001519,0.0118,263.0952,2,1.9,0.0073,0.002,0,0
4,5000,3056,0,0,3,1.9978,0,52.9,40,3038,4.58,0.856,3595.7,18,1.0,164,0,86,1647,0.001884,0.0178,33.5196,3,2.9,0.0081,0.0024,0,0
5,5000,3101,0,0,3,1.9977,0,77.5,0,3101,4.51,0.9039,3430.8,0,1.0,110,0,54,1263,0.002784,0.0234,0.0,4,3.9,0.0137,0.004,0,0
6,5000,3044,0,0,0,1.9975,1,92.2,4,3040,4.42,0.9168,3320.3,4,1.0,72,4,42,960,0.003881,0.0314,15.8103,5,4.7,0.0214,0.0062,0,0
7,5000,3110,1,5,0,1.9974,1,106.7,4,3101,4.54,0.9517,3267.7,9,1.0,61,1,12,748,0.005128,0.0388,36.5854,6,5.6,0.0228,0.0074,1,0
8,5000,3054,0,0,1,1.9962,1,113.2,4,3050,4.45,0.9484,3220.2,4,1.0,45,0,16,664,0.006351,0.0462,22.0994,7,6.5,0.0359,0.0101,0,0
9,5000,3139,0,0,0,1.9959,1,116.7,2,3137,4.5,0.9797,3204.0,2,1.0,33,0,12,574,0.007519,0.0524,0.0,8,7.7,0.038,0.0096,0,0
10,5000,3072,0,0,0,1.9974,1,123.6,0,3072,4.46,0.966,3180.0,0,1.0,21,0,12,435,0.010609,0.073,0.0,9,8.6,0.0547,0.015,0,0
11,5000,3031,1,3,0,1.9969,1,143.9,0,3031,4.45,0.9607,3155.2,0,1.0,17,1,5,359,0.01383,0.1158,0.0,10,8.9,0.0571,0.0202,0,1
12,5000,3097,3,4,0,1.9961,1,153.2,12,3085,4.5,0.9844,3146.2,12,1.0,18,3,2,364,0.013717,0.0901,113.2075,11,8.2,0.0553,0.0193,0,0
13,5000,3206,1,5,1,1.9939,2,159.5,3197,0,4.56,1.0162,3154.7,9,1.0,16,1,3,340,0.014354,0.0943,88.2353,12,9.1,0.0741,0.0185,1,1
14,5000,3042,0,0,3,1.9938,2,163.6,7,3035,4.38,0.9689,3139.7,7,1.0,17,3,2,325,0.015342,0.102,72.9167,13,9.5,0.0714,0.0224,0,0
15,5000,3157,2,5,3,1.9876,1,168.3,3135,0,4.6,1.0048,3141.9,22,1.0,19,7,5,389,0.012105,0.1095,164.0625,14,7.9,0.0487,0.0212,2,0
