window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node
1,5000,6060,11,5,0,1.9985,0,33.4,0,0,6.63,1.0,6060.0,645,1.0,405,621,216,2176,0.000902,0.0057,397.4122,0,0.0,0.0057,0.001,1,0
2,5000,3799,1,5,0,1.9985,0,35.9,486,3302,5.26,0.837,4570.0,497,1.0,339,6,72,2188,0.001108,0.0065,385.214,1,1.0,0.0062,0.001,1,0
3,5000,3402,1,5,0,1.9986,0,41.5,275,3154,4.94,0.8579,4001.5,248,1.0,284,3,58,2009,0.001345,0.0118,253.0738,2,2.0,0.0082,0.0016,1,0
4,5000,3004,1,5,0,1.9985,0,48.2,60,2984,4.4,0.8412,3618.5,20,1.0,191,1,94,1818,0.001646,0.0219,30.1003,3,2.9,0.0113,0.0023,1,0
5,5000,3032,3,5,0,1.9985,0,66.0,2,3020,4.37,0.8858,3423.0,12,1.0,134,5,62,1433,0.002358,0.0284,27.3349,4,3.8,0.0199,0.0037,1,0
6,5000,3216,2,4,0,1.9985,0,95.0,6,3200,4.62,0.956,3363.9,16,1.0,88,2,48,1150,0.003224,0.0255,52.2876,5,4.6,0.0198,0.0049,0,0
7,5000,3092,2,5,0,1.9951,2,106.2,8,3071,4.43,0.9381,3295.9,21,1.0,68,7,27,910,0.004267,0.0319,78.125,6,5.1,0.0254,0.0065,1,0
8,5000,3057,2,5,0,1.9951,2,120.0,16,3031,4.48,0.9427,3242.8,26,1.0,64,17,21,823,0.004683,0.0594,95.7854,7,4.9,0.0305,0.0093,1,0
9,5000,3105,1,5,0,1.9766,2,132.0,15,3075,4.45,0.9657,3215.2,30,1.0,52,2,14,710,0.005493,0.0578,142.1569,8,5.4,0.0306,0.0101,1,0
10,5000,3163,1,5,3,1.9824,2,137.0,18,3135,4.49,0.9867,3205.7,28,1.0,46,1,7,626,0.006932,0.0521,140.7035,9,6.1,0.0353,0.0115,1,0
