window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node
1,5000,5986,13,4,0,1.9989,0,33.0,0,0,6.46,1.0,5986.0,567,1.0,355,539,184,1977,0.001016,0.0061,402.1277,0,0.0,0.0,0.0011,0,0
2,5000,3577,3,5,0,1.9989,0,35.9,454,3121,5.07,0.8197,4399.3,456,1.0,295,8,68,2014,0.001244,0.0066,319.4939,1,1.0,0.0062,0.001,2,0
3,5000,3342,2,5,0,1.9989,0,41.5,274,3080,4.86,0.8678,3885.7,262,1.0,258,7,44,1868,0.001535,0.0126,283.5333,2,1.9,0.0086,0.0018,2,0
4,5000,3044,1,5,0,1.999,0,52.6,62,3003,4.49,0.8634,3561.4,41,1.0,170,2,90,1673,0.001834,0.0194,75.0469,3,2.9,0.0136,0.0026,1,0
5,5000,3028,3,5,0,1.999,0,69.4,3,3005,4.44,0.8949,3383.6,23,1.0,123,11,58,1380,0.00239,0.0249,54.1176,4,3.6,0.0172,0.0041,3,0
6,5000,3113,1,4,0,1.9987,2,95.6,4,3094,4.49,0.9415,3306.3,19,1.0,95,1,29,1107,0.003356,0.0351,56.8862,5,4.5,0.0203,0.0054,0,0
7,5000,3078,0,0,1,1.9972,2,101.4,3,3066,4.54,0.9473,3249.2,12,1.0,76,3,22,935,0.004092,0.0519,42.7046,6,5.2,0.0248,0.0078,0,0
8,5000,3117,1,5,3,1.9927,1,117.5,3,3109,4.51,0.9681,3219.8,8,1.0,59,1,18,787,0.005234,0.0484,34.632,7,6.2,0.0269,0.009,1,0
9,5000,3065,1,5,0,1.9947,1,127.7,0,3060,4.44,0.9612,3188.9,5,1.0,55,1,5,673,0.006177,0.0413,23.9234,8,7.0,0.0271,0.0084,1,0
10,5000,3072,0,0,3,1.9972,2,137.0,0,3072,4.45,0.9698,3167.6,0,1.0,46,0,9,639,0.006559,0.069,0.0,9,7.8,0.0355,0.0121,0,0
11,5000,3081,0,0,3,1.986,1,126.1,6,3075,4.46,0.9771,3153.2,6,1.0,41,6,11,587,0.007165,0.0782,29.9401,10,7.7,0.0363,0.0134,0,0
12,5000,3015,2,5,1,1.9979,1,133.6,17,2998,4.39,0.9627,3131.9,17,1.0,32,7,16,563,0.007763,0.0654,107.9137,11,7.2,0.0386,0.014,1,0
