window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node
1,5000,6057,8,5,0,1.9993,0,33.6,0,0,6.53,1.0,6057.0,503,1.0,318,485,167,1773,0.001139,0.0086,398.8898,0,0.0,0.0086,0.0013,1,0
2,5000,3606,3,5,0,1.9993,0,36.5,376,3207,5.09,0.8179,4439.7,399,1.0,255,9,72,1820,0.001346,0.0092,210.5613,1,1.0,0.0066,0.0013,2,0
3,5000,3428,1,5,0,1.9993,0,43.6,229,3210,4.92,0.8743,3943.8,218,1.0,213,1,43,1595,0.001782,0.0097,278.7097,2,2.0,0.0075,0.0019,1,0
4,5000,3140,0,0,3,1.9993,0,49.0,61,3108,4.56,0.8721,3633.9,32,1.0,150,2,65,1402,0.002183,0.0182,66.1157,3,2.9,0.0103,0.0026,0,1
5,5000,3106,1,3,0,1.9993,0,70.8,2,3104,4.54,0.8982,3457.9,2,1.0,94,1,57,1094,0.00317,0.025,6.2893,4,3.9,0.0139,0.004,0,0
6,5000,3056,1,5,0,1.9992,1,91.5,1,3050,4.47,0.9141,3343.1,6,1.0,72,2,24,859,0.004303,0.0456,21.097,5,4.8,0.0323,0.0068,1,0
7,5000,3126,2,5,0,1.9975,2,105.6,0,3116,4.54,0.9505,3288.8,10,1.0,48,5,29,650,0.005877,0.0498,56.4972,6,5.2,0.0408,0.0105,1,0
8,5000,3034,1,3,1,1.9956,2,110.4,0,3034,4.38,0.9387,3232.2,0,1.0,42,1,7,533,0.007137,0.0494,0.0,7,5.9,0.0383,0.0109,0,0
9,5000,3219,0,0,0,1.998,2,125.2,0,3219,4.55,0.9967,3229.6,0,1.0,29,0,13,451,0.00923,0.073,0.0,8,6.6,0.0511,0.0154,0,0
10,5000,3045,1,4,0,1.9839,1,137.2,4,3041,4.45,0.9528,3196.0,4,1.0,21,1,9,340,0.013029,0.093,48.1928,9,7.2,0.0628,0.0196,0,0
11,5000,3149,0,0,1,1.9949,1,146.2,6,3143,4.54,0.9877,3188.2,6,1.0,17,2,6,319,0.015246,0.1271,45.4545,10,7.2,0.0695,0.0255,0,0
12,5000,3148,1,3,0,1.9907,1,152.0,5,3140,4.48,0.9893,3182.0,8,1.0,18,5,4,289,0.016753,0.125,83.3333,11,5.9,0.0818,0.0318,0,0
13,5000,3169,0,0,1,1.9946,1,146.6,0,3169,4.56,0.9965,3180.1,0,1.0,14,0,4,272,0.017867,0.1098,0.0,12,7.4,0.078,0.022,0,0
14,5000,3118,1,5,3,1.9935,1,158.7,6,3112,4.48,0.983,3171.8,6,1.0,12,2,4,252,0.018579,0.1639,103.4483,13,6.9,0.0874,0.0412,1,0
15,5000,3059,0,0,3,1.9874,1,166.4,1,3058,4.48,0.9687,3157.7,1,1.0,11,1,2,234,0.021388,0.1884,0.0,14,8.4,0.0966,0.0464,0,0
16,5000,3087,1,4,3,1.9937,1,175.8,4,3083,4.45,0.9802,3149.4,4,1.0,11,1,1,234,0.021138,0.1607,74.0741,14,8.0,0.0744,0.0369,0,0
17,5000,3044,0,0,3,1.9651,1,178.3,2,3042,4.43,0.9701,3137.7,2,1.0,11,2,2,245,0.019808,0.1406,16.129,15,8.5,0.1016,0.03,0,0
18,5000,3091,1,5,3,1.944,1,180.3,6,3085,4.43,0.9867,3132.8,6,1.0,10,2,3,235,0.020708,0.16,70.4225,16,9.6,0.0952,0.0334,1,0
19,5000,3139,0,0,3,1.9175,1,181.8,3139,0,4.51,1.0018,3133.4,0,1.0,9,0,1,215,0.02397,0.129,0.0,17,11.2,0.1106,0.0186,0,0
20,5000,3148,2,5,1,1.9094,1,191.5,3139,0,4.51,1.0042,3134.8,9,1.0,11,4,2,268,0.018128,0.1233,100.0,18,10.0,0.089,0.0221,1,0
21,5000,3058,3,5,3,1.9861,1,185.4,7,3041,4.49,0.9778,3127.5,17,1.0,18,9,2,330,0.013293,0.1102,149.1228,19,6.7,0.0527,0.0206,1,0
22,5000,3094,0,0,3,1.9839,2,188.1,0,3089,4.47,0.9903,3124.3,5,1.0,16,0,2,330,0.015172,0.0833,54.9451,20,8.2,0.0671,0.0194,0,0
23,5000,3064,0,0,3,1.9628,1,191.3,0,3059,4.45,0.9825,3118.6,5,1.0,13,0,3,310,0.017064,0.1304,58.8235,21,10.3,0.0839,0.0223,0,2
24,5000,2992,0,0,3,1.8911,1,194.7,0,2992,4.35,0.9631,3106.5,0,1.0,11,0,2,251,0.019767,0.1231,0.0,22,12.8,0.0813,0.0246,0,0
