window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node
77,4954,3110,1,4,1,1.8678,1,165.1,3105,0,4.46,1.0122,3072.4,5,1.0,11,1,1,224,0.020776,0.1579,98.0392,35,8.2,0.0737,0.0343,0,0
78,4951,3044,0,0,3,1.8674,1,176.0,0,3039,4.46,0.9916,3069.7,5,1.0,12,5,4,204,0.022556,0.1356,92.5926,36,7.6,0.0915,0.0316,0,0
79,4949,3059,1,5,1,1.9766,1,165.7,0,3049,4.48,0.9969,3068.7,10,1.0,10,1,3,219,0.0214,0.1972,156.25,37,9.6,0.0869,0.0455,1,0
80,4948,3082,0,0,1,1.9809,1,168.4,3082,0,4.51,1.0039,3069.9,0,1.0,9,0,1,200,0.027282,0.1667,0.0,38,11.0,0.1139,0.0237,0,0
81,4947,2986,0,0,3,1.973,1,171.2,0,2986,4.42,0.9752,3061.9,0,1.0,7,0,2,185,0.028157,0.2121,0.0,39,11.1,0.1576,0.0482,0,1
82,4946,3023,2,5,1,1.9431,1,166.0,5,3013,4.49,0.9885,3058.2,10,1.0,9,4,2,204,0.025921,0.1818,158.7302,40,9.0,0.1136,0.044,1,0
83,4945,3003,1,4,3,1.9809,1,175.0,7,2996,4.44,0.9836,3053.0,7,1.0,10,1,0,206,0.023194,0.1806,97.2222,41,9.0,0.0995,0.0425,0,0
84,4942,2996,0,0,3,1.9281,2,165.0,7,2989,4.47,0.9831,3047.5,7,1.0,11,4,3,221,0.020546,0.1364,114.7541,42,8.9,0.0909,0.0291,0,0
85,4938,3044,0,0,3,1.8451,1,168.5,8,3033,4.51,0.9989,3047.2,11,1.0,11,4,4,241,0.019488,0.1552,173.0769,43,9.7,0.0862,0.0371,0,0
86,4936,3014,2,5,1,1.9127,1,167.5,10,2999,4.45,0.9901,3044.0,15,1.0,11,2,2,238,0.020383,0.1538,208.3333,44,9.7,0.0989,0.0342,1,0
87,4935,3032,2,4,3,1.9476,1,170.3,14,3010,4.46,0.9964,3042.9,22,1.0,13,4,2,253,0.019387,0.1667,247.0588,45,9.1,0.081,0.0347,0,0
88,4933,3018,0,0,3,1.9506,2,169.7,3,3010,4.52,0.9926,3040.5,8,1.0,11,0,2,244,0.020075,0.1205,101.2658,46,11.3,0.0947,0.0252,0,0
89,4929,2966,0,0,3,1.9814,1,166.5,3,2959,4.4,0.9778,3033.4,7,1.0,10,0,1,225,0.022349,0.1515,109.375,47,12.8,0.1061,0.0264,0,0
90,4928,3074,1,3,3,1.8881,1,177.8,3068,0,4.44,1.0121,3037.3,6,1.0,9,2,3,226,0.022288,0.1875,101.6949,48,14.7,0.1027,0.0346,0,0
91,4928,3062,0,0,3,1.9575,1,164.8,3059,0,4.47,1.0074,3039.6,3,1.0,9,0,0,192,0.024542,0.1692,46.875,49,15.7,0.1099,0.0306,0,0
92,4928,3110,1,5,1,1.9749,1,175.9,3103,0,4.47,1.0209,3046.3,7,1.0,9,1,1,215,0.022758,0.1528,101.4493,50,16.4,0.1024,0.0307,1,0
93,4928,3091,2,5,3,1.952,1,164.5,3076,0,4.5,1.0132,3050.6,15,1.0,11,2,0,248,0.022176,0.15,192.3077,51,14.3,0.0912,0.0311,2,0
94,4928,3057,0,0,3,1.9583,2,171.0,3047,0,4.51,1.0019,3051.2,10,1.0,10,0,1,248,0.023664,0.1848,113.6364,52,14.0,0.1002,0.0354,0,1
