window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node
1,5000,5984,12,3,0,1.9985,0,34.1,0,0,6.48,1.0,5984.0,545,1.0,351,525,174,1867,0.001023,0.0063,406.1103,0,0.0,0.0,0.0011,0,0
2,5000,3617,2,5,0,1.9986,0,37.8,425,3178,5.1,0.8242,4427.3,439,1.0,287,14,78,1930,0.00126,0.0081,393.3393,1,1.0,0.0071,0.0012,2,0
3,5000,3418,3,4,0,1.9987,0,44.2,223,3202,4.95,0.8738,3931.2,216,1.0,255,12,44,1797,0.00153,0.0113,247.1396,2,1.9,0.0099,0.0017,0,0
4,5000,3113,1,5,0,1.9987,0,52.1,53,3072,4.57,0.8678,3612.7,41,1.0,161,2,96,1576,0.001872,0.0177,77.3585,3,2.8,0.0144,0.0026,1,0
5,5000,3131,0,0,3,1.9987,0,77.1,4,3122,4.53,0.907,3452.1,9,1.0,117,0,44,1233,0.002686,0.0324,22.9592,4,3.8,0.017,0.0041,0,0
6,5000,3056,1,4,0,1.9989,1,91.9,9,3047,4.41,0.9153,3339.0,9,1.0,87,3,33,1027,0.003495,0.0322,29.703,5,4.6,0.0253,0.0051,0,0
7,5000,3038,1,3,0,1.9989,1,102.3,1,3037,4.45,0.9308,3263.7,1,1.0,63,2,26,789,0.00465,0.03,4.7619,6,5.4,0.02,0.0058,0,0
8,5000,3125,0,0,3,1.9985,2,110.4,1,3124,4.43,0.9666,3232.9,1,1.0,48,1,16,648,0.005886,0.0526,0.0,7,6.4,0.037,0.0095,0,0
9,5000,3138,2,5,0,1.9965,1,114.2,9,3129,4.48,0.9764,3213.9,9,1.0,43,3,8,549,0.007196,0.0559,52.3256,8,6.9,0.0317,0.0096,1,1
10,5000,3106,0,0,1,1.9802,1,128.1,7,3099,4.41,0.9724,3194.3,7,1.0,35,2,10,494,0.008454,0.0638,38.1679,9,7.7,0.0496,0.0131,0,0
11,5000,3094,1,5,0,1.9818,1,135.7,5,3079,4.45,0.9737,3177.6,15,1.0,31,6,10,440,0.009408,0.0569,132.7434,10,7.3,0.0508,0.0133,1,0
12,5000,3042,0,0,1,1.9932,1,145.9,0,3037,4.43,0.9637,3156.7,5,1.0,26,0,5,389,0.010493,0.0756,44.6429,11,7.7,0.0588,0.0144,0,0
13,5000,3040,0,0,0,1.9874,1,157.0,3,3037,4.42,0.9681,3140.0,3,1.0,21,3,8,363,0.012972,0.068,10.6383,12,7.9,0.0583,0.0179,0,0
14,5000,3200,1,5,3,1.9908,1,156.5,3192,0,4.59,1.0165,3148.0,8,1.0,21,4,4,326,0.012675,0.1443,84.2105,13,7.9,0.0747,0.0282,1,1
15,5000,3084,0,0,1,1.9966,1,152.8,3,3081,4.47,0.9822,3140.0,3,1.0,19,3,5,304,0.014225,0.1087,35.7143,14,7.8,0.0788,0.0252,0,0
16,5000,3096,0,0,3,1.9827,1,154.0,3,3093,4.43,0.9876,3134.9,3,1.0,12,0,7,270,0.016439,0.1481,44.7761,15,7.9,0.0926,0.031,0,0
17,5000,2985,0,0,3,1.9412,1,157.1,9,2976,4.38,0.9573,3118.2,9,1.0,17,6,1,231,0.017862,0.1014,142.8571,16,6.3,0.0761,0.0208,0,0
18,5000,3163,0,0,3,1.9495,1,168.5,3158,0,4.6,1.0128,3122.9,5,1.0,17,2,2,251,0.017378,0.0968,35.7143,17,7.3,0.0699,0.016,0,0
19,5000,3079,0,0,3,1.9621,1,165.8,3,3076,4.44,0.9873,3118.5,3,1.0,15,0,2,226,0.017724,0.1094,49.1803,18,8.6,0.0898,0.0263,0,0
20,5000,3077,0,0,3,1.8744,1,168.3,0,3077,4.46,0.9879,3114.6,0,1.0,10,0,5,193,0.02547,0.1778,0.0,19,11.4,0.1444,0.0487,0,0
21,5000,3100,2,4,1,1.8148,1,171.2,7,3093,4.49,0.9958,3113.2,7,1.0,10,3,3,218,0.024231,0.1538,98.3607,19,10.0,0.1038,0.036,0,0
22,5000,3082,1,3,1,1.8199,1,177.4,5,3075,4.53,0.9909,3110.2,7,1.0,11,6,5,232,0.020231,0.1316,90.9091,20,8.2,0.1096,0.0225,0,1
23,5000,3020,1,5,1,1.8956,2,178.8,3,3012,4.47,0.9737,3101.6,8,1.0,9,1,3,208,0.023993,0.2414,156.8627,21,10.1,0.1379,0.053,1,0
24,4999,3073,1,5,1,1.9506,2,199.5,8,3065,4.42,0.9916,3098.9,8,1.0,10,1,0,189,0.02887,0.2333,137.931,22,10.0,0.1333,0.0522,1,0
25,4998,3054,0,0,1,1.9713,2,201.5,4,3050,4.44,0.9869,3094.6,4,1.0,8,2,4,209,0.026575,0.1698,42.5532,23,13.0,0.1245,0.0358,0,0
26,4998,2975,1,3,3,1.933,1,205.7,0,2970,4.35,0.9649,3083.2,5,1.0,11,4,1,193,0.021293,0.1395,128.2051,24,10.2,0.1023,0.0305,0,0
27,4998,2984,0,0,3,1.9329,1,200.8,4,2980,4.41,0.9708,3073.8,4,1.0,13,4,2,212,0.02043,0.12,57.971,25,9.4,0.0853,0.0254,0,0
28,4998,3063,1,4,1,1.9242,1,203.6,10,3053,4.45,0.9968,3072.8,10,1.0,12,3,4,246,0.019136,0.1392,130.4348,26,10.5,0.0861,0.029,0,0
29,4998,3167,0,0,3,1.9494,1,199.4,3174,0,4.6,1.0324,3083.3,9,1.0,15,5,2,243,0.019885,0.1158,103.4483,27,7.5,0.0842,0.025,0,0
30,4998,3025,0,0,3,1.9784,1,200.1,0,3020,4.41,0.9829,3077.7,5,1.0,12,0,3,223,0.020025,0.1286,84.7458,28,7.8,0.0929,0.0237,0,1
31,4996,3082,2,5,1,1.9749,1,206.8,3068,0,4.48,1.0013,3078.1,14,1.0,10,3,5,227,0.019592,0.1471,228.0702,29,7.2,0.1059,0.0308,1,0
32,4994,3046,0,0,3,1.9776,1,210.3,3,3038,4.38,0.9906,3075.1,8,1.0,8,0,2,156,0.032297,0.234,170.2128,30,9.5,0.1404,0.0526,0,0
33,4993,3096,1,5,1,1.9797,1,209.0,3081,0,4.43,1.0062,3077.0,15,1.0,8,3,3,191,0.025944,0.2115,297.8723,31,7.2,0.1192,0.0466,1,1
34,4992,3007,0,0,1,1.9506,1,213.0,5,2997,4.38,0.9794,3070.4,10,1.0,7,2,3,173,0.028847,0.18,173.913,32,9.3,0.136,0.0368,0,0
35,4991,3011,2,4,1,1.9788,1,213.0,10,3001,4.46,0.9825,3064.7,10,1.0,9,5,3,210,0.021131,0.1455,135.4248,33,8.0,0.12,0.0284,0,0
36,4991,3062,1,5,3,1.9597,1,206.5,0,3057,4.46,0.9992,3064.5,5,1.0,9,1,1,205,0.0239,0.2115,100.0,34,8.4,0.0994,0.0506,1,0
37,4991,3166,1,3,3,1.9934,2,216.6,3179,0,4.56,1.0355,3075.9,6,1.0,10,5,4,237,0.021916,0.1806,23.8538,35,8.5,0.1065,0.0427,0,0
38,4990,3161,0,0,3,1.99,2,214.7,3163,0,4.46,1.0261,3084.4,2,1.0,10,2,2,219,0.023595,0.1471,0.0,36,9.5,0.1078,0.0362,0,0
39,4989,3143,1,3,1,1.992,1,216.2,3141,0,4.53,1.0174,3090.1,3,1.0,10,2,2,214,0.022612,0.1628,71.4286,37,9.1,0.1008,0.0413,0,0
40,4988,3198,0,0,1,1.9586,1,217.2,3204,0,4.52,1.0332,3100.9,0,1.0,9,0,1,199,0.024463,0.1373,0.0,38,10.9,0.098,0.0294,0,0
41,4988,3140,1,5,3,1.9785,1,213.4,3130,0,4.62,1.0114,3104.7,10,1.0,11,6,4,237,0.018775,0.1429,128.2051,39,9.1,0.0933,0.0279,1,1
42,4988,3128,0,0,3,1.9668,1,208.4,3123,0,4.48,1.0068,3106.9,5,1.0,11,0,0,203,0.021558,0.1452,86.2069,40,10.1,0.0887,0.0325,0,0
43,4988,3098,2,5,1,1.9569,1,215.3,5,3090,4.54,0.9974,3106.0,8,1.0,11,3,3,251,0.016918,0.1408,106.0606,41,10.0,0.0915,0.0288,1,1
44,4988,3083,3,3,3,1.976,1,213.8,9,3065,4.48,0.9933,3103.8,18,1.0,15,10,6,276,0.014595,0.1512,243.2432,42,7.3,0.0795,0.029,0,0
45,4987,2946,1,5,3,1.9733,2,218.0,20,2921,4.4,0.9538,3088.8,25,1.0,21,11,5,310,0.012734,0.1635,258.0645,43,5.9,0.0673,0.0338,1,0
46,4987,3118,0,0,3,1.981,2,222.4,3094,0,4.44,1.0085,3091.6,24,1.0,21,6,6,310,0.012907,0.0702,234.6939,44,6.4,0.0576,0.0138,0,0
47,4987,3154,0,0,3,1.9667,1,212.6,3138,0,4.54,1.0182,3097.5,16,1.0,20,0,1,293,0.014208,0.08,175.8242,45,7.8,0.06,0.0155,0,0
48,4984,3041,0,0,3,1.9494,1,214.9,3,3034,4.41,0.9835,3092.2,7,1.0,15,4,9,313,0.014283,0.1633,83.3333,46,10.3,0.0758,0.035,0,0
49,4984,3022,0,0,3,1.9855,1,215.9,5,3017,4.44,0.9794,3085.5,5,1.0,14,3,4,226,0.02043,0.125,80.6452,47,10.2,0.0859,0.0249,0,1
50,4983,3021,0,0,3,1.9072,1,208.1,3,3018,4.44,0.9811,3079.3,3,1.0,11,0,3,216,0.021415,0.1538,50.8475,48,12.4,0.1026,0.0373,0,0
51,4981,3110,1,5,3,1.8554,1,199.7,3105,0,4.48,1.009,3082.3,5,1.0,10,1,2,216,0.023013,0.2623,84.7458,49,14.2,0.1054,0.0615,1,0
52,4980,3107,0,0,3,1.9501,1,175.9,3105,0,4.53,1.0073,3084.6,2,1.0,8,2,4,222,0.025925,0.1587,0.0,50,17.9,0.1247,0.0363,0,0
53,4980,3037,0,0,3,1.9772,1,167.8,0,3037,4.48,0.986,3080.1,0,1.0,7,0,1,183,0.029313,0.2222,0.0,51,19.9,0.1444,0.0456,0,1
54,4979,3144,1,3,3,1.9547,1,170.3,3142,0,4.51,1.0187,3086.2,2,1.0,8,1,0,174,0.032947,0.1818,45.4545,52,18.2,0.1364,0.0341,0,0
55,4979,3037,1,3,3,1.9726,1,163.6,2,3035,4.49,0.9856,3081.5,2,1.0,8,3,3,193,0.024813,0.1509,0.0,53,17.9,0.1195,0.0187,0,0
56,4979,3080,1,4,3,1.958,2,168.0,0,3075,4.4,0.9996,3081.3,5,1.0,11,3,0,198,0.024678,0.1231,80.6452,54,13.7,0.1026,0.0191,0,0
57,4978,3053,0,0,3,1.9383,2,167.2,0,3043,4.39,0.9917,3078.6,10,1.0,12,5,4,220,0.019855,0.1324,172.4138,55,13.1,0.0882,0.0313,0,0
58,4977,3082,1,3,1,1.9955,1,172.4,3077,0,4.45,1.001,3079.0,5,1.0,11,2,3,213,0.020412,0.1194,64.5161,56,15.1,0.0995,0.0237,0,0
59,4976,3156,2,5,1,1.9772,1,164.8,3148,0,4.56,1.0232,3086.5,10,1.0,14,7,4,268,0.017772,0.1212,96.7742,57,12.4,0.0808,0.0227,1,0
60,4975,3028,0,0,1,1.9068,2,168.6,0,3023,4.41,0.9828,3080.9,5,1.0,11,0,3,254,0.02157,0.1231,67.7966,58,16.4,0.0813,0.0265,0,0
61,4973,3044,2,5,1,1.9374,1,166.4,7,3032,4.39,0.9891,3077.4,12,1.0,13,6,4,287,0.017778,0.1143,151.5152,59,14.5,0.0786,0.0209,1,0
62,4973,3080,1,5,3,1.8775,1,169.2,3065,0,4.4,1.0008,3077.6,15,1.0,14,3,2,307,0.016322,0.1196,159.0909,60,14.4,0.0737,0.023,1,0
63,4972,3057,3,5,1,1.9368,2,166.2,7,3036,4.48,0.9939,3075.7,21,1.0,17,5,2,352,0.013216,0.1491,190.9091,61,10.4,0.0712,0.0335,1,1
64,4970,3117,0,0,3,1.9067,2,164.8,3111,0,4.49,1.0124,3079.7,7,1.0,18,4,3,341,0.013551,0.1148,58.8235,62,10.7,0.0592,0.0247,0,0
65,4967,3049,1,5,3,1.8999,1,171.8,7,3037,4.47,0.991,3076.8,12,1.0,17,1,2,349,0.014013,0.09,123.7113,63,11.9,0.06,0.0179,1,1
66,4965,2981,2,5,3,1.9555,1,166.5,7,2960,4.41,0.972,3067.8,21,1.0,16,2,3,370,0.013433,0.136,182.6087,64,13.2,0.0696,0.0302,2,1
67,4965,3057,1,5,3,1.9694,2,175.5,3,3039,4.39,0.9968,3066.7,18,1.0,14,1,3,308,0.016134,0.1139,240.0,22,6.7,0.0791,0.0247,1,3
68,4960,2984,1,5,3,1.9656,2,165.8,0,2974,4.44,0.9755,3058.9,10,1.0,13,1,2,275,0.019483,0.1176,123.4568,23,7.5,0.0824,0.0233,1,0
