seed,window,links,v_labels,alive_tracked,mean_social,mean_stability,mean_spread,mean_familiarity,count_social,count_isolated,count_deeply_connected,reciprocal_pairs,asymmetric_pairs,fam_symmetry_mean,fam_symmetry_std,att_overlap_mean,att_overlap_pairs
1,24,2970,23,23,0.3818,0.6686,0.8174,11.4122,8,7,11,66,57,0.8683,0.2131,23.3,227
1,25,2841,20,20,0.4422,0.675,0.8136,7.9707,8,6,4,48,48,0.8155,0.2635,27.8,160
1,26,2746,17,17,0.4982,0.6779,0.8033,7.1663,7,3,4,39,34,0.8114,0.2711,29.8,131
1,27,2779,15,15,0.4882,0.6581,0.8137,4.8754,6,3,1,26,30,0.8338,0.2307,30.5,90
1,28,2819,19,19,0.4046,0.6579,0.8179,8.399,6,5,5,35,46,0.8394,0.2349,32.4,144
1,29,2864,16,16,0.4798,0.6806,0.8092,6.84,6,3,4,40,36,0.8143,0.2349,42.6,111
1,30,2834,18,18,0.4194,0.6599,0.8257,19.9103,8,6,8,47,37,0.8643,0.1852,32.3,146
1,31,2742,20,20,0.375,0.6765,0.8058,10.6801,8,8,10,57,52,0.7926,0.2738,30.6,171
1,32,2705,17,17,0.4467,0.6655,0.82,9.9949,8,4,7,50,38,0.8016,0.2782,37.0,130
1,33,2879,22,22,0.4318,0.6777,0.8284,16.0224,8,3,12,70,54,0.8095,0.271,32.2,212
1,34,2804,24,24,0.4544,0.6782,0.8194,12.3176,8,3,14,78,64,0.8483,0.2093,28.0,253
1,35,2811,22,22,0.5227,0.6592,0.8156,9.1999,9,1,9,81,50,0.8204,0.2526,42.4,217
1,36,2811,23,23,0.4903,0.6765,0.8242,12.4115,9,4,11,94,55,0.8022,0.2749,46.3,239
1,37,2881,28,28,0.4312,0.6682,0.8152,13.2107,13,9,14,112,83,0.8027,0.2648,38.2,346
1,38,2722,22,22,0.5713,0.6601,0.8052,9.0107,15,3,8,106,53,0.8018,0.259,54.6,219
1,39,2816,23,23,0.5605,0.6691,0.8312,10.8357,14,3,8,106,61,0.8444,0.2323,54.4,247
1,40,2710,24,24,0.5735,0.6652,0.8292,9.3311,16,3,12,129,58,0.8236,0.2596,60.0,267
1,41,2807,29,29,0.4861,0.675,0.8347,16.4564,16,8,17,144,85,0.8132,0.2627,50.9,385
1,42,2755,30,30,0.5151,0.6671,0.8294,11.2284,16,9,19,157,109,0.8004,0.2852,52.8,418
1,43,2732,30,30,0.5163,0.6644,0.8242,13.2053,16,10,17,167,80,0.8091,0.2541,52.7,402
1,44,2819,22,22,0.6634,0.6636,0.8296,10.0752,16,2,13,142,46,0.7951,0.2854,84.4,227
1,45,2625,25,25,0.6082,0.674,0.8322,10.934,17,4,12,161,65,0.8017,0.2862,76.5,298
1,46,2607,25,25,0.6514,0.6645,0.8369,12.3673,17,3,18,170,72,0.8169,0.2664,86.7,296
1,47,2738,32,32,0.5417,0.6625,0.8405,13.0068,19,6,26,202,107,0.8293,0.2409,61.9,467
1,48,2657,32,32,0.5219,0.6678,0.8276,13.6178,17,6,19,203,106,0.8236,0.262,59.4,463
1,49,2731,24,24,0.6467,0.6698,0.8263,10.6414,17,0,15,178,55,0.8326,0.2557,90.7,273
1,50,2696,25,25,0.6605,0.6635,0.8321,10.2389,19,0,16,200,57,0.8315,0.2702,89.1,295
1,51,2742,31,31,0.5704,0.6669,0.8426,13.5464,20,5,24,244,84,0.8383,0.2527,83.1,449
1,52,2710,29,29,0.6669,0.6755,0.8272,13.4815,22,3,22,250,75,0.8514,0.2379,85.9,397
1,53,2713,28,28,0.6667,0.6681,0.8338,11.8437,21,3,20,235,70,0.8581,0.2331,90.3,376
1,54,2676,30,30,0.6556,0.6724,0.8411,15.0253,22,5,19,250,89,0.846,0.238,84.1,426
1,55,2661,32,32,0.5951,0.6649,0.8337,13.691,22,7,24,261,89,0.8446,0.2408,72.1,479
1,56,2713,28,28,0.6848,0.6779,0.8371,10.98,21,2,19,240,73,0.843,0.2392,87.6,376
1,57,2746,26,26,0.7496,0.6517,0.8386,11.1741,21,1,16,225,56,0.8326,0.2542,94.7,325
1,58,2641,31,31,0.629,0.67,0.8367,14.4959,21,8,25,225,79,0.8616,0.2411,66.6,443
1,59,2645,29,29,0.6634,0.6586,0.8392,12.4167,21,3,22,244,77,0.8377,0.2427,88.9,401
1,60,2632,28,28,0.75,0.6789,0.8364,12.2614,22,0,22,254,66,0.8425,0.2467,95.0,376
1,61,2672,31,31,0.6833,0.6632,0.8347,12.0606,22,3,19,263,100,0.8264,0.2554,72.1,456
1,62,2670,33,33,0.666,0.6597,0.8356,13.4326,24,4,24,298,99,0.8348,0.2449,75.1,516
1,63,2644,33,33,0.668,0.6702,0.8235,12.087,24,4,26,290,112,0.8136,0.2615,69.2,518
1,64,2604,33,33,0.7087,0.6681,0.8407,14.6983,27,3,24,320,101,0.8047,0.2664,76.4,518
1,65,2670,33,33,0.6923,0.6553,0.8355,11.6583,27,3,22,319,110,0.8171,0.25,75.3,519
1,66,2605,33,33,0.6928,0.6737,0.836,12.6583,26,6,23,304,88,0.8319,0.2549,78.4,511
1,67,2676,30,30,0.7474,0.6713,0.841,13.6986,25,2,25,307,62,0.8386,0.2443,99.8,433
1,68,2677,32,32,0.7246,0.6615,0.8392,12.7111,27,1,23,366,63,0.8534,0.234,100.6,494
1,69,2626,40,40,0.6178,0.6524,0.8348,13.4092,28,6,31,426,123,0.853,0.2284,66.8,759
2,20,2834,24,24,0.4649,0.6678,0.8603,16.1856,11,3,21,75,51,0.9023,0.1795,31.1,248
2,21,2865,31,31,0.4205,0.6723,0.8239,15.0841,14,10,26,121,101,0.7833,0.2741,37.0,431
2,22,2895,34,34,0.4697,0.6767,0.8189,12.3043,15,8,23,166,126,0.7903,0.2748,38.9,511
2,23,2795,35,35,0.4821,0.6649,0.8232,13.0131,16,6,25,186,138,0.8301,0.2489,42.9,544
2,24,2871,30,30,0.5802,0.6678,0.8235,12.9727,18,6,20,187,95,0.7952,0.2702,57.1,414
2,25,2843,27,27,0.6305,0.6647,0.831,10.6625,18,2,16,200,70,0.8021,0.2699,73.1,344
2,26,2852,26,26,0.6513,0.668,0.8292,9.4688,19,3,12,185,71,0.8186,0.252,77.0,322
2,27,2766,26,26,0.6218,0.6653,0.8323,12.1245,18,4,14,181,54,0.8358,0.2376,72.3,318
2,28,2838,38,38,0.4874,0.6686,0.8246,13.2105,19,16,25,221,140,0.8225,0.2649,41.8,626
2,29,2816,32,32,0.5756,0.6671,0.8218,11.3722,19,5,19,224,112,0.8205,0.2563,60.4,464
2,30,2740,30,30,0.6143,0.6709,0.8233,9.4989,20,3,11,224,101,0.8297,0.2535,58.8,425
2,31,2718,32,32,0.5892,0.673,0.8318,11.1473,20,6,18,228,119,0.8156,0.2593,58.1,465
2,32,2814,31,31,0.6364,0.6671,0.8314,11.8464,21,5,20,253,115,0.7931,0.2769,72.4,451
2,33,2712,40,40,0.5155,0.6588,0.8308,13.7616,22,12,29,316,172,0.8097,0.2602,54.5,735
2,34,2739,42,42,0.5205,0.6665,0.8333,12.8546,24,13,27,333,209,0.8012,0.2589,57.0,811
2,35,2819,37,37,0.6069,0.6651,0.8302,10.9267,26,7,20,352,140,0.8063,0.2524,67.6,649
2,36,2731,36,36,0.6183,0.6678,0.836,11.1497,26,7,22,321,111,0.8095,0.254,64.2,611
2,37,2800,32,32,0.6568,0.6672,0.8272,9.4117,24,2,14,279,95,0.8056,0.2629,67.9,488
2,38,2732,30,30,0.6957,0.6643,0.8224,8.8771,24,1,11,275,92,0.7857,0.279,77.5,430
2,39,2658,30,30,0.6981,0.6593,0.825,10.3864,24,2,13,285,61,0.8196,0.2548,82.2,424
2,40,2754,31,31,0.647,0.6589,0.8303,14.1589,24,4,17,282,66,0.8339,0.2413,77.9,451
2,41,2741,31,31,0.7031,0.6801,0.8413,10.916,25,2,16,302,67,0.7984,0.2678,84.4,453
2,42,2711,26,26,0.8316,0.664,0.8451,11.0503,26,0,13,297,15,0.8184,0.2387,118.8,325
2,43,2687,32,32,0.6834,0.6654,0.8452,15.8324,26,5,26,310,66,0.8047,0.2604,78.3,493
2,44,2722,26,26,0.8121,0.6675,0.8398,13.0508,26,0,21,290,27,0.8248,0.2536,117.6,325
2,45,2705,29,29,0.7824,0.6596,0.8417,12.7682,27,2,21,318,46,0.8224,0.2613,98.2,406
2,46,2815,26,26,0.8212,0.6671,0.8444,12.7774,25,0,20,279,27,0.828,0.2501,109.0,325
2,47,2639,34,34,0.645,0.6679,0.837,14.0062,25,6,29,303,86,0.8103,0.2592,74.8,547
2,48,2616,33,33,0.6928,0.6618,0.8337,13.2847,25,4,29,315,91,0.8395,0.243,77.5,525
2,49,2756,37,37,0.6394,0.6537,0.8396,16.9392,26,7,29,347,112,0.8238,0.2474,71.1,654
2,50,2599,32,32,0.7148,0.6661,0.8319,13.9022,26,4,26,325,82,0.8243,0.2462,88.0,492
2,51,2631,35,35,0.6881,0.6657,0.8374,12.3182,26,4,28,344,109,0.8221,0.2514,74.2,583
2,52,2632,29,29,0.7946,0.6617,0.8356,10.7408,25,2,18,294,64,0.8166,0.2564,94.0,403
2,53,2639,27,27,0.814,0.6681,0.8389,10.7181,25,1,17,272,49,0.8308,0.2515,100.0,350
2,54,2698,33,33,0.6815,0.6627,0.8447,13.2124,26,6,27,305,95,0.8236,0.2559,77.9,520
2,55,2678,35,35,0.6673,0.6653,0.8323,11.9612,27,7,24,342,111,0.8164,0.2504,79.6,581
2,56,2674,40,40,0.6236,0.6636,0.8332,13.8996,28,6,32,415,153,0.8266,0.2402,68.5,753
2,57,2578,38,38,0.6837,0.6681,0.8369,14.2417,29,4,29,424,114,0.7874,0.2789,82.9,689
2,58,2688,43,43,0.5986,0.6723,0.8285,13.0727,28,9,31,429,183,0.7939,0.2703,65.2,864
2,59,2628,41,41,0.6315,0.6571,0.8333,16.902,28,8,31,423,161,0.8165,0.2446,70.4,795
2,60,2601,45,45,0.5767,0.6737,0.8312,14.5266,28,12,34,460,178,0.8297,0.24,59.6,939
2,61,2592,41,41,0.6398,0.6705,0.8231,10.8418,29,6,25,455,173,0.798,0.2607,61.9,803
2,62,2574,40,40,0.6733,0.6717,0.8285,10.735,30,1,22,474,159,0.8022,0.2619,67.2,765
2,63,2507,51,51,0.5587,0.6634,0.8226,11.8856,30,9,32,493,269,0.8043,0.2542,45.6,1192
2,64,2624,41,41,0.6504,0.67,0.8182,10.1645,29,4,18,434,183,0.7924,0.2622,57.0,810
2,65,2656,44,44,0.6211,0.6695,0.8288,10.8605,29,8,24,466,160,0.7967,0.257,53.5,904
2,66,2534,47,47,0.5979,0.6639,0.8282,12.6791,30,10,31,509,209,0.8001,0.2658,58.0,1032
2,67,2577,46,46,0.6122,0.659,0.8248,12.7492,31,7,25,504,196,0.7773,0.2774,56.8,994
2,68,2593,48,48,0.605,0.667,0.8274,11.2831,32,6,29,555,248,0.7987,0.2587,61.7,1091
2,69,2498,44,44,0.663,0.6689,0.8252,10.6615,32,3,24,542,217,0.7802,0.2627,71.3,926
3,20,2837,23,23,0.4169,0.6559,0.8493,13.3221,7,3,17,49,53,0.8892,0.1916,25.7,227
3,21,2726,24,24,0.4905,0.6687,0.8303,14.2533,10,4,18,90,53,0.8135,0.2641,38.4,259
3,22,2853,24,24,0.508,0.6767,0.8207,15.179,11,4,17,97,63,0.8163,0.2566,41.5,254
3,23,2876,25,25,0.4867,0.6519,0.8113,13.7209,11,7,13,97,72,0.8054,0.2707,39.7,280
3,24,2814,27,27,0.4921,0.6854,0.8269,16.0606,13,9,20,124,74,0.7832,0.2755,40.9,326
3,25,2868,25,25,0.5138,0.6666,0.8282,13.4109,13,5,17,130,63,0.7689,0.2839,49.3,280
3,26,2880,24,24,0.5396,0.6597,0.826,11.0034,14,7,10,120,53,0.8184,0.2371,55.5,266
3,27,2780,29,29,0.4414,0.6558,0.828,13.7874,12,11,16,153,74,0.7803,0.2672,43.8,368
3,28,2878,25,25,0.5216,0.6555,0.8209,10.6699,13,6,7,142,63,0.8156,0.2406,49.3,288
3,29,2815,23,23,0.5708,0.6556,0.8359,8.425,14,4,8,132,60,0.8214,0.2483,68.3,244
3,30,2839,23,23,0.5501,0.6673,0.831,16.515,13,5,11,125,42,0.7873,0.2808,58.3,250
3,31,2840,20,20,0.6548,0.6663,0.834,7.99,15,0,4,121,31,0.7895,0.2853,75.8,189
3,32,2905,20,20,0.6712,0.6782,0.8419,8.4407,15,0,6,130,29,0.8141,0.2656,84.8,189
3,33,2758,19,19,0.6967,0.6589,0.839,10.3931,15,0,11,135,20,0.8403,0.2316,107.5,171
3,34,2845,19,19,0.7671,0.6751,0.8431,9.641,17,0,9,136,18,0.8221,0.2587,102.4,171
3,35,2677,21,21,0.7542,0.6588,0.84,12.3898,20,1,16,153,28,0.8267,0.2522,98.9,210
3,36,2854,25,25,0.6503,0.6541,0.8357,12.5182,20,4,16,161,53,0.8249,0.237,72.0,296
3,37,2765,26,26,0.6476,0.6558,0.8264,12.5265,20,2,17,180,65,0.8042,0.2584,71.8,321
3,38,2734,29,29,0.569,0.6576,0.8232,12.31,19,5,18,175,84,0.782,0.2775,59.6,384
3,39,2787,28,28,0.5833,0.6715,0.825,12.4709,18,6,16,152,90,0.7839,0.2942,52.6,351
3,40,2707,37,37,0.4646,0.6732,0.8321,15.2444,19,15,27,208,139,0.7879,0.2736,41.5,599
3,41,2718,32,32,0.5734,0.6549,0.8207,11.4758,19,4,21,222,121,0.8057,0.2487,55.3,478
3,42,2696,31,31,0.5772,0.6629,0.8239,10.8718,19,6,15,224,103,0.7979,0.2607,64.3,444
3,43,2764,29,29,0.6085,0.6643,0.8279,9.8886,20,5,15,217,82,0.7648,0.2729,73.7,398
3,44,2726,35,35,0.5457,0.6743,0.829,14.6457,21,8,20,256,131,0.813,0.2422,60.1,568
3,45,2757,37,37,0.528,0.6656,0.8285,13.6539,20,10,24,294,140,0.7878,0.2815,61.7,635
3,46,2791,35,35,0.5695,0.6594,0.8328,11.3297,22,7,21,308,130,0.8013,0.2652,78.6,574
3,47,2633,35,35,0.5827,0.6647,0.8264,10.7931,22,5,19,300,138,0.8155,0.2549,69.2,577
3,48,2606,35,35,0.6431,0.6713,0.8228,10.5362,24,4,19,318,137,0.8177,0.2591,68.3,573
3,49,2759,36,36,0.5964,0.6576,0.8344,13.1843,24,8,22,318,112,0.8087,0.2677,64.1,608
3,50,2803,29,29,0.7316,0.6628,0.8317,10.6395,24,1,18,291,64,0.8244,0.2526,98.2,406
3,51,2666,28,28,0.7753,0.656,0.8349,10.9241,24,1,16,287,60,0.8298,0.2501,100.2,378
3,52,2744,31,31,0.6835,0.6636,0.8428,13.7559,24,4,19,288,70,0.8301,0.2498,84.5,456
3,53,2630,32,32,0.6828,0.6661,0.8347,14.6139,23,5,22,291,80,0.8355,0.232,84.3,491
3,54,2812,40,40,0.5701,0.6718,0.8373,18.4653,25,10,32,352,157,0.8284,0.2399,62.2,742
3,55,2670,45,45,0.5354,0.663,0.8251,12.2807,27,12,28,412,207,0.8047,0.2612,56.6,935
3,56,2685,42,42,0.5965,0.6601,0.8224,11.828,27,7,24,407,177,0.814,0.2573,60.4,834
3,57,2648,45,45,0.5684,0.6714,0.8283,16.3107,28,10,33,405,201,0.8289,0.2566,60.6,926
3,58,2622,46,46,0.5381,0.6535,0.8278,15.1032,27,10,36,435,199,0.8484,0.2313,57.0,971
3,59,2690,40,40,0.6289,0.6705,0.8264,10.8503,26,4,23,410,165,0.829,0.2489,66.0,751
3,60,2621,35,35,0.6728,0.6568,0.8232,11.9942,25,4,17,347,120,0.8414,0.237,76.6,579
3,61,2586,37,37,0.6465,0.6594,0.8364,12.5354,26,6,17,368,119,0.8293,0.2496,67.5,648
3,62,2609,31,31,0.7565,0.6571,0.8291,8.8407,26,0,12,338,74,0.8142,0.2622,95.3,461
3,63,2627,30,30,0.7792,0.6713,0.8366,9.2122,26,0,14,324,62,0.8372,0.2488,103.5,434
3,64,2540,32,32,0.7301,0.6713,0.8464,11.4676,27,2,19,340,90,0.8368,0.2511,98.3,492
3,65,2520,33,33,0.715,0.6705,0.8362,12.5103,28,2,22,359,95,0.8132,0.2692,105.4,522
3,66,2569,37,37,0.6383,0.6636,0.8427,14.8031,27,6,33,365,119,0.816,0.263,81.6,642
3,67,2483,36,36,0.6984,0.6618,0.8331,13.0339,27,4,28,368,137,0.7871,0.2693,88.6,617
3,68,2425,32,32,0.7935,0.6613,0.8287,11.4827,28,1,20,358,85,0.8064,0.2578,93.7,493
3,69,2645,35,35,0.7264,0.6688,0.841,13.2813,28,6,25,361,107,0.7985,0.262,85.8,581
4,20,2912,26,26,0.4264,0.6601,0.8582,16.3507,12,9,22,88,69,0.9179,0.1648,39.7,291
4,21,2969,24,24,0.4928,0.6839,0.8329,15.0317,12,6,21,109,55,0.8706,0.2143,63.6,263
4,22,2918,29,29,0.4222,0.6579,0.8239,15.4582,12,10,20,133,82,0.8684,0.2209,44.0,372
4,23,2953,26,26,0.5,0.6685,0.8232,12.2748,13,6,16,150,72,0.8226,0.2697,54.1,314
4,24,2888,30,30,0.4797,0.6644,0.827,12.3368,14,10,19,161,87,0.7976,0.276,47.4,401
4,25,2903,27,27,0.5332,0.6576,0.8252,10.6247,15,6,14,150,76,0.8032,0.26,53.1,334
