seed,from,to,familiarity
12,6,22,11.3912
12,6,69,4.5444
12,6,58,32.5451
12,6,17,24.3079
12,6,27,12.5357
12,6,7,4.1565
12,6,67,12.0329
12,6,28,33.2834
12,6,61,3.7013
12,6,88,3.4127
12,7,69,46.0053
12,7,28,13.1841
12,7,58,9.6181
12,7,6,4.1565
12,7,61,12.5073
12,7,17,24.5972
12,7,22,17.8322
12,7,27,20.5795
12,7,67,18.7727
12,7,88,16.4265
12,17,69,44.4891
12,17,27,30.7949
12,17,6,24.3079
12,17,28,2.1091
12,17,7,24.5972
12,17,61,12.4555
12,17,67,44.4531
12,17,22,24.849
12,17,58,34.4622
12,17,88,14.2355
12,22,6,8.2064
12,22,69,3.0553
12,22,61,6.6347
12,22,27,16.5734
12,22,17,21.5088
12,22,7,13.342
12,22,67,24.2844
12,22,58,1.5985
12,27,58,25.1061
12,27,69,2.2969
12,27,17,23.6782
12,27,67,5.8185
12,27,6,10.9341
12,27,61,16.3559
12,27,28,4.6487
12,27,22,16.5953
12,27,7,15.8179
12,28,6,27.3871
12,28,67,21.4539
12,28,17,1.4077
12,28,61,3.8137
12,28,7,7.3455
12,28,69,4.2755
12,58,27,38.7588
12,58,6,32.5451
12,58,69,33.656
12,58,7,9.6181
12,58,61,14.3917
12,58,67,38.886
12,58,28,10.513
12,58,17,34.4622
12,58,22,4.9693
12,58,88,17.0308
12,61,28,10.9101
12,61,67,21.4089
12,61,7,12.5073
12,61,58,14.3917
12,61,17,12.4555
12,61,27,19.72
12,61,22,7.2827
12,61,69,13.4105
12,61,6,3.7013
12,61,88,15.5887
12,67,61,21.4089
12,67,27,16.4795
12,67,6,12.0329
12,67,17,44.4531
12,67,69,5.2006
12,67,58,38.886
12,67,28,42.4079
12,67,22,40.4798
12,67,7,18.7727
12,67,88,10.4241
12,69,6,1.6199
12,69,28,4.8733
12,69,58,33.5886
12,69,7,45.9488
12,69,61,10.4705
12,69,17,43.1577
12,69,67,1.8152
12,69,22,3.0549
12,69,27,2.2732
12,69,88,13.5348
12,88,28,1.1207
12,88,69,13.5348
12,88,61,12.3553
12,88,7,14.3924
12,88,67,2.984
12,88,58,2.3818
12,88,17,10.8169
