window,alive_nodes,alive_links,n_clusters,n_encapsulated,n_candidates,max_size,max_density_ratio,max_seen_count,mean_inner_entropy,max_inner_entropy,total_inner_triangles,motif_recurrence_count,encap_events_total,dissolve_events_total,hardened_links_count,k_star,entropy,entropy_delta,milestone,physics_seconds,max_lifespan,mean_continuity,max_continuity,mean_turnover_rate,resonant_incorporations,dissonant_incorporations,resonant_rejections,dissonant_rejections,resonance_total_events,resonance_ratio,pd_p_count,pd_d_count,pd_both_count,personalities_recorded
1,5000,6163,21,0,21,5,0.75,1,0,0,0,0,0,0,0,0,1.9969,1.9969,0,17.2,1,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0
2,5000,3796,1,0,1,3,1.3333,2,0,0,0,0,0,0,0,0,1.9969,0.0001,0,18.3,2,0.0,0.0,0.0952,0,0,67,94,161,0.0,0,0,0,0
3,5000,3610,1,0,1,3,0.6667,1,0,0,0,0,0,0,0,0,1.9969,0.0,0,20.3,2,0.0,0.0,0.0909,0,0,68,95,163,0.0,0,0,0,0
4,5000,3384,4,0,4,5,1.2,2,0,0,0,0,0,0,0,0,1.9969,0.0,0,23.6,2,0.5,1.0,0.0833,0,0,70,98,168,0.0,0,0,0,0
5,5000,3229,3,0,3,5,0.9,2,0,0,0,0,0,0,0,0,1.9969,-0.0,0,25.8,2,0.3333,1.0,0.1867,0,0,80,101,181,0.0,0,0,0,0
6,5000,3178,1,0,1,5,0.6667,2,0,0,0,0,0,0,0,0,1.9969,0.0,0,28.9,2,0.3333,1.0,0.1867,0,0,89,108,197,0.0,0,0,0,0
7,5000,3163,3,0,3,5,0.6667,1,0,0,0,0,0,0,0,0,1.9977,0.0008,2,30.5,2,0.3333,1.0,0.1667,0,0,92,111,203,0.0,0,0,0,0
8,5000,3123,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.9956,-0.0021,2,32.9,2,0.3333,1.0,0.1667,0,0,99,123,222,0.0,0,0,0,0
9,5000,3101,2,0,2,5,1.6,2,0,0,0,0,0,0,0,0,1.9937,-0.0019,1,33.6,2,0.3333,1.0,0.1609,0,0,99,123,222,0.0,0,1,0,0
10,5000,3117,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9937,-0.0,1,36.7,2,0.3333,1.0,0.1609,0,0,101,127,228,0.0,0,0,0,0
11,5000,3070,2,0,2,5,1.0,1,0,0,0,0,0,0,0,0,1.9843,-0.0094,1,36.0,2,0.3333,1.0,0.1505,0,0,101,127,228,0.0,0,0,0,0
12,5000,3105,1,0,1,5,0.7111,2,0,0,0,0,0,0,0,3,1.9966,0.0123,1,38.1,2,0.3333,1.0,0.3111,0,0,52,56,108,0.0,0,0,0,0
13,5000,3018,1,0,1,5,0.8571,1,0,0,0,0,0,0,0,3,1.9758,-0.0208,2,39.9,2,0.5,1.0,0.1778,0,0,55,58,113,0.0,0,0,0,0
