window,alive_nodes,alive_links,n_clusters,n_encapsulated,n_candidates,max_size,max_density_ratio,max_seen_count,mean_inner_entropy,max_inner_entropy,total_inner_triangles,motif_recurrence_count,encap_events_total,dissolve_events_total,hardened_links_count,k_star,entropy,entropy_delta,milestone,physics_seconds,max_lifespan,mean_continuity,max_continuity,mean_turnover_rate,resonant_incorporations,dissonant_incorporations,resonant_rejections,dissonant_rejections,resonance_total_events,resonance_ratio,pd_p_count,pd_d_count,pd_both_count,personalities_recorded
1,5000,6150,13,0,13,6,0.6667,1,0,0,0,0,0,0,0,0,1.9994,1.9994,0,17.2,1,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0
2,5000,3755,3,0,3,5,1.3333,2,0,0,0,0,0,0,0,0,1.9994,0.0,0,18.7,2,0.3333,0.3333,0.0889,0,1,35,33,69,0.0,0,0,0,0
3,5000,3445,3,0,3,5,0.5,1,0,0,0,0,0,0,0,0,1.9993,-0.0,0,20.7,2,0.3333,0.3333,0.0741,0,1,40,40,81,0.0,0,0,0,0
4,5000,3446,1,0,1,5,0.8,2,0,0,0,0,0,0,0,0,1.9993,0.0,0,24.0,2,0.3333,0.3333,0.0741,0,1,50,51,102,0.0,0,0,0,0
5,5000,3272,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.9994,0.0,2,25.4,2,0.3333,0.3333,0.0741,0,1,54,55,110,0.0,0,0,0,0
6,5000,3039,1,0,1,5,0.0,1,0,0,0,0,0,0,0,0,1.9995,0.0001,1,28.5,2,0.3333,0.3333,0.0702,0,1,54,55,110,0.0,0,0,0,0
7,5000,3131,3,0,3,5,1.1429,1,0,0,0,0,0,0,0,0,1.9995,0.0,0,30.6,2,0.3333,0.3333,0.0606,0,1,58,62,121,0.0,0,0,0,0
8,5000,3161,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.9952,-0.0043,2,33.2,2,0.3333,0.3333,0.0606,0,1,66,70,137,0.0,0,0,0,0
9,5000,2988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9953,0.0001,1,35.0,2,0.3333,0.3333,0.0606,0,1,66,70,137,0.0,0,0,0,0
10,5000,3138,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9987,0.0034,1,35.7,2,0.3333,0.3333,0.0606,0,1,66,70,137,0.0,0,0,0,0
11,5000,3132,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9975,-0.0012,1,37.6,2,0.3333,0.3333,0.0606,0,1,66,70,137,0.0,0,0,0,0
12,5000,3040,2,0,2,5,1.0667,1,0,0,0,0,0,0,0,3,1.9812,-0.0163,1,38.8,2,0.3333,0.3333,0.1026,0,1,38,41,80,0.0,0,0,0,0
13,5000,3150,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9855,0.0044,1,40.0,2,0.0,0.0,0.0,0,0,32,40,72,0.0,0,0,0,0
14,5000,3068,2,0,2,5,1.2,1,0,0,0,0,0,0,0,1,1.9447,-0.0408,1,41.0,2,0.0,0.0,0.0,0,0,22,29,51,0.0,0,0,0,0
15,5000,2949,1,0,1,4,2.0,1,0,0,0,0,0,0,0,3,1.922,-0.0227,1,41.1,1,0.0,0.0,0.0,0,0,18,27,45,0.0,0,1,0,0
16,5000,3169,1,0,1,5,0.5143,1,0,0,0,0,0,0,0,3,1.9604,0.0384,2,41.9,1,0.0,0.0,0.0,0,0,19,29,48,0.0,0,0,0,0
17,5000,3105,2,0,2,5,0.2,1,0,0,0,0,0,0,0,3,1.8937,-0.0668,2,44.0,1,0.0,0.0,0.0,0,0,17,27,44,0.0,0,0,0,0
18,5000,3027,1,0,1,5,0.2667,1,0,0,0,0,0,0,0,3,1.8812,-0.0125,2,44.4,1,0.0,0.0,0.0,0,0,14,24,38,0.0,0,0,0,0
19,5000,3095,1,0,1,5,2.0,1,0,0,0,0,0,0,0,3,1.9656,0.0844,2,45.3,1,0.0,0.0,0.0,0,0,18,26,44,0.0,0,1,0,0
20,5000,3144,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9569,-0.0087,2,45.0,1,0.0,0.0,0.0,0,0,20,28,48,0.0,0,0,0,0
21,5000,3097,2,0,2,5,0.0,1,0,0,0,0,0,0,0,3,1.9633,0.0064,1,45.8,1,0.0,0.0,0.0,0,0,20,28,48,0.0,0,0,0,0
22,5000,3017,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9251,-0.0382,1,46.9,1,0.0,0.0,0.0,0,0,27,38,65,0.0,0,0,0,0
23,5000,3009,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9518,0.0267,1,47.0,1,0.0,0.0,0.0,0,0,25,30,55,0.0,0,0,0,0
24,5000,3113,2,0,2,5,1.5,2,0,0,0,0,0,0,0,1,1.9785,0.0267,1,48.3,2,0.0,0.0,0.0,0,0,25,30,55,0.0,0,1,0,0
25,5000,3009,1,0,1,4,1.0,1,0,0,0,0,0,0,0,1,1.9569,-0.0216,1,48.9,2,0.0,0.0,0.0,0,0,24,30,54,0.0,0,0,0,0
26,5000,3078,1,0,1,3,0.2667,1,0,0,0,0,0,0,0,1,1.9761,0.0192,2,49.4,2,0.0,0.0,0.0,0,0,25,30,55,0.0,0,0,0,0
27,5000,3033,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9975,0.0214,2,48.7,2,0.0,0.0,0.0,0,0,25,28,53,0.0,0,0,0,0
28,4998,3081,1,0,1,4,0.75,1,0,0,0,0,0,0,0,1,2.0,0.0025,1,51.2,2,0.0,0.0,0.0,0,0,20,23,43,0.0,0,0,0,0
29,4998,3132,2,0,2,5,1.0,1,0,0,0,0,0,0,0,1,1.9932,-0.0068,1,49.9,2,0.0,0.0,0.0,0,0,22,25,47,0.0,0,0,0,0
30,4998,2975,1,0,1,5,1.2,1,0,0,0,0,0,0,0,3,1.9837,-0.0095,2,50.0,2,0.0,0.0,0.0,0,0,25,28,53,0.0,0,0,0,0
31,4996,3056,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9776,-0.0061,2,51.5,2,0.0,0.0,0.0,0,0,25,33,58,0.0,0,0,0,0
32,4995,2930,1,0,1,4,0.0,1,0,0,0,0,0,0,0,3,1.9749,-0.0027,1,51.0,2,0.0,0.0,0.0,0,0,18,23,41,0.0,0,0,0,0
33,4994,3141,1,0,1,5,0.9143,1,0,0,0,0,0,0,0,3,1.9801,0.0052,1,50.9,2,0.0,0.0,0.0,0,0,21,24,45,0.0,0,0,0,0
34,4990,3157,1,0,1,3,1.3333,1,0,0,0,0,0,0,0,3,1.9492,-0.0309,2,53.0,2,0.0,0.0,0.0,0,0,22,30,52,0.0,0,0,0,0
35,4988,3104,2,0,2,5,1.2,1,0,0,0,0,0,0,0,3,1.9846,0.0353,2,51.6,1,0.0,0.0,0.0,0,0,16,26,42,0.0,0,0,0,0
36,4983,2993,2,0,2,5,1.2,2,0,0,0,0,0,0,0,1,1.9299,-0.0546,2,53.0,2,0.0,0.0,0.0,0,0,19,27,46,0.0,0,0,0,0
37,4982,2994,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.876,-0.0539,2,53.6,2,0.0,0.0,0.0,0,0,20,28,48,0.0,0,0,0,0
38,4979,2975,2,0,2,5,0.6,1,0,0,0,0,0,0,0,1,1.8824,0.0064,1,52.9,2,0.0,0.0,0.0,0,0,20,28,48,0.0,0,0,0,0
39,4977,3122,1,0,1,3,0.4444,1,0,0,0,0,0,0,0,1,1.9251,0.0427,1,50.7,2,0.0,0.0,0.0,0,0,22,32,54,0.0,0,0,0,0
40,4977,3023,4,0,4,5,1.6,3,0,0,0,0,0,0,0,3,1.9747,0.0496,2,51.7,3,0.0,0.0,0.0,0,0,20,31,51,0.0,1,1,1,1
41,4975,3123,1,0,1,3,0.6667,1,0,0,0,0,0,0,0,1,1.9907,0.016,2,52.4,3,0.0,0.0,0.0,0,0,28,30,58,0.0,0,0,0,1
42,4973,3061,2,0,2,5,0.8,1,0,0,0,0,0,0,0,2,1.9967,0.0059,2,54.3,3,0.0,0.0,0.0,0,0,29,31,60,0.0,0,0,0,1
