window,alive_nodes,alive_links,n_clusters,n_encapsulated,n_candidates,max_size,max_density_ratio,max_seen_count,mean_inner_entropy,max_inner_entropy,total_inner_triangles,motif_recurrence_count,encap_events_total,dissolve_events_total,hardened_links_count,k_star,entropy,entropy_delta,milestone,physics_seconds,max_lifespan,mean_continuity,max_continuity,mean_turnover_rate,resonant_incorporations,dissonant_incorporations,resonant_rejections,dissonant_rejections,resonance_total_events,resonance_ratio,pd_p_count,pd_d_count,pd_both_count,personalities_recorded
1,5000,6058,16,0,16,4,0.6667,1,0,0,0,0,0,0,0,0,1.9994,1.9994,0,17.1,1,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0
2,5000,3764,3,0,3,5,0.9,1,0,0,0,0,0,0,0,0,1.9995,0.0,0,18.4,1,0.0,0.0,0.0,0,0,35,47,82,0.0,0,0,0,0
3,5000,3529,2,0,2,4,1.0,1,0,0,0,0,0,0,0,0,1.9995,0.0,0,20.7,1,0.0,0.0,0.0,0,0,43,68,111,0.0,0,0,0,0
4,5000,3358,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9995,0.0,0,23.2,1,0.0,0.0,0.0,0,0,48,74,122,0.0,0,0,0,0
5,5000,3325,1,0,1,5,1.6,2,0,0,0,0,0,0,0,0,1.9994,-0.0001,0,24.8,2,0.0,0.0,0.0,0,0,48,74,122,0.0,0,1,0,0
6,5000,3007,3,0,3,5,0.96,1,0,0,0,0,0,0,0,0,1.9992,-0.0003,1,27.7,2,0.0,0.0,0.0,0,0,51,76,127,0.0,0,0,0,0
7,5000,3066,1,0,1,3,0.3333,1,0,0,0,0,0,0,0,0,1.9999,0.0008,0,30.5,2,0.0,0.0,0.0,0,0,65,81,146,0.0,0,0,0,0
8,5000,3115,2,0,2,5,0.5333,2,0,0,0,0,0,0,0,0,1.9979,-0.002,2,32.6,2,0.0,0.0,0.0,0,0,68,84,152,0.0,0,0,0,0
9,5000,3144,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.9969,-0.001,2,34.4,2,0.0,0.0,0.0,0,0,78,93,171,0.0,0,0,0,0
10,5000,3119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9894,-0.0075,1,36.0,2,0.0,0.0,0.0,0,0,78,93,171,0.0,0,0,0,0
11,5000,3055,1,0,1,3,1.3333,1,0,0,0,0,0,0,0,0,1.9931,0.0037,1,36.1,2,0.0,0.0,0.0,0,0,78,93,171,0.0,0,0,0,0
12,5000,3093,1,0,1,4,1.0,1,0,0,0,0,0,0,0,0,1.9966,0.0034,1,38.3,2,0.0,0.0,0.0,0,0,48,51,99,0.0,0,0,0,0
13,5000,3063,1,0,1,5,0.6,1,0,0,0,0,0,0,0,3,1.9871,-0.0095,2,39.3,2,0.0,0.0,0.0,0,0,41,30,71,0.0,0,0,0,0
14,5000,3094,1,0,1,5,0.0,1,0,0,0,0,0,0,0,3,1.9583,-0.0287,2,41.0,2,0.0,0.0,0.0,0,0,38,26,64,0.0,0,0,0,0
15,5000,3103,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9023,-0.056,2,41.3,2,0.0,0.0,0.0,0,0,43,28,71,0.0,0,0,0,0
16,5000,3065,1,0,1,4,0.75,1,0,0,0,0,0,0,0,1,1.9426,0.0403,1,41.8,2,0.0,0.0,0.0,0,0,38,26,64,0.0,0,0,0,0
17,5000,2969,1,0,1,5,0.0,1,0,0,0,0,0,0,0,3,1.9686,0.0261,1,43.3,2,0.0,0.0,0.0,0,0,29,24,53,0.0,0,0,0,0
18,5000,3031,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9144,-0.0543,2,43.1,2,0.0,0.0,0.0,0,0,29,26,55,0.0,0,0,0,0
19,5000,3128,1,0,1,4,0.6,1,0,0,0,0,0,0,0,3,1.9314,0.017,1,44.5,1,0.0,0.0,0.0,0,0,17,13,30,0.0,0,0,0,0
20,5000,3096,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9252,-0.0062,1,45.7,1,0.0,0.0,0.0,0,0,19,16,35,0.0,0,0,0,0
21,5000,3070,1,0,1,5,2.0,1,0,0,0,0,0,0,0,3,1.8871,-0.0381,1,45.9,1,0.0,0.0,0.0,0,0,19,16,35,0.0,0,1,0,0
22,5000,3027,2,0,2,5,2.0,1,0,0,0,0,0,0,0,3,1.9505,0.0633,1,47.1,1,0.0,0.0,0.0,0,0,19,16,35,0.0,0,1,0,0
23,5000,3162,1,0,1,5,0.1778,1,0,0,0,0,0,0,0,3,1.952,0.0016,2,46.8,1,0.0,0.0,0.0,0,0,21,20,41,0.0,0,0,0,0
24,5000,3060,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9499,-0.0021,2,47.4,1,0.0,0.0,0.0,0,0,23,23,46,0.0,0,0,0,0
25,5000,3128,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9457,-0.0042,1,47.6,1,0.0,0.0,0.0,0,0,18,21,39,0.0,0,0,0,0
26,4999,2988,1,0,1,5,1.2,1,0,0,0,0,0,0,0,1,1.9003,-0.0454,1,48.1,1,0.0,0.0,0.0,0,0,18,21,39,0.0,0,0,0,0
27,4998,3039,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.877,-0.0233,1,50.4,1,0.0,0.0,0.0,0,0,14,20,34,0.0,0,0,0,0
28,4998,3058,1,0,1,5,1.3333,1,0,0,0,0,0,0,0,1,1.8842,0.0071,1,49.7,1,0.0,0.0,0.0,0,0,11,15,26,0.0,0,0,0,0
29,4996,3078,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.7863,-0.0979,1,52.6,1,0.0,0.0,0.0,0,0,13,19,32,0.0,0,0,0,0
30,4996,3104,2,0,2,4,1.5,1,0,0,0,0,0,0,0,3,1.7028,-0.0835,1,52.0,1,0.0,0.0,0.0,0,0,11,16,27,0.0,0,1,0,0
31,4995,3170,2,0,2,5,0.64,1,0,0,0,0,0,0,0,3,1.8078,0.1049,1,49.7,1,0.0,0.0,0.0,0,0,14,20,34,0.0,0,0,0,0
32,4994,3110,1,0,1,3,0.4444,1,0,0,0,0,0,0,0,3,1.8149,0.0072,2,51.6,1,0.0,0.0,0.0,0,0,21,27,48,0.0,0,0,0,0
33,4994,3048,2,0,2,5,1.3333,1,0,0,0,0,0,0,0,3,1.8232,0.0082,2,50.3,1,0.0,0.0,0.0,0,0,19,25,44,0.0,0,0,0,0
34,4994,3119,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.8486,0.0254,2,52.2,1,0.0,0.0,0.0,0,0,19,26,45,0.0,0,0,0,0
35,4994,3177,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.8424,-0.0062,1,52.8,1,0.0,0.0,0.0,0,0,19,26,45,0.0,0,0,0,0
36,4994,3143,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.7901,-0.0523,1,51.9,1,0.0,0.0,0.0,0,0,19,26,45,0.0,0,0,0,0
37,4994,3093,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.8568,0.0667,1,52.9,1,0.0,0.0,0.0,0,0,18,24,42,0.0,0,0,0,0
38,4994,3074,2,0,2,5,0.9143,1,0,0,0,0,0,0,0,3,1.8543,-0.0025,1,54.1,1,0.0,0.0,0.0,0,0,18,24,42,0.0,0,0,0,0
39,4994,3063,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9501,0.0958,1,52.7,1,0.0,0.0,0.0,0,0,21,28,49,0.0,0,0,0,0
40,4994,3080,1,0,1,5,0.3,1,0,0,0,0,0,0,0,3,1.922,-0.028,1,53.4,1,0.0,0.0,0.0,0,0,21,28,49,0.0,0,0,0,0
41,4993,3105,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9713,0.0493,1,52.5,1,0.0,0.0,0.0,0,0,19,27,46,0.0,0,0,0,0
42,4993,3095,1,0,1,5,2.0,1,0,0,0,0,0,0,0,3,1.9656,-0.0057,1,54.5,1,0.0,0.0,0.0,0,0,11,19,30,0.0,0,1,0,0
43,4993,3100,1,0,1,5,1.6,1,0,0,0,0,0,0,0,3,1.9313,-0.0343,1,53.5,1,0.0,0.0,0.0,0,0,12,17,29,0.0,0,1,0,0
44,4992,3006,1,0,1,4,0.75,1,0,0,0,0,0,0,0,1,1.8474,-0.0839,2,53.8,1,0.0,0.0,0.0,0,0,9,13,22,0.0,0,0,0,0
45,4992,3042,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.9247,0.0773,2,55.8,1,0.0,0.0,0.0,0,0,10,14,24,0.0,0,0,0,0
46,4992,3109,2,0,2,5,1.28,2,0,0,0,0,0,0,0,0,1.9387,0.014,1,54.5,2,0.0,0.0,0.0,0,0,10,14,24,0.0,0,0,0,0
47,4992,3119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8516,-0.0871,1,52.8,2,0.0,0.0,0.0,0,0,18,18,36,0.0,0,0,0,0
48,4992,3063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9258,0.0742,1,53.6,2,0.0,0.0,0.0,0,0,18,18,36,0.0,0,0,0,0
49,4992,3060,2,0,2,5,0.4444,1,0,0,0,0,0,0,0,1,1.9367,0.0109,1,53.3,2,0.0,0.0,0.0,0,0,13,10,23,0.0,0,0,0,0
50,4990,3065,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9787,0.042,1,49.6,2,0.0,0.0,0.0,0,0,16,14,30,0.0,0,0,0,0
51,4990,3095,1,0,1,4,0.75,1,0,0,0,0,0,0,0,3,1.9337,-0.045,1,47.9,2,0.0,0.0,0.0,0,0,16,14,30,0.0,0,0,0,0
52,4990,3138,1,0,1,5,0.9091,1,0,0,0,0,0,0,0,3,1.9438,0.0101,1,47.2,2,0.0,0.0,0.0,0,0,19,17,36,0.0,0,0,0,0
53,4989,3068,2,0,2,5,0.5,1,0,0,0,0,0,0,0,3,1.9506,0.0068,2,47.4,2,0.0,0.0,0.0,0,0,23,22,45,0.0,0,0,0,0
54,4987,3031,1,0,1,5,1.0667,1,0,0,0,0,0,0,0,1,1.9373,-0.0133,2,47.7,2,0.0,0.0,0.0,0,0,27,25,52,0.0,0,0,0,0
55,4986,3047,2,0,2,4,1.3333,1,0,0,0,0,0,0,0,1,1.9735,0.0362,2,47.9,2,0.0,0.0,0.0,0,0,29,27,56,0.0,0,0,0,0
