seed,cycle_id,cycle_type,step_start,step_end,node_id
2024,187,C→Dust→A→C,440,2231,156
2024,188,C→Dust→A→C,2231,3020,156
2024,189,C→Dust→B→C,3020,4624,156
2024,190,C→Dust→A→C,4624,5168,156
2024,191,C→Dust→A→C,302,1889,2
2024,192,C→Dust→A→C,1889,2757,2
2024,193,C→Dust→B→C,2757,2964,2
2024,194,C→Dust→B→C,159,2464,15
2024,195,C→Dust→A→C,2464,3280,15
2024,196,C→Dust→A→C,3280,4108,15
2024,197,C→Dust→A→C,4108,4362,15
2024,198,C→Dust→A→C,4362,4784,15
2024,199,C→Dust→B→C,114,3020,46
2024,200,C→Dust→B→C,114,3777,52
2024,201,C→Dust→A→C,3777,3992,52
2024,202,C→Dust→A→C,1440,2404,94
2024,203,C→Dust→A→C,2404,3246,94
2024,204,C→Dust→A→C,98,2964,12
2024,205,C→Dust→B→C,2964,3597,12
2024,206,C→Dust→A→C,3597,4914,12
2024,207,C→Dust→A→C,84,1840,88
2024,208,C→Dust→A→C,1840,2739,88
2024,209,C→Dust→B→C,2739,4446,88
2024,210,C→Dust→A→C,240,3368,119
2024,211,C→Dust→A→C,1065,4960,122
2024,212,C→Dust→B→C,447,3641,169
2024,213,C→Dust→A→C,3641,3788,169
2024,214,C→Dust→A→C,3788,5266,169
2024,215,C→Dust→A→C,96,1347,184
2024,216,C→Dust→A→C,3280,3549,184
2024,217,C→Dust→A→C,1043,1149,60
2024,218,C→Dust→A→C,1149,1850,60
2024,219,C→Dust→A→C,182,3027,100
2024,220,C→Dust→B→C,3027,4671,100
2024,221,C→Dust→A→C,293,1239,117
2024,222,C→Dust→B→C,1239,2199,117
2024,223,C→Dust→A→C,87,2405,150
2024,224,C→Dust→B→C,2405,3041,150
2024,225,C→Dust→A→C,3041,4288,150
2024,226,C→Dust→A→C,4288,5131,150
2024,227,C→Dust→B→C,177,3246,40
2024,228,C→Dust→A→C,3246,4778,40
2024,229,C→Dust→A→C,498,2127,108
2024,230,C→Dust→A→C,2127,2920,108
2024,231,C→Dust→B→C,2920,3535,108
2024,232,C→Dust→B→C,405,3458,160
2024,233,C→Dust→A→C,3458,4930,160
2024,234,C→Dust→A→C,3153,5106,180
2024,235,C→Dust→A→C,1733,2366,17
2024,236,C→Dust→A→C,2366,4859,17
2024,237,C→Dust→A→C,3609,5268,123
2024,238,C→Dust→A→C,1088,2683,174
2024,239,C→Dust→A→C,2683,4190,174
2024,240,C→Dust→B→C,225,1239,197
2024,241,C→Dust→B→C,1239,5268,197
2024,242,C→Dust→A→C,2398,3171,199
2024,243,C→Dust→B→C,153,3027,43
2024,244,C→Dust→B→C,3027,4262,43
2024,245,C→Dust→A→C,181,1781,50
2024,246,C→Dust→A→C,99,1280,153
2024,247,C→Dust→A→C,1280,3175,153
2024,248,C→Dust→B→C,3175,3754,153
2024,249,C→Dust→B→C,229,1626,155
2024,250,C→Dust→A→C,302,3438,10
2024,251,C→Dust→A→C,4376,5055,30
2024,252,C→Dust→B→C,255,3364,188
2024,253,C→Dust→B→C,2687,4190,28
2024,254,C→Dust→B→C,1850,2506,39
2024,255,C→Dust→A→C,2506,3317,39
2024,256,C→Dust→B→C,213,2750,53
2024,257,C→Dust→A→C,2750,3242,53
2024,258,C→Dust→A→C,206,2328,87
2024,259,C→Dust→A→C,2328,3555,87
2024,260,C→Dust→B→C,240,2078,111
2024,261,C→Dust→A→C,126,3081,109
2024,262,C→Dust→B→C,2539,3692,0
2024,263,C→Dust→A→C,258,2687,97
2024,264,C→Dust→A→C,2687,3473,97
2024,265,C→Dust→A→C,3473,4350,97
2024,266,C→Dust→A→C,3047,3501,27
2024,267,C→Dust→A→C,3501,4666,27
2024,268,C→Dust→A→C,2539,4357,79
2024,269,C→Dust→A→C,270,1764,177
2024,270,C→Dust→B→C,1764,4567,177
2024,271,C→Dust→B→C,704,1347,56
2024,272,C→Dust→B→C,1347,1704,56
2024,273,C→Dust→B→C,1704,3818,56
2024,274,C→Dust→A→C,1088,2225,134
2024,275,C→Dust→B→C,2225,3399,134
2024,276,C→Dust→B→C,3399,3609,134
2024,277,C→Dust→A→C,3609,3938,134
2024,278,C→Dust→A→C,3938,4978,134
2024,279,C→Dust→A→C,3041,4263,147
2024,280,C→Dust→B→C,4263,5088,147
2024,281,C→Dust→B→C,1391,2404,9
2024,282,C→Dust→A→C,2404,3378,9
