seed,window,rate,n_C,r_000,r_001,r_010,r_011,r_100,r_101,r_110,r_111,bd_0,bd_1,sz_0,sz_1,f_0,f_1,intr_0,intr_1,intr_2p,cp_full_types,cp_full_entropy
42,1,0.001,117,110,4,0,0,0,0,0,3,115,2,117,0,62,55,115,1,1,8,1.4947
42,2,0.001,80,68,5,0,5,0,0,0,2,74,6,80,0,42,38,80,0,0,8,1.8266
42,3,0.001,27,23,2,0,2,0,0,0,0,25,2,25,2,14,13,26,1,0,7,1.9361
42,4,0.001,22,17,1,0,2,0,0,0,2,18,4,22,0,12,10,20,1,1,8,2.3308
42,5,0.001,18,16,1,0,1,0,0,0,0,17,1,18,0,8,10,18,0,0,4,1.4932
42,6,0.001,21,17,1,0,1,0,0,0,2,18,3,21,0,11,10,19,1,1,7,2.1066
42,7,0.001,15,11,1,0,1,0,0,0,2,13,2,15,0,7,8,14,1,0,6,2.0989
42,8,0.001,12,10,0,0,2,0,0,0,0,10,2,12,0,2,10,10,1,1,5,1.9591
42,9,0.001,23,19,0,0,3,0,0,0,1,19,4,23,0,13,10,22,1,0,4,1.592
42,10,0.001,25,22,2,0,1,0,0,0,0,24,1,25,0,15,10,25,0,0,5,1.5517
42,11,0.001,29,17,2,0,3,0,0,0,7,22,7,29,0,14,15,29,0,0,8,2.5084
42,12,0.001,23,13,2,0,6,0,0,0,2,15,8,23,0,13,10,22,0,1,7,2.3836
42,13,0.001,24,21,0,0,2,0,0,0,1,21,3,24,0,11,13,23,0,1,6,1.8107
42,14,0.001,15,10,2,0,1,0,0,0,2,13,2,14,1,6,9,15,0,0,7,2.3589
42,15,0.001,12,12,0,0,0,0,0,0,0,12,0,12,0,8,4,12,0,0,2,0.9183
42,16,0.001,23,12,0,0,4,0,0,0,7,17,6,23,0,11,12,23,0,0,7,2.5442
42,17,0.001,17,11,4,0,1,0,0,0,1,16,1,17,0,7,10,17,0,0,6,2.1607
42,18,0.001,21,17,3,0,0,0,0,0,1,20,1,21,0,7,14,21,0,0,5,1.6957
42,19,0.001,20,18,1,0,1,0,0,0,0,19,1,20,0,7,13,20,0,0,4,1.3955
42,20,0.001,16,14,0,0,2,0,0,0,0,16,0,14,2,11,5,16,0,0,3,1.3663
42,21,0.001,17,15,1,0,0,0,0,0,1,16,1,17,0,10,7,17,0,0,4,1.5197
42,22,0.001,12,6,4,0,1,0,0,0,1,10,2,12,0,4,8,11,0,1,6,2.2842
42,23,0.001,10,9,0,0,1,0,0,0,0,9,1,9,1,4,6,8,1,1,5,1.961
42,24,0.001,10,10,0,0,0,0,0,0,0,10,0,10,0,5,5,10,0,0,2,1.0
42,25,0.001,9,7,0,0,1,0,0,0,1,7,2,9,0,3,6,9,0,0,4,1.6577
