window,alive_nodes,alive_links,n_clusters,n_encapsulated,n_candidates,max_size,max_density_ratio,max_seen_count,mean_inner_entropy,max_inner_entropy,total_inner_triangles,motif_recurrence_count,encap_events_total,dissolve_events_total,hardened_links_count,k_star,entropy,entropy_delta,milestone,physics_seconds,max_lifespan,mean_continuity,max_continuity,mean_turnover_rate,pd_p_count,pd_d_count,pd_both_count,resonant_incorporations,dissonant_incorporations,resonant_rejections,dissonant_rejections,resonance_total_events,resonance_ratio,personalities_recorded,max_relaxed_lifespan,max_strict_lifespan,identity_stable,identity_drift,identity_new,identity_reformation,mean_jaccard,motif_alpha,motif_beta,motif_gamma,cooled_nodes,mean_cooling_factor,z_hardened,z_softened,z_tensioned
1,5000,4619,36,0,36,5,1.3333,1,0,0,0,0,0,0,0,0,1.9985,1.9985,0,15.4,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,1,1,0,0,36,0,0.0,0,0,0,1,0.9688,160469,18125,3274
2,5000,6160,43,0,43,6,1.3333,2,0,0,0,0,0,0,0,0,1.9985,-0.0,0,17.6,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,2,2,26,4,13,0,0.9233,0,0,0,2,0.9417,253543,4025,3345
3,5000,7318,57,0,57,10,1.5,3,0,0,0,0,0,0,0,0,1.9985,0.0,0,20.6,2,0.9233,1.0,0.0776,0,0,0,2,0,73,96,171,1.0,0,3,3,17,15,22,3,0.5771,0,0,0,3,0.9286,325844,3833,3237
4,5000,8242,53,0,53,9,2.0,4,0,0,0,0,0,0,0,0,1.9983,-0.0001,2,25.0,3,0.7446,1.0,0.4901,0,0,0,2,1,201,295,499,0.6667,26,4,4,8,15,27,3,0.4,1,0,0,5,0.8623,374407,3894,3274
5,5000,8349,63,0,63,11,0.7111,5,0,0,0,0,0,0,0,3,1.9983,0.0,2,31.0,4,0.6514,1.0,0.6306,0,0,0,3,3,418,684,1108,0.5,29,5,5,8,26,18,11,0.2833,0,0,0,2,0.9598,397650,3857,3167
6,5000,8319,70,0,70,11,0.75,6,0,0,0,0,0,0,0,3,1.9983,-0.0,2,35.6,5,0.5462,1.0,0.9169,0,0,0,11,10,648,1114,1783,0.5238,34,6,6,4,20,28,18,0.2609,0,0,0,2,0.9667,402696,3590,3227
7,5000,8133,64,0,64,11,1.3333,7,0,0,0,0,0,0,0,3,1.9981,-0.0002,2,37.9,6,0.4983,1.0,0.8461,0,0,0,12,14,946,1625,2597,0.4615,44,7,7,2,30,17,15,0.1124,0,0,0,0,1.0,401542,3780,2949
8,5000,7379,58,0,58,8,1.3333,8,0,0,0,0,0,0,0,3,1.9984,0.0003,2,35.3,7,0.4278,1.0,1.0457,0,0,0,14,18,1304,2163,3499,0.4375,58,8,7,2,30,11,15,0.0766,0,0,0,4,0.9107,375337,5877,2103
9,5000,6144,48,0,48,9,0.8889,9,0,0,0,0,0,0,0,3,1.9983,-0.0,0,34.0,8,0.3735,1.0,1.1243,0,0,0,14,21,1602,2688,4325,0.4,69,9,7,3,21,8,16,0.194,0,0,0,1,0.9815,324861,8471,2619
10,5000,4976,25,0,25,8,1.0,9,0,0,0,0,0,0,0,0,1.9989,0.0006,0,33.0,9,0.3548,1.0,1.1838,0,0,0,15,22,1823,3083,4943,0.4054,80,9,4,1,8,6,10,0.2111,0,0,0,3,0.9464,258284,9900,2775
