seed,window,rate,k,tc,H,drift,J,tH,tD,tP,k_star
7,15,0.0,3,3,0.6998,0.4657,0.1655,0.6998,0.4657,-1.0,3
7,15,0.0,4,3,0.6998,0.4657,0.1655,0.6998,0.4657,-1.0,3
7,16,0.0,0,1,-0.0,0.0,-0.5,-0.0,0,-0.5,3
7,16,0.0,1,3,0.6998,0.185,-0.1152,0.6998,0.185,-1.0,3
7,16,0.0,2,4,1.2366,0.2133,0.2889,1.2366,0.2133,-1.161,3
7,16,0.0,3,5,1.9301,0.4678,1.1054,1.9301,0.4678,-1.2925,3
7,16,0.0,4,5,1.9301,0.4678,1.1054,1.9301,0.4678,-1.2925,3
7,17,0.0,0,1,-0.0,0.0,-0.5,-0.0,0,-0.5,3
7,17,0.0,1,1,-0.0,0.2648,-0.2352,-0.0,0.2648,-0.5,3
7,17,0.0,2,1,-0.0,0.385,-0.115,-0.0,0.385,-0.5,3
7,17,0.0,3,2,0.6194,0.4296,0.2565,0.6194,0.4296,-0.7925,3
7,17,0.0,4,2,0.6194,0.4296,0.2565,0.6194,0.4296,-0.7925,3
7,18,0.0,0,1,-0.0,0.0,-0.5,-0.0,0,-0.5,3
7,18,0.0,1,2,0.7219,0.3287,0.2581,0.7219,0.3287,-0.7925,3
7,18,0.0,2,3,1.2419,0.4369,0.6788,1.2419,0.4369,-1.0,3
7,18,0.0,3,3,1.2419,0.5013,0.7432,1.2419,0.5013,-1.0,3
7,18,0.0,4,3,1.2419,0.5013,0.7432,1.2419,0.5013,-1.0,3
7,19,0.0,0,1,-0.0,0.0,-0.5,-0.0,0,-0.5,3
7,19,0.0,1,3,1.206,0.2306,0.4366,1.206,0.2306,-1.0,3
7,19,0.0,2,4,1.8329,0.2801,0.952,1.8329,0.2801,-1.161,3
7,19,0.0,3,5,2.1604,0.3848,1.2527,2.1604,0.3848,-1.2925,3
7,19,0.0,4,5,2.1604,0.3848,1.2527,2.1604,0.3848,-1.2925,3
7,20,0.0,0,1,-0.0,0.0,-0.5,-0.0,0,-0.5,3
7,20,0.0,1,2,0.5746,0.2586,0.0407,0.5746,0.2586,-0.7925,3
7,20,0.0,2,3,1.1181,0.3098,0.4279,1.1181,0.3098,-1.0,3
7,20,0.0,3,3,1.1181,0.4117,0.5298,1.1181,0.4117,-1.0,3
7,20,0.0,4,3,1.1181,0.4117,0.5298,1.1181,0.4117,-1.0,3
7,21,0.0,0,1,-0.0,0.0,-0.5,-0.0,0,-0.5,3
7,21,0.0,1,3,0.9464,0.2832,0.2296,0.9464,0.2832,-1.0,3
7,21,0.0,2,4,1.2917,0.2939,0.4246,1.2917,0.2939,-1.161,3
7,21,0.0,3,5,1.8074,0.4056,0.9205,1.8074,0.4056,-1.2925,3
7,21,0.0,4,5,1.8074,0.4056,0.9205,1.8074,0.4056,-1.2925,3
7,22,0.0,0,1,-0.0,0.0,-0.5,-0.0,0,-0.5,3
7,22,0.0,1,1,-0.0,0.3412,-0.1588,-0.0,0.3412,-0.5,3
7,22,0.0,2,1,-0.0,0.4001,-0.0999,-0.0,0.4001,-0.5,3
7,22,0.0,3,2,0.3095,0.4366,-0.0464,0.3095,0.4366,-0.7925,3
7,22,0.0,4,2,0.3095,0.4366,-0.0464,0.3095,0.4366,-0.7925,3
7,23,0.0,0,1,-0.0,0.0,-0.5,-0.0,0,-0.5,3
7,23,0.0,1,2,0.4395,0.2168,-0.1362,0.4395,0.2168,-0.7925,3
7,23,0.0,2,3,0.8659,0.3122,0.1781,0.8659,0.3122,-1.0,3
7,23,0.0,3,4,1.6767,0.4954,1.0111,1.6767,0.4954,-1.161,3
7,23,0.0,4,4,1.6767,0.4954,1.0111,1.6767,0.4954,-1.161,3
7,24,0.0,0,1,-0.0,0.0,-0.5,-0.0,0,-0.5,3
7,24,0.0,1,3,1.4591,0.4672,0.9263,1.4591,0.4672,-1.0,3
7,24,0.0,2,4,1.9183,0.6304,1.3877,1.9183,0.6304,-1.161,3
7,24,0.0,3,4,1.9183,0.6781,1.4354,1.9183,0.6781,-1.161,3
7,24,0.0,4,4,1.9183,0.6781,1.4354,1.9183,0.6781,-1.161,3
7,25,0.0,0,1,-0.0,0.0,-0.5,-0.0,0,-0.5,3
7,25,0.0,1,3,0.7442,0.3641,0.1083,0.7442,0.3641,-1.0,3
7,25,0.0,2,4,1.2304,0.5272,0.5966,1.2304,0.5272,-1.161,3
7,25,0.0,3,5,1.5852,0.5384,0.8311,1.5852,0.5384,-1.2925,3
7,25,0.0,4,5,1.5852,0.5384,0.8311,1.5852,0.5384,-1.2925,3
