window,alive_nodes,alive_links,n_clusters,n_encapsulated,n_candidates,max_size,max_density_ratio,max_seen_count,mean_inner_entropy,max_inner_entropy,total_inner_triangles,motif_recurrence_count,encap_events_total,dissolve_events_total,hardened_links_count,k_star,entropy,entropy_delta,milestone,physics_seconds,max_lifespan,mean_continuity,max_continuity,mean_turnover_rate,pd_p_count,pd_d_count,pd_both_count,resonant_incorporations,dissonant_incorporations,resonant_rejections,dissonant_rejections,resonance_total_events,resonance_ratio,personalities_recorded,max_relaxed_lifespan,max_strict_lifespan,identity_stable,identity_drift,identity_new,identity_reformation,mean_jaccard,motif_alpha,motif_beta,motif_gamma,cooled_nodes,mean_cooling_factor,z_hardened,z_softened,z_tensioned,alpha_t,compound_restore,inert_penalty,delta_L,delta_Z0,drift_applied,mean_h_age,max_h_age,mean_h_res,max_h_res,mean_h_str,max_h_str,mature_links,rigid_links,brittle_links,hist_matured,hist_snapped,hist_suppressed,avalanche_events,cascade_links,void_mean_V,void_max_V,void_active_nodes,void_boosted_pairs,void_consumed,void_deposited,void_gamma,void_induced_births
178,3906,2402,1,0,1,5,0.3,1,0,0,0,0,0,0,0,3,1.75,-0.2092,2,32.9,2,0.3,0.6,0.3407,0,0,0,0,0,23,29,52,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1674,213,55878,0.00019,0.506635,0.018502,9,0,0,0.0463,0.35,0.0013,0.36,0.1146,0.695,0,0,0,1832,12,10,0,0,0.0,0.0005,0,0,2,3.704,1.029886,0
179,3906,2340,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.371,-0.379,2,33.8,2,0.3,0.6,0.3067,0,0,0,0,0,29,38,67,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,878,123,56635,0.00063,0.506635,0.018502,-53,0,0,0.046,0.414,0.0012,0.36,0.114,0.655,0,0,0,1096,9,8,0,0,0.0,0.0189,2,0,1,2.598,1.029886,0
180,3903,2398,2,0,2,5,0.75,1,0,0,0,0,0,0,0,0,0.9183,-0.4527,1,34.0,2,0.3,0.6,0.3067,0,0,0,0,0,31,44,75,0.0,0,1,1,0,0,2,0,0.0,0,0,0,0,1.0,654,186,57110,0.00015,0.506635,0.018502,5,0,1,0.0459,0.358,0.0004,0.42,0.1143,0.63,0,0,0,782,7,2,0,0,0.0,0.0189,1,0,3,2.112,1.02989,0
181,3900,2316,1,0,1,5,0.4,1,0,0,0,0,0,0,0,3,1.5219,0.6036,1,34.0,2,0.3,0.6,0.2556,0,0,0,0,0,31,44,75,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,823,192,58143,0.000918,0.506635,0.018502,-82,-1,0,0.0461,0.322,0.0006,0.18,0.1144,0.68,0,0,0,685,3,0,0,0,0.0,0.14,1,0,1,0.84,1.02989,0
182,3894,2400,1,0,1,5,0.2286,1,0,0,0,0,0,0,0,0,1.0,-0.5219,2,32.5,2,0.3,0.6,0.2359,0,0,0,0,0,33,55,88,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,559,132,56712,0.00012,0.506635,0.018502,2,-2,0,0.0458,0.306,0.0008,0.33,0.1135,0.565,0,0,0,758,2,4,0,0,0.0,0.0005,0,0,3,0.616,1.02989,0
183,3890,2394,3,0,3,5,1.28,1,0,0,0,0,0,0,0,3,1.8955,0.8955,2,33.9,2,0.3,0.6,0.2359,0,0,0,0,0,32,50,82,0.0,0,1,1,0,0,3,0,0.0,0,0,0,0,1.0,1421,129,55714,0.00014,0.506635,0.018502,-4,-1,1,0.0464,0.406,0.0015,0.42,0.1142,0.69,0,0,0,1121,2,4,0,0,0.0,0.0005,0,0,0,0.56,1.029891,0
184,3887,2370,3,0,3,5,0.8,2,0,0,0,0,0,0,0,3,1.8464,-0.049,2,33.3,2,0.3,0.6,0.219,0,0,0,0,0,34,53,87,0.0,0,2,2,0,0,2,1,0.0,0,0,0,0,1.0,1713,155,56994,0.00034,0.506635,0.018502,-24,0,0,0.0483,0.34,0.0019,0.24,0.1185,0.635,0,0,0,1970,6,8,0,0,0.0001,0.215,2,0,0,2.176,1.029891,0
185,3883,2334,2,0,2,5,1.0667,2,0,0,0,0,0,0,0,3,1.9363,0.0898,2,33.4,2,0.3,0.6,0.2359,0,0,0,0,0,28,55,83,0.0,0,2,2,0,0,1,1,0.0,0,0,0,0,1.0,1927,172,56203,0.000699,0.506635,0.018502,-60,2,0,0.0475,0.37,0.0022,0.33,0.1168,0.7,0,0,1,2522,10,13,0,0,0.0001,0.1589,2,0,3,2.886,1.029891,0
186,3877,2378,1,0,1,4,0.3,1,0,0,0,0,0,0,0,3,1.8092,-0.1271,2,32.6,2,0.0,0.0,0.2051,0,0,0,0,0,22,55,77,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1706,199,57912,0.00026,0.506639,0.018503,-16,-1,1,0.0472,0.402,0.0013,0.36,0.1161,0.685,0,0,0,2102,12,8,0,0,0.0002,0.1589,4,0,2,3.716,1.029899,0
187,3873,2380,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.8424,0.0332,2,33.1,2,0.0,0.0,0.1905,0,0,0,0,0,28,63,91,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1770,166,57542,0.00012,0.506639,0.018503,2,0,0,0.0479,0.312,0.0012,0.36,0.1179,0.625,0,0,0,1706,5,5,0,0,0.0001,0.17,3,0,3,1.588,1.029899,0
188,3869,2387,2,0,2,5,1.5,1,0,0,0,0,0,0,0,3,1.8078,-0.0346,1,33.8,2,0.0,0.0,0.1905,0,0,0,0,0,28,68,96,0.0,0,1,1,0,0,2,0,0.0,0,0,1,1,0.977,2441,148,57564,0.00019,0.506639,0.018503,9,1,0,0.048,0.358,0.001,0.36,0.1182,0.675,0,0,0,2047,8,5,0,0,0.0,0.0005,0,0,5,2.466,1.029899,0
189,3861,2393,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.8295,0.0217,1,33.5,2,0.0,0.0,0.0,0,0,0,0,0,19,55,74,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,2208,180,57661,0.00025,0.506635,0.018502,15,1,1,0.0474,0.312,0.0005,0.09,0.1175,0.64,0,0,0,1788,10,0,0,0,0.0,0.178,1,0,2,3.182,1.029904,0
190,3852,2374,2,0,2,5,1.5,1,0,0,0,0,0,0,0,1,1.9363,0.1068,1,33.2,2,0.0,0.0,0.0,0,0,0,0,0,22,54,76,0.0,0,1,1,0,0,2,0,0.0,0,0,0,0,1.0,2169,151,55619,0.00029,0.506635,0.018502,-19,1,0,0.0475,0.292,0.0006,0.09,0.1173,0.69,0,0,0,1739,4,0,0,0,0.0,0.14,1,0,2,1.31,1.029904,0
191,3848,2315,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9591,0.0229,1,33.1,2,0.0,0.0,0.0,0,0,0,0,0,22,54,76,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,2356,188,54646,0.000878,0.506635,0.018502,-78,-2,0,0.0462,0.35,0.0005,0.09,0.1144,0.69,0,0,0,1961,5,0,0,0,0.0,0.14,1,0,1,1.4,1.029904,0
192,3842,2355,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.971,0.0118,1,33.9,2,0.0,0.0,0.0,0,0,0,0,0,26,53,79,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1946,176,54460,0.00048,0.506654,0.018501,-38,1,1,0.0463,0.274,0.0006,0.15,0.1146,0.68,0,0,0,1646,13,0,0,0,0.0001,0.14,2,0,2,3.896,1.029915,0
193,3837,2286,1,0,1,5,0.4,1,0,0,0,0,0,0,0,3,1.8879,-0.083,1,33.6,2,0.0,0.0,0.0,0,0,0,0,0,26,53,79,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,2384,172,56405,0.000789,0.506654,0.018501,-69,-2,0,0.0483,0.374,0.001,0.3,0.1195,0.675,0,0,0,1658,7,3,0,0,0.0,0.14,2,0,3,1.96,1.029915,0
194,3828,2298,1,0,1,5,2.0,1,0,0,0,0,0,0,0,3,1.7381,-0.1498,1,33.8,2,0.0,0.0,0.0,0,0,0,0,0,24,48,72,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,2014,193,56768,0.000669,0.506654,0.018501,-57,-1,0,0.0479,0.33,0.001,0.42,0.1189,0.665,0,0,0,1804,14,5,0,0,0.0002,0.201,4,0,2,4.44,1.029915,0
195,3823,2266,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.325,-0.4131,2,33.6,2,0.0,0.0,0.0,0,0,0,0,0,23,40,63,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1582,228,55649,0.000988,0.506741,0.018499,-89,1,1,0.0457,0.312,0.0006,0.33,0.1131,0.695,0,0,0,1307,11,2,0,0,0.0001,0.186,4,0,7,3.308,1.029947,0
196,3817,2288,1,0,1,3,0.6667,1,0,0,0,0,0,0,0,3,0.9183,-0.4067,1,33.2,2,0.0,0.0,0.0,0,0,0,0,0,19,30,49,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1232,226,54703,0.00032,0.506741,0.018499,22,1,0,0.0459,0.272,0.0004,0.09,0.1137,0.475,0,0,0,1062,7,0,0,0,0.0001,0.186,2,0,6,2.11,1.029947,0
197,3808,2316,1,0,1,5,1.6,1,0,0,0,0,0,0,0,3,1.4354,0.5171,1,33.8,1,0.0,0.0,0.0,0,0,0,0,0,11,18,29,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1177,198,52610,0.0006,0.506741,0.018499,50,1,0,0.0462,0.354,0.0006,0.21,0.1144,0.7,0,0,1,1323,2,3,0,0,0.0001,0.186,1,0,2,0.56,1.029947,0
198,3801,2299,1,0,1,4,1.0,1,0,0,0,0,0,0,0,3,1.3516,-0.0837,2,33.6,1,0.0,0.0,0.0,0,0,0,0,0,12,14,26,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1385,170,52761,0.00043,0.506727,0.018501,33,-2,1,0.0459,0.308,0.0009,0.36,0.1137,0.655,0,0,0,1008,7,3,0,0,0.0,0.14,1,0,2,2.128,1.029953,0
199,3797,2293,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.4591,0.1075,2,32.6,1,0.0,0.0,0.0,0,0,0,0,0,12,15,27,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1482,149,54548,0.00016,0.506727,0.018501,-6,0,0,0.0471,0.408,0.0013,0.51,0.1165,0.685,0,3,0,1344,1,6,0,0,0.0,0.0005,0,0,2,0.28,1.029953,0
200,3791,2271,2,0,2,5,1.0,1,0,0,0,0,0,0,0,3,1.4591,0.0,1,33.0,1,0.0,0.0,0.0,0,0,0,0,0,8,12,20,0.0,0,1,1,0,0,2,0,0.0,0,0,1,0,1.0,1293,129,54377,0.00038,0.506727,0.018501,-28,1,0,0.0464,0.482,0.0005,0.54,0.1152,0.69,0,1,0,1367,14,2,0,0,0.0,0.14,1,0,1,4.472,1.029953,0
