window,alive_nodes,alive_links,n_clusters,n_encapsulated,n_candidates,max_size,max_density_ratio,max_seen_count,mean_inner_entropy,max_inner_entropy,total_inner_triangles,motif_recurrence_count,encap_events_total,dissolve_events_total,hardened_links_count,k_star,entropy,entropy_delta,milestone,physics_seconds,max_lifespan,mean_continuity,max_continuity,mean_turnover_rate,pd_p_count,pd_d_count,pd_both_count,resonant_incorporations,dissonant_incorporations,resonant_rejections,dissonant_rejections,resonance_total_events,resonance_ratio,personalities_recorded,max_relaxed_lifespan,max_strict_lifespan,identity_stable,identity_drift,identity_new,identity_reformation,mean_jaccard,motif_alpha,motif_beta,motif_gamma,cooled_nodes,mean_cooling_factor,z_hardened,z_softened,z_tensioned,alpha_t,compound_restore,inert_penalty,delta_L,delta_Z0,drift_applied,mean_h_age,max_h_age,mean_h_res,max_h_res,mean_h_str,max_h_str,mature_links,rigid_links,brittle_links,hist_matured,hist_snapped,hist_suppressed,avalanche_events,cascade_links,void_mean_V,void_max_V,void_active_nodes,void_boosted_pairs,void_consumed,void_deposited,void_gamma,void_induced_births
134,4067,2461,1,0,1,3,0.0,3,0,0,0,0,0,0,0,0,1.585,0.1793,2,33.3,2,1.0,1.0,0.0,0,0,0,0,0,22,37,59,0.0,0,3,3,1,0,0,0,1.0,0,0,0,0,1.0,910,281,60669,0.00029,0.506573,0.018494,-19,4,0,0.0452,0.298,0.0006,0.33,0.112,0.44,0,0,0,874,3,3,0,0,0.0,0.0005,0,0,2,0.936,1.029764,0
135,4062,2424,3,0,3,4,0.5,4,0,0,0,0,0,0,0,3,1.7899,0.205,2,33.6,3,1.0,1.0,0.0,0,0,0,0,0,19,36,55,0.0,1,4,4,1,0,2,0,1.0,0,0,0,0,1.0,689,201,58236,0.000659,0.506609,0.01849,-56,3,1,0.0466,0.398,0.0009,0.48,0.1148,0.6,0,0,0,687,0,3,0,0,0.0,0.0005,0,0,0,0.0,1.029775,0
136,4058,2479,2,0,2,3,1.3333,5,0,0,0,0,0,0,0,3,1.7899,0.0,2,34.0,4,1.0,1.0,0.0,0,0,0,0,0,21,36,57,0.0,1,5,5,1,0,1,0,1.0,0,0,0,0,1.0,1309,151,57773,0.000649,0.506609,0.01849,55,-1,0,0.045,0.498,0.0011,0.63,0.1106,0.67,0,3,0,1182,3,3,0,0,0.0,0.0005,0,0,0,0.84,1.029775,0
137,4056,2416,1,0,1,3,0.1667,1,0,0,0,0,0,0,0,3,1.9242,0.1342,2,33.5,5,1.0,1.0,0.0,0,0,0,0,0,29,42,71,0.0,1,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1669,227,59655,0.00018,0.506609,0.01849,-8,-2,0,0.0469,0.322,0.0005,0.06,0.1159,0.685,0,0,0,1398,1,0,0,0,0.0,0.14,1,0,1,0.28,1.029775,0
138,4053,2454,1,0,1,3,0.5,1,0,0,0,0,0,0,0,3,1.9591,0.035,2,34.0,5,1.0,1.0,0.0,0,0,0,0,0,28,45,73,0.0,1,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1896,153,57824,0.0004,0.506597,0.01849,30,0,1,0.0469,0.352,0.0005,0.18,0.116,0.675,0,0,0,1509,8,0,0,0,0.0001,0.167,2,0,3,2.432,1.02978,0
139,4047,2395,1,0,1,5,0.8,1,0,0,0,0,0,0,0,3,1.9056,-0.0535,2,34.4,5,1.0,1.0,0.0,0,0,0,0,0,31,46,77,0.0,1,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1789,237,56295,0.000689,0.506597,0.01849,-59,-5,0,0.0462,0.358,0.0008,0.33,0.1145,0.7,0,0,1,1353,11,5,0,0,0.0001,0.14,4,0,6,3.382,1.02978,0
140,4041,2491,1,0,1,5,1.25,1,0,0,0,0,0,0,0,0,2.0,0.0944,2,34.4,5,1.0,1.0,0.0,0,0,0,0,0,29,39,68,0.0,1,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1051,180,58580,0.00047,0.506597,0.01849,37,-4,0,0.0465,0.336,0.0012,0.39,0.1153,0.67,0,0,0,1137,7,5,0,0,0.0,0.14,1,0,3,2.22,1.02978,0
141,4039,2499,1,0,1,3,0.0,1,0,0,0,0,0,0,0,0,-0.0,-2.0,2,33.2,5,1.0,1.0,0.0,0,0,0,0,0,26,37,63,0.0,1,1,1,0,0,1,0,0.0,0,0,0,0,1.0,533,210,60520,0.00055,0.506573,0.018491,45,-1,1,0.0457,0.246,0.0009,0.18,0.1137,0.61,0,0,0,1376,5,0,0,0,0.0,0.14,1,0,1,1.558,1.029792,0
142,4033,2480,1,0,1,5,0.4,2,0,0,0,0,0,0,0,0,-0.0,0.0,2,34.3,5,1.0,1.0,0.0,0,0,0,0,0,28,43,71,0.0,1,2,2,0,0,0,1,0.0,0,0,0,0,1.0,182,157,59453,0.00029,0.506573,0.018491,-19,-1,0,0.0447,0.28,0.0011,0.33,0.1112,0.7,0,0,2,940,5,7,0,0,0.0,0.0515,3,0,1,1.4,1.029792,0
143,4029,2583,2,0,2,5,0.96,1,0,0,0,0,0,0,0,0,1.0,1.0,2,34.4,5,1.0,1.0,0.0,0,0,0,0,0,24,33,57,0.0,1,1,1,0,0,2,0,0.0,0,0,0,0,1.0,264,201,61708,0.000938,0.506573,0.018491,84,-2,0,0.0462,0.362,0.0009,0.33,0.1143,0.48,0,0,0,513,4,9,0,0,0.0001,0.14,2,0,0,1.12,1.029792,0
144,4022,2444,1,0,1,4,0.4,1,0,0,0,0,0,0,0,3,1.4591,0.4591,2,33.7,5,1.0,1.0,0.0,0,0,0,0,0,27,36,63,0.0,1,1,1,0,0,1,0,0.0,0,0,0,0,1.0,824,175,59314,0.000649,0.506608,0.018494,-55,-2,1,0.0464,0.334,0.0014,0.39,0.1142,0.63,0,0,0,1036,0,5,0,0,0.0,0.14,1,0,1,0.0,1.029798,0
145,4015,2441,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.4591,0.0,2,33.0,5,1.0,1.0,0.0,0,0,0,0,0,30,41,71,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1257,126,57815,0.00013,0.506608,0.018494,-3,2,0,0.0477,0.418,0.001,0.45,0.1177,0.7,0,0,1,1570,5,5,0,0,0.0001,0.14,3,0,1,1.588,1.029798,0
146,4012,2372,2,0,2,4,1.0,1,0,0,0,0,0,0,0,3,1.5613,0.1021,1,34.2,5,1.0,1.0,0.0,0,0,0,0,0,31,45,76,0.0,1,1,1,0,0,2,0,0.0,0,0,0,0,1.0,1239,90,58759,0.000819,0.506608,0.018494,-72,-2,0,0.0462,0.334,0.0002,0.09,0.1149,0.66,0,0,0,1331,10,0,0,0,0.0001,0.188,2,0,0,3.424,1.029798,0
147,4008,2390,2,0,2,5,0.6667,1,0,0,0,0,0,0,0,1,1.761,0.1997,1,34.2,5,1.0,1.0,0.0,0,0,0,0,0,28,42,70,0.0,1,1,1,0,0,2,0,0.0,0,0,0,0,1.0,1556,144,56606,0.000639,0.506643,0.018487,-54,5,1,0.0463,0.28,0.0005,0.15,0.115,0.7,0,0,1,1011,12,0,0,0,0.0002,0.14,5,0,2,3.73,1.029815,0
148,4005,2453,3,0,3,4,0.6667,1,0,0,0,0,0,0,0,3,1.3788,-0.3822,2,33.7,2,0.0,0.0,0.0,0,0,0,0,0,20,31,51,0.0,0,1,1,0,0,3,0,0.0,0,0,0,0,1.0,1418,168,57959,0.000729,0.506643,0.018487,63,-1,0,0.0468,0.278,0.0009,0.3,0.1155,0.695,0,0,0,1250,5,5,0,0,0.0001,0.14,3,0,6,1.4,1.029815,0
149,4000,2459,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.971,-0.4078,2,34.1,2,0.0,0.0,0.0,0,0,0,0,0,21,37,58,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1651,221,58165,0.000789,0.506643,0.018487,69,-5,0,0.0473,0.378,0.0012,0.45,0.1167,0.69,0,0,0,1643,5,5,0,0,0.0001,0.14,2,0,2,1.462,1.029815,0
150,3991,2472,1,0,1,4,0.0,1,0,0,0,0,0,0,0,0,0.8113,-0.1597,1,33.0,2,0.0,0.0,0.0,0,0,0,0,0,21,39,60,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,801,153,60318,0.000918,0.506568,0.018493,82,-3,1,0.0461,0.428,0.0005,0.51,0.1147,0.68,0,2,0,1215,8,3,0,0,0.0,0.14,1,0,3,2.554,1.029832,0
151,3986,2409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.1887,1,34.0,2,0.0,0.0,0.0,0,0,0,0,0,20,34,54,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,461,98,60253,0.000729,0.506568,0.018493,-63,-4,0,0.0461,0.256,0.0002,0.06,0.1148,0.64,0,0,0,415,3,0,0,0,0.0,0.0005,0,0,1,1.096,1.029832,0
152,3982,2425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9183,-0.0817,1,33.0,2,0.0,0.0,0.0,0,0,0,0,0,18,28,46,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,337,142,59183,0.00057,0.506568,0.018493,-47,-3,0,0.0461,0.264,0.0001,0.06,0.1151,0.62,0,0,0,524,0,0,0,0,0.0,0.0005,0,0,0,0.0,1.029832,0
153,3980,2455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0817,1,34.4,2,0.0,0.0,0.0,0,0,0,0,0,15,26,41,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,421,120,57401,0.00027,0.506572,0.018493,-17,0,1,0.0459,0.322,0.0001,0.06,0.1146,0.67,0,0,0,376,1,0,0,0,0.0,0.14,1,0,0,0.28,1.029833,0
154,3976,2391,2,0,2,5,1.6,1,0,0,0,0,0,0,0,3,1.9056,0.9056,1,34.0,1,0.0,0.0,0.0,0,0,0,0,0,10,23,33,0.0,0,1,1,0,0,2,0,0.0,0,0,0,0,1.0,705,110,57132,0.000739,0.506572,0.018493,-64,-3,0,0.0463,0.238,0.0009,0.15,0.1146,0.595,0,0,0,506,3,0,0,0,0.0,0.0005,0,0,2,0.916,1.029833,0
155,3971,2449,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9056,0.0,1,33.3,1,0.0,0.0,0.0,0,0,0,0,0,7,18,25,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,889,126,58174,0.00016,0.506572,0.018493,-6,0,0,0.0469,0.278,0.0011,0.3,0.1157,0.62,0,0,0,1356,0,5,0,0,0.0,0.0005,0,0,0,0.0,1.029833,0
156,3970,2368,1,0,1,3,1.3333,2,0,0,0,0,0,0,0,3,1.9056,0.0,1,34.2,1,0.0,0.0,0.0,0,0,0,0,0,7,20,27,0.0,0,2,2,0,0,0,1,0.0,0,0,0,1,0.9667,884,93,57656,0.000968,0.506656,0.018495,-87,-1,1,0.0463,0.378,0.0014,0.45,0.1146,0.68,0,0,0,1247,5,5,0,0,0.0001,0.14,2,0,1,1.4,1.029841,0
157,3968,2362,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9056,0.0,1,34.2,2,0.0,0.0,0.0,0,0,0,0,0,7,20,27,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1052,114,58597,0.00016,0.506656,0.018495,-6,0,0,0.0465,0.404,0.0005,0.48,0.1156,0.545,0,0,0,983,10,2,0,0,0.0001,0.208,1,0,4,3.426,1.029841,0
158,3965,2421,1,0,1,5,1.6,1,0,0,0,0,0,0,0,3,1.5219,-0.3837,1,33.0,2,0.0,0.0,0.0,0,0,0,0,0,7,18,25,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,815,143,57400,0.00063,0.506656,0.018495,53,0,0,0.0449,0.246,0.0002,0.03,0.112,0.615,0,0,0,763,1,0,0,0,0.0,0.0005,0,0,1,0.28,1.029841,0
159,3962,2461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,-0.0219,1,33.8,2,0.0,0.0,0.0,0,0,0,0,0,3,11,14,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,732,149,59246,0.001027,0.506561,0.018485,93,5,1,0.0461,0.298,0.0003,0.06,0.1144,0.625,0,0,0,733,1,0,0,0,0.0,0.0515,1,0,0,0.28,1.029853,0
160,3959,2387,1,0,1,4,1.125,1,0,0,0,0,0,0,0,0,1.0,-0.5,1,33.8,2,0.0,0.0,0.0,0,0,0,0,0,3,10,13,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,629,114,57983,0.000839,0.506561,0.018485,-74,1,0,0.0451,0.258,0.0002,0.06,0.1121,0.645,0,0,0,787,2,0,0,0,0.0,0.0005,0,0,1,0.662,1.029853,0
161,3958,2304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1,32.7,2,0.0,0.0,0.0,0,0,0,0,0,3,10,13,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,491,89,56214,0.001657,0.506561,0.018485,-157,-7,0,0.0459,0.26,0.0001,0.03,0.1144,0.61,0,0,0,525,0,0,0,0,0.0,0.0005,0,0,0,0.0,1.029853,0
162,3957,2362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1,33.8,2,0.0,0.0,0.0,0,0,0,0,0,5,12,17,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,493,99,55355,0.001087,0.506668,0.018495,-99,-5,1,0.0461,0.266,0.0,0.03,0.1151,0.665,0,0,0,547,4,0,0,0,0.0,0.153,1,0,2,1.222,1.02986,0
163,3955,2377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0,-1.0,1,32.8,2,0.0,0.0,0.0,0,0,0,0,0,5,12,17,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,212,101,57645,0.00025,0.506668,0.018495,15,-1,0,0.0464,0.246,0.0001,0.06,0.1157,0.615,0,0,0,337,4,0,0,0,0.0001,0.153,2,0,1,1.12,1.02986,0
164,3951,2469,1,0,1,3,0.5333,1,0,0,0,0,0,0,0,0,0.0,0.0,1,34.1,2,0.0,0.0,0.0,0,0,0,0,0,5,12,17,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,60,102,56959,0.001166,0.506668,0.018495,107,4,0,0.0448,0.248,0.0003,0.06,0.1116,0.62,0,0,0,278,1,0,0,0,0.0001,0.14,2,0,1,0.28,1.02986,0
165,3946,2394,1,0,1,5,0.0,2,0,0,0,0,0,0,0,0,-0.0,-0.0,1,33.9,2,0.0,0.0,0.0,0,0,0,0,0,5,12,17,0.0,0,2,1,0,1,0,0,0.0,0,0,0,0,1.0,89,98,58446,0.00042,0.506655,0.018496,32,-1,1,0.0452,0.234,0.0004,0.09,0.1126,0.48,0,0,0,473,0,0,0,0,0.0,0.0005,0,0,2,0.0,1.029862,0
166,3943,2433,2,0,2,3,0.5333,1,0,0,0,0,0,0,0,3,1.5546,1.5546,2,32.6,2,0.0,0.0,0.6667,0,0,0,0,0,6,9,15,0.0,0,1,1,0,0,2,0,0.0,0,0,0,0,1.0,372,105,58720,0.00049,0.506655,0.018496,39,-1,0,0.0453,0.314,0.0006,0.09,0.1127,0.585,0,0,0,635,0,0,0,0,0.0,0.0005,0,0,0,0.0,1.029862,0
167,3942,2373,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.5546,0.0,2,34.2,2,0.0,0.0,0.4444,0,0,0,0,0,7,14,21,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1578,78,56645,0.00031,0.506655,0.018496,-21,-1,0,0.0471,0.304,0.0006,0.09,0.1165,0.66,0,0,0,1182,2,0,0,0,0.0,0.0189,1,0,0,0.56,1.029862,0
