window,alive_nodes,alive_links,n_clusters,n_encapsulated,n_candidates,max_size,max_density_ratio,max_seen_count,mean_inner_entropy,max_inner_entropy,total_inner_triangles,motif_recurrence_count,encap_events_total,dissolve_events_total,hardened_links_count,k_star,entropy,entropy_delta,milestone,physics_seconds,max_lifespan,mean_continuity,max_continuity,mean_turnover_rate,pd_p_count,pd_d_count,pd_both_count,resonant_incorporations,dissonant_incorporations,resonant_rejections,dissonant_rejections,resonance_total_events,resonance_ratio,personalities_recorded,max_relaxed_lifespan,max_strict_lifespan,identity_stable,identity_drift,identity_new,identity_reformation,mean_jaccard,motif_alpha,motif_beta,motif_gamma,cooled_nodes,mean_cooling_factor,z_hardened,z_softened,z_tensioned,compound_restore,inert_penalty,delta_L,delta_Z0,drift_applied
1,5000,4643,34,0,34,4,1.3333,1,0,0,0,0,0,0,0,0,1.9992,1.9992,0,14.9,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,1,1,0,0,34,0,0.0,0,0,0,1,0.9828,162904,18327,2748,0.5,0.02,0,0,0
2,5000,6176,40,0,40,5,0.8571,2,0,0,0,0,0,0,0,0,1.9992,0.0,0,17.0,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,2,2,26,1,13,0,0.9852,0,0,0,3,0.9203,254111,3987,2594,0.5,0.02,1533,2,0
3,5000,7548,50,0,50,7,2.0,3,0,0,0,0,0,0,0,0,1.9993,0.0001,0,19.5,2,0.9852,1.0,0.0142,0,0,0,1,0,64,93,158,1.0,0,3,3,21,6,22,1,0.784,0,0,1,0,1.0,328466,4010,3124,0.499901,0.019998,2905,12,1
4,5000,8234,58,0,58,10,1.6,4,0,0,0,0,0,0,0,3,1.9992,-0.0001,2,23.8,3,0.8846,1.0,0.1819,0,0,0,2,1,189,292,484,0.6667,23,4,4,12,16,27,3,0.4792,0,0,0,0,1.0,381439,3751,2790,0.499901,0.019998,686,-12,0
5,5000,8391,74,1,73,10,1.5,5,1.0,1.0,0,0,1,0,4,3,1.9992,-0.0,3,28.3,4,0.7461,1.0,0.4238,0,0,0,4,1,390,653,1048,0.8,25,5,5,9,26,27,12,0.3149,0,0,2,7,0.8922,404712,3517,2956,0.499901,0.019998,843,-10,0
6,5000,8307,65,0,65,7,1.3333,6,0,0,0,0,1,0,4,3,1.9993,0.0001,2,32.6,5,0.6171,1.0,0.7031,0,0,0,6,3,659,1081,1749,0.6667,32,6,6,4,24,26,11,0.1661,0,0,0,3,0.9167,400197,3629,3188,0.499837,0.020002,759,-23,1
7,5000,8060,57,1,56,8,1.6,7,0.8113,0.8113,0,0,2,0,7,3,1.9992,-0.0001,3,35.1,6,0.53,1.0,0.8103,0,0,0,10,5,976,1760,2751,0.6667,39,7,7,0,21,20,16,0.0497,0,0,0,1,0.9792,395331,3702,3295,0.499837,0.020002,-247,14,0
8,5000,7586,46,0,46,7,0.7692,8,0,0,0,0,2,0,7,0,1.9993,0.0002,2,32.8,7,0.4693,1.0,0.8664,0,0,0,12,7,1245,2288,3552,0.6316,50,8,8,1,16,13,16,0.1779,0,0,0,2,0.9551,374044,5644,3120,0.499837,0.020002,-721,39,0
9,5000,6332,39,0,39,9,2.0,9,0,0,0,0,2,0,7,0,1.9988,-0.0005,2,31.5,8,0.4422,1.0,0.9056,0,0,0,15,8,1533,2717,4273,0.6522,61,9,8,2,13,11,13,0.2019,0,0,1,2,0.9545,327268,8324,3612,0.499933,0.01999,-1975,59,1
10,5000,4923,28,0,28,6,0.96,10,0,0,0,0,2,0,7,0,1.9996,0.0007,0,30.9,9,0.424,1.0,0.9362,0,0,0,16,9,1770,3173,4968,0.64,69,10,9,0,10,8,10,0.06,0,0,0,3,0.9375,261861,10147,2827,0.499933,0.01999,-1409,50,0
