window,alive_nodes,alive_links,n_clusters,n_encapsulated,n_candidates,max_size,max_density_ratio,max_seen_count,mean_inner_entropy,max_inner_entropy,total_inner_triangles,motif_recurrence_count,encap_events_total,dissolve_events_total,hardened_links_count,k_star,entropy,entropy_delta,milestone,physics_seconds,max_lifespan,mean_continuity,max_continuity,mean_turnover_rate,pd_p_count,pd_d_count,pd_both_count,resonant_incorporations,dissonant_incorporations,resonant_rejections,dissonant_rejections,resonance_total_events,resonance_ratio,personalities_recorded,max_relaxed_lifespan,max_strict_lifespan,identity_stable,identity_drift,identity_new,identity_reformation,mean_jaccard,motif_alpha,motif_beta,motif_gamma,cooled_nodes,mean_cooling_factor,z_hardened,z_softened,z_tensioned,compound_restore,inert_penalty,delta_L,delta_Z0,drift_applied
19,5000,1093,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9938,0.0023,0,36.1,9,0.2592,1.0,1.1849,0,0,0,6,19,1445,2323,3793,0.24,60,0,0,0,0,0,0,0.0,0,0,0,0,1.0,28433,8882,9000,0.500173,0.019987,-64,-18,0
20,4999,1116,1,0,1,3,1.3333,4,0,0,0,0,0,0,0,3,1.9818,-0.012,0,36.3,9,0.2613,1.0,1.2478,0,0,0,5,17,1100,1803,2925,0.2273,48,4,3,0,0,0,1,0.0,0,0,0,0,1.0,25222,8650,10135,0.500173,0.019987,-41,-2,0
21,4971,1078,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9696,-0.0122,1,36.4,9,0.2212,1.0,1.1265,0,0,0,1,7,759,1271,2038,0.125,33,0,0,0,0,0,0,0.0,0,0,0,0,1.0,18808,8310,13154,0.500181,0.019993,-79,-31,1
22,4925,1133,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9802,0.0106,1,36.9,9,0.229,1.0,1.1178,0,0,0,1,5,586,971,1563,0.1667,25,0,0,0,0,0,0,0.0,0,0,0,0,1.0,13655,7780,15934,0.500181,0.019993,55,4,0
23,4879,1276,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9668,-0.0134,1,37.1,9,0.26,1.0,1.1985,0,0,0,1,5,475,756,1237,0.1667,20,0,0,0,0,0,0,0.0,0,0,0,0,1.0,10881,7261,20057,0.500181,0.019993,198,16,0
24,4850,1316,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.882,-0.0848,1,37.1,9,0.2885,1.0,1.2685,0,0,0,0,5,397,607,1009,0.0,16,0,0,0,0,0,0,0.0,0,0,0,0,1.0,7842,6895,23696,0.500158,0.019998,238,-24,1
25,4821,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.6577,-0.2243,1,37.8,9,0.2989,1.0,1.3333,0,0,0,0,3,268,396,667,0.0,11,0,0,0,0,0,0,0.0,0,0,0,0,1.0,4920,6318,23421,0.500158,0.019998,-16,7,0
26,4786,1404,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.7925,0.1347,1,38.2,9,0.2516,1.0,1.4487,0,0,0,0,3,184,261,448,0.0,7,0,0,0,0,0,0,0.0,0,0,0,0,1.0,2909,5776,28255,0.500158,0.019998,88,-2,0
27,4741,1477,1,0,1,5,1.2,6,0,0,0,0,0,0,0,0,0.8113,-0.9812,1,38.6,9,0.2516,1.0,1.4487,0,0,0,0,3,184,261,448,0.0,7,6,4,0,0,0,1,0.0,0,0,0,0,1.0,2181,5480,32416,0.500142,0.019998,161,0,1
28,4693,1504,1,0,1,5,0.4,1,0,0,0,0,0,0,0,3,1.4591,0.6479,1,38.7,8,0.3333,1.0,1.3704,0,0,0,0,0,120,163,283,0.0,4,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1950,5387,31843,0.500142,0.019998,27,-2,0
29,4648,1540,1,0,1,3,0.6667,1,0,0,0,0,0,0,0,3,1.9056,0.4465,2,36.4,8,0.2857,1.0,1.6667,0,0,0,0,0,87,126,213,0.0,3,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1497,5014,33412,0.500142,0.019998,63,-7,0
30,4600,1619,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9502,0.0446,2,33.6,6,0.0,0.0,1.8333,0,0,0,0,0,42,69,111,0.0,2,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1221,4326,35098,0.500128,0.020001,142,-16,1
31,4552,1725,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9502,0.0,1,32.0,6,0.0,0.0,1.8333,0,0,0,0,0,43,70,113,0.0,2,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1261,4020,37859,0.500128,0.020001,106,-10,0
32,4509,1761,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9183,-0.0319,1,32.8,6,0.0,0.0,0.8889,0,0,0,0,0,18,36,54,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1787,3773,39653,0.500128,0.020001,142,-8,0
33,4471,1801,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.5219,-0.3964,1,33.5,6,0.0,0.0,0.8889,0,0,0,0,0,18,36,54,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1811,3435,39118,0.50011,0.020004,182,-12,1
34,4449,1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.585,0.063,1,32.9,6,0.0,0.0,0.8889,0,0,0,0,0,18,36,54,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1861,3254,42378,0.50011,0.020004,155,9,0
35,4422,1964,1,0,1,5,2.0,1,0,0,0,0,0,0,0,0,0.8113,-0.7737,1,33.6,6,0.0,0.0,0.8889,0,0,0,0,0,18,36,54,0.0,1,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1279,2756,44725,0.50011,0.020004,163,-13,0
36,4412,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0,-0.8113,1,33.0,6,0.0,0.0,0.6667,0,0,0,0,0,18,36,54,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,1.0,513,2779,44473,0.500088,0.020004,219,-3,1
37,4393,2080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1,33.8,6,0.0,0.0,0.6667,0,0,0,0,0,22,36,58,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,1.0,360,2447,48074,0.500088,0.020004,60,-6,0
38,4373,2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1,33.2,6,0.0,0.0,0.6667,0,0,0,0,0,22,36,58,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,1.0,520,2255,48008,0.500088,0.020004,6,-16,0
39,4355,2166,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.5219,0.5219,1,33.4,1,0.0,0.0,0.0,0,0,0,0,0,6,2,8,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,624,2009,50536,0.500074,0.020006,146,-10,1
40,4332,2222,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.8464,0.3245,1,33.9,1,0.0,0.0,0.0,0,0,0,0,0,5,1,6,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1073,1844,49792,0.500074,0.020006,56,-12,0
41,4300,2305,1,0,1,5,0.2286,1,0,0,0,0,0,0,0,3,1.8676,0.0212,1,33.4,1,0.0,0.0,0.0,0,0,0,0,0,4,0,4,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1825,1868,53820,0.500074,0.020006,139,-8,0
42,4273,2282,2,0,2,5,0.6,1,0,0,0,0,0,0,0,3,1.8774,0.0098,1,34.2,1,0.0,0.0,0.0,0,0,0,0,0,4,0,4,0.0,0,1,1,0,0,2,0,0.0,0,0,0,0,1.0,2712,1659,52396,0.500062,0.020009,116,-16,1
43,4259,2174,1,0,1,4,0.0,2,0,0,0,0,0,0,0,3,1.9591,0.0818,2,32.9,1,0.0,0.0,0.0,0,0,0,0,0,5,6,11,0.0,0,2,2,1,0,0,0,1.0,0,0,0,0,1.0,3384,1454,50815,0.500062,0.020009,-108,2,0
44,4243,2227,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9363,-0.0229,2,33.8,2,1.0,1.0,0.0,0,0,0,0,0,11,14,25,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,2888,1384,51663,0.500062,0.020009,-55,-5,0
