window,alive_nodes,alive_links,n_clusters,n_encapsulated,n_candidates,max_size,max_density_ratio,max_seen_count,mean_inner_entropy,max_inner_entropy,total_inner_triangles,motif_recurrence_count,encap_events_total,dissolve_events_total,hardened_links_count,k_star,entropy,entropy_delta,milestone,physics_seconds,max_lifespan,mean_continuity,max_continuity,mean_turnover_rate,pd_p_count,pd_d_count,pd_both_count,resonant_incorporations,dissonant_incorporations,resonant_rejections,dissonant_rejections,resonance_total_events,resonance_ratio,personalities_recorded,max_relaxed_lifespan,max_strict_lifespan,identity_stable,identity_drift,identity_new,identity_reformation,mean_jaccard,motif_alpha,motif_beta,motif_gamma,cooled_nodes,mean_cooling_factor,z_hardened,z_softened,z_tensioned,alpha_t,compound_restore,inert_penalty,delta_L,delta_Z0,drift_applied
19,5000,1023,0,0,0,0,0,0,0,0,0,0,3,1,19,3,1.9804,0.0104,0,36.7,10,0.2973,1.0,1.156,0,0,0,6,10,1844,3152,5012,0.375,74,0,0,0,0,0,0,0.0,0,0,0,0,1.0,20890,11769,8163,0.001116,0.518354,0.017463,-102,-41,0
20,5000,1092,0,0,0,0,0,0,0,0,0,0,3,1,19,3,1.961,-0.0194,0,36.0,10,0.2431,1.0,1.2449,0,0,0,5,9,1489,2540,4043,0.3571,61,0,0,0,0,0,0,0.0,0,0,0,0,1.0,14207,11274,11804,0.00043,0.518354,0.017463,-33,-19,0
21,4979,1141,0,0,0,0,0,0,0,0,0,0,3,1,19,3,1.9591,-0.0018,1,37.3,10,0.2711,1.0,1.2287,0,0,0,3,7,1030,1741,2781,0.3,42,0,0,0,0,0,0,0.0,0,0,0,0,1.0,11216,10778,14697,0.00026,0.51835,0.017472,16,-18,1
22,4940,1175,0,0,0,0,0,0,0,0,0,0,3,1,19,3,1.9698,0.0107,1,37.5,10,0.3077,1.0,1.1962,0,0,0,2,4,705,1152,1863,0.3333,29,0,0,0,0,0,0,0.0,0,0,0,0,1.0,9995,10084,16892,0.00044,0.51835,0.017472,34,-9,0
23,4899,1193,0,0,0,0,0,0,0,0,0,0,3,1,19,3,1.9785,0.0086,1,37.5,10,0.3633,1.0,1.0629,0,0,0,2,4,543,913,1462,0.3333,21,0,0,0,0,0,0,0.0,0,0,0,0,1.0,7797,10070,19224,0.00062,0.51835,0.017472,52,-24,0
24,4871,1208,0,0,0,0,0,0,0,0,0,0,3,1,19,3,1.922,-0.0565,1,36.9,10,0.4313,1.0,1.136,0,0,0,2,4,352,626,984,0.3333,15,0,0,0,0,0,0,0.0,0,0,0,0,1.0,4712,8840,21771,0.000769,0.518299,0.017509,67,-24,1
25,4833,1314,1,0,1,3,0.6667,1,0,0,0,0,3,1,19,3,1.9056,-0.0164,1,38.4,10,0.5353,1.0,1.0482,0,0,0,2,2,288,484,776,0.5,12,1,1,0,0,1,0,0.0,0,0,0,0,1.0,2621,8418,23752,0.001156,0.518299,0.017509,106,-22,0
26,4799,1446,1,0,1,3,0.0,2,0,0,0,0,3,1,19,3,1.5567,-0.349,1,38.3,10,0.5254,1.0,1.0769,0,0,0,1,1,185,332,519,0.5,8,2,2,1,0,0,0,1.0,0,0,0,0,1.0,2354,7909,26641,0.002436,0.518299,0.017509,238,-14,0
27,4763,1437,0,0,0,0,0,0,0,0,0,0,3,1,19,0,1.5,-0.0567,2,38.6,10,0.58,1.0,1.2396,0,0,0,0,1,123,214,338,0.0,5,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1688,7401,30169,0.002351,0.51777,0.017674,229,-35,1
28,4717,1586,0,0,0,0,0,0,0,0,0,0,3,1,19,0,1.5,0.0,1,37.5,7,0.75,1.0,0.6042,0,0,0,0,0,31,72,103,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1236,6599,32525,0.001579,0.51777,0.017674,149,-9,0
29,4670,1652,0,0,0,0,0,0,0,0,0,0,3,1,19,3,1.9219,0.4219,1,38.1,2,1.0,1.0,0.0,0,0,0,0,0,2,6,8,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1496,6241,33382,0.002217,0.51777,0.017674,215,-15,0
30,4629,1807,1,0,1,5,0.6857,1,0,0,0,0,3,1,19,0,1.585,-0.337,1,37.1,2,1.0,1.0,0.0,0,0,0,0,0,2,6,8,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1219,5844,35854,0.00364,0.516481,0.017797,370,-17,1
31,4589,1849,0,0,0,0,0,0,0,0,0,0,3,1,19,0,1.585,0.0,1,33.4,2,1.0,1.0,0.0,0,0,0,0,0,2,6,8,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,910,4962,37181,0.00052,0.516481,0.017797,42,6,0
32,4550,1890,1,0,1,5,0.72,1,0,0,0,0,3,1,19,3,1.4488,-0.1361,1,33.0,2,1.0,1.0,0.0,0,0,0,0,0,5,10,15,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1397,4642,40890,0.000928,0.516481,0.017797,83,-14,0
33,4517,1810,0,0,0,0,0,0,0,0,0,0,3,1,19,3,1.0,-0.4488,1,32.8,2,1.0,1.0,0.0,0,0,0,0,0,5,10,15,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1241,4529,40517,0.00013,0.516481,0.017803,3,-21,1
