window,alive_nodes,alive_links,n_clusters,n_encapsulated,n_candidates,max_size,max_density_ratio,max_seen_count,mean_inner_entropy,max_inner_entropy,total_inner_triangles,motif_recurrence_count,encap_events_total,dissolve_events_total,hardened_links_count,k_star,entropy,entropy_delta,milestone,physics_seconds,max_lifespan,mean_continuity,max_continuity,mean_turnover_rate,pd_p_count,pd_d_count,pd_both_count,resonant_incorporations,dissonant_incorporations,resonant_rejections,dissonant_rejections,resonance_total_events,resonance_ratio,personalities_recorded,max_relaxed_lifespan,max_strict_lifespan,identity_stable,identity_drift,identity_new,identity_reformation,mean_jaccard,motif_alpha,motif_beta,motif_gamma,cooled_nodes,mean_cooling_factor,z_hardened,z_softened,z_tensioned,alpha_t,compound_restore,inert_penalty,delta_L,delta_Z0,drift_applied
1,5000,4619,36,0,36,5,1.3333,1,0,0,0,0,0,0,0,0,1.9985,1.9985,0,15.6,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,1,1,0,0,36,0,0.0,0,0,0,1,0.9688,160469,18125,3274,0.0001,0.5,0.02,0,0,0
2,5000,6160,43,0,43,6,1.3333,2,0,0,0,0,0,0,0,0,1.9985,-0.0,0,17.5,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,2,2,26,4,13,0,0.9233,0,0,0,2,0.9417,253543,4025,3345,0.009223,0.5,0.02,1541,-6,0
3,5000,7318,57,0,57,10,1.5,3,0,0,0,0,0,0,0,0,1.9985,0.0,0,20.4,2,0.9233,1.0,0.0776,0,0,0,2,0,73,96,171,1.0,0,3,3,17,15,22,3,0.5771,0,0,0,3,0.9286,325844,3833,3237,0.01001,0.49008,0.01998,2699,1,1
4,5000,8150,45,0,45,6,1.2,4,0,0,0,0,0,0,0,0,1.9983,-0.0002,2,24.4,3,0.7446,1.0,0.4901,0,0,0,2,1,201,295,499,0.6667,26,4,4,10,11,19,5,0.5,0,0,0,1,0.9773,372772,3756,3198,0.006915,0.49008,0.01998,832,-5,0
5,5000,8286,44,0,44,11,0.8,5,0,0,0,0,0,0,0,0,1.9982,-0.0001,2,30.7,4,0.6827,1.0,0.5978,0,0,0,3,2,418,685,1108,0.6,30,5,5,0,18,18,8,0.1243,0,0,0,3,0.9483,395957,3819,2853,0.007578,0.49008,0.01998,968,-14,0
6,5000,8282,65,0,65,10,1.3333,6,0,0,0,0,0,0,0,3,1.9983,0.0001,2,34.7,5,0.5832,1.0,0.7401,0,0,0,5,5,611,1027,1648,0.5,32,6,5,0,19,28,18,0.0573,0,0,1,3,0.9583,402640,3589,2626,0.007561,0.48444,0.020192,964,-14,1
7,5000,8297,50,0,50,8,1.3333,7,0,0,0,0,0,0,0,0,1.9984,0.0,2,35.9,6,0.4999,1.0,0.7577,0,0,0,6,8,832,1406,2252,0.4286,42,7,6,1,20,17,12,0.1217,0,0,0,2,0.9568,401765,3819,2555,0.00025,0.48444,0.020192,15,8,0
8,5000,7632,50,0,50,8,0.8,8,0,0,0,0,0,0,0,0,1.9984,0.0,2,35.1,7,0.4436,1.0,0.8272,0,0,0,6,11,1171,1909,3097,0.3529,50,8,6,3,19,12,16,0.1931,0,0,0,2,0.9556,384847,5875,2175,0.005817,0.48444,0.020192,-650,48,0
9,5000,6434,37,0,37,10,0.8,9,0,0,0,0,0,0,0,3,1.9987,0.0003,2,34.0,8,0.4098,1.0,0.8832,0,0,0,6,14,1434,2350,3804,0.3,56,9,6,1,18,8,10,0.0883,0,0,0,1,0.9753,333242,8287,2147,0.009616,0.493589,0.018685,-1848,79,1
10,5000,5052,28,0,28,5,0.7143,10,0,0,0,0,0,0,0,0,1.9996,0.001,0,33.9,9,0.3762,1.0,0.9495,0,0,0,9,18,1652,2745,4424,0.3333,61,10,5,2,10,7,9,0.2064,0,0,0,5,0.9012,268660,11201,2585,0.008914,0.493589,0.018685,-1382,14,0
11,5000,4022,20,0,20,8,0.7273,8,0,0,0,0,0,0,0,0,1.9995,-0.0001,0,32.3,10,0.3657,1.0,0.9582,0,0,0,10,19,1822,3029,4880,0.3448,67,8,5,1,3,3,13,0.2857,0,0,0,3,0.9479,206174,11125,2411,0.009941,0.493589,0.018685,-2412,21,0
12,5000,3107,10,0,10,5,0.75,7,0,0,0,0,0,0,0,0,1.9994,-0.0001,0,32.9,10,0.3641,1.0,0.964,0,0,0,11,20,1941,3260,5232,0.3548,72,7,6,0,2,3,5,0.0625,0,0,0,1,0.9706,156779,11360,2858,0.010074,0.503638,0.018161,-3327,26,1
13,5000,2745,8,0,8,5,0.9091,8,0,0,0,0,0,0,0,0,1.9989,-0.0005,0,32.9,10,0.3611,1.0,0.9665,0,0,0,12,21,2035,3398,5466,0.3636,75,8,6,0,1,2,5,0.0,0,0,0,0,1.0,125521,13299,3225,0.00357,0.503638,0.018161,-362,36,0
14,5000,2283,4,0,4,5,0.6857,4,0,0,0,0,0,0,0,3,1.9945,-0.0044,0,33.3,10,0.3593,1.0,0.9744,0,0,0,12,21,2059,3459,5551,0.3636,77,4,3,0,1,1,2,0.2857,0,0,0,0,1.0,101046,13657,3631,0.006872,0.503638,0.018161,-824,76,0
15,5000,1791,4,0,4,6,0.4,3,0,0,0,0,0,0,0,0,1.9952,0.0007,0,33.3,10,0.3477,1.0,0.9916,0,0,0,12,22,2051,3421,5506,0.3529,75,3,3,0,1,0,3,0.0,0,0,0,0,1.0,76706,13831,3561,0.008758,0.51122,0.017515,-1316,37,1
16,5000,1514,1,0,1,3,0.1538,2,0,0,0,0,0,0,0,3,1.9966,0.0015,0,34.3,10,0.3479,1.0,1.0123,0,0,0,12,22,2020,3374,5428,0.3529,77,2,2,0,0,0,1,0.0,0,0,0,0,1.0,58656,13123,4937,0.002801,0.51122,0.017515,-277,-2,0
17,5000,1297,3,0,3,5,2.0,5,0,0,0,0,0,0,0,3,1.9981,0.0015,0,34.6,10,0.3378,1.0,0.9965,0,0,0,11,21,1923,3190,5145,0.3438,73,5,4,0,1,0,2,0.0,0,0,1,0,1.0,41449,12985,5458,0.004674,0.51122,0.017515,-494,33,0
18,5000,1158,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9964,-0.0017,0,35.4,10,0.3309,1.0,1.0608,0,0,0,9,21,1662,2752,4444,0.3,64,0,0,0,0,0,0,0.0,0,0,0,0,1.0,29725,12543,6245,0.005701,0.514414,0.01764,-633,-11,1
19,5000,1118,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9967,0.0004,0,36.2,10,0.3386,1.0,1.0896,0,0,0,9,17,1458,2452,3936,0.3462,59,0,0,0,0,0,0,0.0,0,0,0,0,1.0,25401,11554,8396,0.0005,0.514414,0.01764,-40,-11,0
20,4999,1172,2,0,2,4,2.0,2,0,0,0,0,0,0,0,3,1.9996,0.0029,0,36.6,10,0.3605,1.0,1.1494,0,0,0,9,17,1209,1985,3220,0.3462,50,2,2,0,0,1,1,0.0,0,0,1,0,1.0,20907,11404,11217,0.00024,0.514414,0.01764,14,-4,0
21,4987,1104,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9788,-0.0208,1,36.6,10,0.3617,1.0,1.0715,0,0,0,4,11,913,1435,2363,0.2667,38,0,0,0,0,0,0,0.0,0,0,0,0,1.0,15986,11114,13913,0.000639,0.514448,0.017671,-54,-24,1
22,4945,1068,1,0,1,3,0.2,4,0,0,0,0,0,0,0,3,1.8768,-0.102,1,37.2,8,0.3864,1.0,0.8615,0,0,0,3,5,580,915,1503,0.375,26,4,4,0,0,0,1,0.0,0,0,0,0,1.0,10963,10568,14675,0.00046,0.514448,0.017671,-36,-4,0
23,4888,1132,1,0,1,3,0.0,1,0,0,0,0,0,0,0,3,1.8377,-0.0391,1,37.8,8,0.4244,1.0,0.8083,0,0,0,1,3,346,527,877,0.25,17,1,1,0,0,1,0,0.0,0,0,0,0,1.0,7482,9962,16601,0.00038,0.514448,0.017671,28,-1,0
24,4851,1150,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.7703,-0.0674,2,37.2,8,0.3909,1.0,0.8992,0,0,0,0,2,277,402,681,0.0,14,0,0,0,0,0,0,0.0,0,0,0,0,1.0,6193,9654,19663,0.00056,0.514422,0.01769,46,-17,1
25,4799,1281,1,0,1,5,1.28,2,0,0,0,0,0,0,0,3,1.8232,0.0529,1,37.7,5,0.0408,0.2857,0.8845,0,0,0,0,1,168,240,409,0.0,9,2,2,0,0,0,1,0.0,0,0,0,0,1.0,5169,9201,21246,0.001403,0.514422,0.01769,131,3,0
26,4750,1344,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.8911,0.0679,1,38.1,5,0.0,0.0,0.5879,0,0,0,0,0,125,162,287,0.0,6,0,0,0,0,0,0,0.0,0,0,0,0,1.0,3680,8390,25017,0.002016,0.514422,0.01769,194,-37,0
27,4692,1304,1,0,1,5,0.4,1,0,0,0,0,0,0,0,3,1.371,-0.5201,1,38.0,5,0.0,0.0,0.6381,0,0,0,0,0,79,107,186,0.0,3,1,1,0,0,1,0,0.0,0,0,0,0,1.0,2398,7782,25088,0.001628,0.514174,0.017774,154,-26,1
28,4635,1496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,-0.371,1,38.1,5,0.0,0.0,0.5583,0,0,0,0,0,79,107,186,0.0,3,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1216,7035,28557,0.001997,0.514174,0.017774,192,0,0
29,4567,1534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0,-1.0,1,35.3,4,0.0,0.0,0.0,0,0,0,0,0,38,53,91,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,1.0,629,6563,32478,0.00236,0.514174,0.017774,230,2,0
30,4520,1609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0,0.0,1,31.9,4,0.0,0.0,0.0,0,0,0,0,0,38,53,91,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,1.0,600,6119,35549,0.003059,0.513268,0.017897,305,-20,1
31,4481,1691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0,0.0,1,32.8,4,0.0,0.0,0.0,0,0,0,0,0,38,53,91,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,1.0,600,5395,37042,0.000918,0.513268,0.017897,82,-20,0
32,4443,1805,1,0,1,4,0.375,5,0,0,0,0,0,0,0,0,0.9183,0.9183,1,32.5,4,0.0,0.0,0.0,0,0,0,0,0,28,40,68,0.0,1,5,5,0,0,0,1,0.0,0,0,0,0,1.0,664,4819,38034,0.002035,0.513268,0.017897,196,-21,0
33,4418,1802,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.3788,0.4605,1,32.7,5,0.0,0.0,0.0,0,0,0,0,0,28,40,68,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,1.0,491,4593,39813,0.002006,0.512886,0.017977,193,-20,1
34,4387,1944,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.3788,0.0,1,32.6,5,0.0,0.0,0.0,0,0,0,0,0,28,44,72,0.0,1,0,0,0,0,0,0,0.0,0,0,0,1,0.9792,936,4108,41399,0.001511,0.512886,0.017977,142,13,0
35,4357,1949,2,0,2,5,1.3333,1,0,0,0,0,0,0,0,3,1.825,0.4462,1,32.2,5,0.0,0.0,0.0,0,0,0,0,0,28,43,71,0.0,1,1,1,0,0,2,0,0.0,0,0,0,0,1.0,1357,3777,41868,0.00156,0.512886,0.017977,147,-20,0
36,4336,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.8554,0.0304,1,33.4,5,0.0,0.0,0.0,0,0,0,0,0,28,43,71,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1512,3526,44314,0.00217,0.512437,0.018011,210,-8,1
37,4318,2033,1,0,1,5,0.2,1,0,0,0,0,0,0,0,3,1.8464,-0.0089,1,32.8,5,0.0,0.0,0.0,0,0,0,0,0,27,44,71,0.0,1,1,1,0,0,1,0,0.0,0,0,0,0,1.0,2073,3381,44891,0.00031,0.512437,0.018011,21,-20,0
38,4299,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.8262,-0.0202,1,33.4,5,0.0,0.0,0.0,0,0,0,0,0,27,44,71,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,1.0,2222,3457,45342,0.0004,0.512437,0.018011,-30,-14,0
39,4278,2066,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.8676,0.0414,1,32.9,5,0.0,0.0,0.0,0,0,0,0,0,27,42,69,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,1.0,2151,2757,45655,0.000639,0.512402,0.018042,54,-24,1
40,4258,2115,1,0,1,4,1.3333,1,0,0,0,0,0,0,0,3,1.7219,-0.1457,1,32.8,5,0.0,0.0,0.0,0,0,0,0,0,27,42,69,0.0,1,1,1,0,0,1,0,0.0,0,0,1,0,1.0,1795,2528,47724,0.00059,0.512402,0.018042,49,-3,0
41,4240,2176,2,0,2,5,1.0,1,0,0,0,0,0,0,0,3,1.922,0.2001,1,33.3,5,0.0,0.0,0.0,0,0,0,0,0,27,42,69,0.0,1,1,1,0,0,2,0,0.0,0,0,0,0,1.0,2134,2473,48649,0.001196,0.512402,0.018042,110,5,0
42,4233,2105,2,0,2,4,1.5,1,0,0,0,0,0,0,0,3,1.9713,0.0493,2,32.7,5,0.0,0.0,0.0,0,0,0,0,0,28,44,72,0.0,1,1,1,0,0,2,0,0.0,0,0,0,0,1.0,2596,2273,48945,0.00049,0.512383,0.018052,39,-10,1
43,4223,2228,3,0,3,4,1.3333,2,0,0,0,0,0,0,0,3,1.9855,0.0141,2,33.1,5,0.0,0.0,0.0,0,0,0,0,0,30,53,83,0.0,1,2,2,0,1,2,0,0.75,0,0,1,0,1.0,2936,2157,51206,0.001324,0.512383,0.018052,123,-1,0
44,4212,2329,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9938,0.0083,2,32.8,2,0.75,0.75,0.025,0,0,0,0,0,12,24,36,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,3723,2012,50331,0.002303,0.512383,0.018052,224,-4,0
45,4197,2257,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.8464,-0.1473,1,33.3,2,0.75,0.75,0.025,0,0,0,0,0,17,31,48,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,2954,1942,52794,0.001608,0.512141,0.018065,152,-4,1
46,4181,2256,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.5219,-0.3245,1,32.7,2,0.75,0.75,0.025,0,0,0,0,0,17,31,48,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1679,1754,51912,0.00011,0.512141,0.018065,-1,3,0
47,4165,2228,1,0,1,4,0.6667,1,0,0,0,0,0,0,0,3,1.371,-0.151,1,33.1,2,0.75,0.75,0.0312,0,0,0,0,0,16,25,41,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1181,1691,54943,0.00039,0.512141,0.018065,-29,3,0
48,4152,2357,1,0,1,3,0.2222,2,0,0,0,0,0,0,0,3,1.3788,0.0078,1,32.3,2,0.75,0.75,0.0278,0,0,0,0,0,16,25,41,0.0,0,2,2,0,0,0,1,0.0,0,0,0,0,1.0,1246,1479,53586,0.001097,0.512031,0.01808,100,-7,1
49,4145,2372,1,0,1,3,0.3333,1,0,0,0,0,0,0,0,3,1.6577,0.279,2,32.6,2,0.75,0.75,0.0312,0,0,0,0,0,16,24,40,0.0,0,1,1,0,0,1,0,0.0,0,0,0,0,1.0,1750,1409,54842,0.00025,0.512031,0.01808,15,0,0
