seed,window,links,v_labels,alive_tracked,mean_social,mean_stability,mean_spread,mean_familiarity,count_social,count_isolated,count_deeply_connected,reciprocal_pairs,asymmetric_pairs,fam_symmetry_mean,fam_symmetry_std,att_overlap_mean,att_overlap_pairs,subject_count_total,subject_hosted,subject_ghost,ghost_duration_mean,n_cids_with_tags,n_tags_total,tag_gain_social,tag_loss_social,tag_gain_stability,tag_loss_stability,tag_gain_spread,tag_loss_spread,tag_gain_familiarity,tag_loss_familiarity,ghost_births,ghost_reaped,pickup_uncontested,pickup_contested,pickup_no_eligible,pickup_total_success,death_pool_size,mean_ttl_bonus
12,20,2888,25,25,0.4674,0.6529,0.8536,39.8978,11,5,22,65,77,0.9186,0.2102,29.6,270,83,25,32,6.16,0,0,0,0,0,0,0,0,0,0,7,6,3,4,0,7,0,0.35
12,21,2942,20,20,0.6068,0.6668,0.8319,18.2972,12,2,20,77,57,0.9279,0.1878,70.0,185,85,20,33,5.15,14,22,6,0,0,0,0,2,6,8,5,3,2,2,1,4,1,0.6666666666666666
12,22,2818,15,15,0.7768,0.6621,0.8395,13.896,12,0,13,76,20,0.9393,0.1328,123.1,105,85,15,35,5.0,12,12,3,0,0,0,0,0,1,8,0,3,0,0,1,0,1,0.625
12,23,2893,16,16,0.7474,0.679,0.8453,12.777,12,1,12,87,17,0.8861,0.217,105.0,120,86,16,32,5.53,9,10,1,0,0,0,0,0,3,6,2,2,1,1,1,2,1,0.7333333333333333
12,24,3028,15,15,0.8056,0.6899,0.8449,13.1088,14,1,11,85,10,0.8466,0.2546,123.0,105,87,15,32,5.91,8,9,1,0,1,0,0,0,5,2,1,2,1,0,1,1,0,0.8
12,25,2876,15,15,0.8133,0.6808,0.8424,11.2782,14,0,8,94,4,0.8395,0.2734,125.6,105,88,15,31,6.45,9,9,0,0,0,0,0,0,0,9,0,6,0,0,0,0,0,0.75
12,26,2843,16,16,0.7825,0.6557,0.8431,11.5967,15,0,10,94,15,0.8258,0.2733,113.7,120,89,16,25,6.6,7,9,1,0,0,1,0,0,4,3,0,3,0,0,0,0,0,0.7058823529411765
12,27,2941,17,17,0.7696,0.6454,0.8412,12.5263,15,0,12,103,16,0.8469,0.2393,104.7,136,90,17,22,7.14,9,13,2,0,2,2,0,0,4,3,1,4,1,0,0,1,0,0.8125
12,28,3014,16,16,0.8153,0.6619,0.8424,12.1296,15,0,11,94,18,0.8653,0.2316,110.8,120,90,16,19,7.16,10,10,1,0,0,0,0,0,4,5,0,3,0,0,0,0,0,0.7647058823529411
12,29,2793,17,17,0.7955,0.6743,0.8364,14.1609,16,0,12,102,24,0.8223,0.2781,99.0,135,91,17,16,7.62,11,12,1,0,1,0,0,0,9,1,0,0,0,0,0,0,0,0.6842105263157895
12,30,2933,19,19,0.7744,0.6711,0.8447,14.4063,16,0,14,115,28,0.8595,0.238,94.0,171,93,19,16,8.62,11,14,1,1,1,0,0,0,5,6,3,7,0,3,0,3,0,1.0
12,31,2913,16,16,0.8214,0.6557,0.8376,12.9256,16,0,10,90,17,0.8292,0.243,111.2,120,93,16,12,6.67,10,12,3,0,0,0,0,0,2,7,1,4,0,0,1,0,1,0.75
12,32,2804,16,16,0.8244,0.6695,0.8457,12.912,15,0,10,92,16,0.8338,0.2588,116.1,120,94,16,9,5.44,9,10,0,0,1,0,0,0,3,6,0,1,0,0,1,0,1,0.631578947368421
12,33,2802,19,19,0.7689,0.6518,0.8473,15.0167,17,0,15,114,28,0.8549,0.2416,119.6,171,97,19,8,5.75,11,12,1,1,0,0,0,0,7,3,0,1,0,0,1,0,1,0.631578947368421
12,34,2842,19,19,0.8238,0.6577,0.8428,16.3074,18,0,15,127,29,0.8644,0.2201,118.0,171,97,19,7,6.14,10,11,2,0,0,0,0,0,6,3,1,2,0,1,1,1,0,0.6842105263157895
12,35,2811,19,19,0.8261,0.6786,0.8492,15.7789,17,1,14,127,25,0.8047,0.2566,122.8,171,98,19,6,4.67,13,15,1,0,2,0,0,0,4,8,0,0,0,0,0,0,0,0.65
12,36,2808,20,20,0.7812,0.6598,0.8409,14.6543,17,0,15,130,33,0.7713,0.2878,103.6,190,99,20,6,5.67,11,14,0,2,0,1,0,0,4,7,3,0,0,2,1,2,1,0.631578947368421
12,37,2779,19,19,0.7958,0.6681,0.8458,13.7141,17,0,15,122,22,0.7758,0.2749,115.6,171,101,19,9,4.78,12,13,0,1,0,0,0,0,1,11,0,1,0,0,1,0,1,0.5714285714285714
12,38,2765,21,21,0.821,0.6684,0.8409,15.907,19,0,19,156,28,0.8199,0.2425,126.2,210,103,21,8,5.12,12,14,4,0,0,1,0,0,9,0,0,0,0,0,1,0,1,0.5454545454545454
12,39,2690,22,22,0.8199,0.669,0.8439,16.6086,21,0,20,177,30,0.8369,0.2289,109.6,231,104,22,8,6.12,12,14,2,0,1,0,0,0,7,4,2,0,1,2,0,3,0,0.6666666666666666
