seed,window,links,v_labels,alive_tracked,mean_social,mean_stability,mean_spread,mean_familiarity,count_social,count_isolated,count_deeply_connected,reciprocal_pairs,asymmetric_pairs,fam_symmetry_mean,fam_symmetry_std,att_overlap_mean,att_overlap_pairs,subject_count_total,subject_hosted,subject_ghost,ghost_duration_mean,n_cids_with_tags,n_tags_total,tag_gain_social,tag_loss_social,tag_gain_stability,tag_loss_stability,tag_gain_spread,tag_loss_spread,tag_gain_familiarity,tag_loss_familiarity,ghost_births,ghost_reaped,pickup_uncontested,pickup_contested,pickup_no_eligible,pickup_total_success,death_pool_size,mean_ttl_bonus
19,20,2960,24,24,0.3464,0.675,0.8474,24.4142,8,11,16,40,47,0.9131,0.1914,20.3,214,86,24,38,5.37,0,0,0,0,0,0,0,0,0,0,6,5,2,4,0,6,0,0.2857142857142857
19,21,2965,21,21,0.4502,0.6684,0.8146,16.1772,9,7,16,64,46,0.8569,0.2426,42.1,201,89,21,39,4.95,16,23,5,1,0,1,0,1,6,9,4,6,2,1,1,3,1,0.5294117647058824
19,22,2955,17,17,0.5754,0.6746,0.8309,13.3612,10,1,15,65,32,0.8546,0.251,63.6,133,89,17,37,4.59,13,17,5,0,0,0,1,0,4,7,3,1,0,2,2,2,2,0.6875
19,23,2914,16,16,0.6275,0.6698,0.8387,12.6544,10,1,12,72,29,0.8694,0.232,83.6,119,91,16,39,5.1,10,11,1,0,1,2,0,0,1,6,0,1,0,0,2,0,2,0.6470588235294118
19,24,2962,17,17,0.6729,0.6719,0.8264,10.4078,13,1,7,88,31,0.8364,0.2522,89.8,134,92,17,38,5.97,12,14,2,0,1,0,0,0,1,10,1,5,0,1,2,1,1,0.5789473684210527
19,25,2805,19,19,0.6316,0.661,0.8382,11.6537,12,2,9,101,35,0.8612,0.249,87.0,171,95,19,34,6.21,11,12,0,1,0,1,0,0,5,5,1,3,1,0,1,1,0,0.5555555555555556
19,26,2816,18,18,0.6825,0.6639,0.8445,12.8967,15,0,11,108,29,0.8596,0.2249,103.8,152,95,18,32,6.66,10,11,2,0,0,0,0,0,6,3,1,4,0,1,0,1,0,0.5555555555555556
19,27,2830,18,18,0.735,0.67,0.8442,16.0832,15,0,13,108,28,0.7888,0.2749,140.6,153,96,18,29,6.97,10,11,2,0,1,0,0,0,7,1,1,4,0,1,0,1,0,0.5882352941176471
19,28,2924,17,17,0.7482,0.6598,0.8422,14.9612,14,0,12,99,24,0.7768,0.2998,141.3,136,96,17,26,7.23,7,8,2,0,0,0,0,0,1,5,0,3,0,0,0,0,0,0.5263157894736842
19,29,2831,19,19,0.761,0.6689,0.8373,15.9285,15,0,13,115,31,0.8142,0.2664,119.2,170,98,19,23,7.87,11,14,4,0,1,0,0,0,5,4,0,6,0,0,0,0,0,0.5
19,30,2900,20,20,0.7848,0.6658,0.8376,16.818,17,1,15,131,35,0.7832,0.2884,106.5,189,99,20,17,8.12,16,20,4,0,0,1,0,0,8,7,2,6,1,1,0,2,0,0.47368421052631576
19,31,2890,19,19,0.8124,0.6797,0.8454,18.6796,16,0,16,122,28,0.7892,0.276,126.9,170,100,19,13,7.0,9,11,2,0,0,0,0,0,6,3,1,4,0,1,0,1,0,0.5263157894736842
19,32,2881,19,19,0.8158,0.6628,0.8412,16.1945,16,0,15,127,31,0.8095,0.2742,124.5,171,101,19,10,6.1,12,15,1,0,0,2,0,0,2,10,1,3,1,0,0,1,0,0.47368421052631576
19,33,2732,19,19,0.8575,0.6654,0.8378,16.4037,17,0,17,136,21,0.8038,0.2588,126.6,171,102,19,8,4.88,11,12,2,0,0,0,0,0,5,5,1,0,0,1,0,1,0,0.42857142857142855
19,34,2769,21,21,0.7513,0.682,0.8447,14.0113,18,1,16,151,26,0.7713,0.2882,114.6,210,105,21,9,5.33,15,16,1,4,1,0,0,0,2,8,2,0,0,2,0,2,0,0.55
19,35,2849,20,20,0.8037,0.6646,0.8411,14.7164,18,0,15,153,19,0.7847,0.2678,122.7,190,106,20,11,5.36,11,12,1,0,0,1,0,0,5,5,1,1,0,1,0,1,0,0.6
19,36,2786,20,20,0.8,0.6684,0.8424,13.7472,18,1,14,145,23,0.7869,0.265,124.4,190,107,20,11,5.36,12,13,0,0,2,0,0,0,4,7,1,0,0,1,0,1,0,0.6842105263157895
19,37,2870,19,19,0.8129,0.6575,0.8493,14.2753,18,0,14,143,16,0.7576,0.2892,128.7,171,107,19,12,5.92,9,9,0,1,0,0,0,0,5,3,2,2,0,1,1,1,1,0.631578947368421
19,38,2780,19,19,0.7387,0.66,0.844,14.0572,16,0,16,124,30,0.7884,0.2885,126.7,171,109,19,12,5.0,9,10,0,2,0,0,0,0,3,5,1,1,1,0,1,1,1,0.5
19,39,2793,22,22,0.7155,0.6711,0.8492,14.1804,19,0,18,163,39,0.8177,0.2582,113.6,230,113,22,12,5.08,12,12,3,0,0,0,0,0,3,6,1,0,0,1,1,1,1,0.4166666666666667
