N,seed,plb,rate,quiet_steps,n_windows,policy,hyst_threshold,dominant_k,dominant_k_fraction,switch_count,switches_per_100,time_stable,first_half_dom,second_half_dom,k_dist,mean_margin,pct_close_002,mean_islands_strong,mean_islands_mid,mean_none_ratio,mean_n_C,elapsed
5000,314,0.007,0.002,5000,25,hyst_0.01,0.01,4,0.84,5,5.0,True,4,4,"{""0"": 2, ""1"": 0, ""2"": 0, ""3"": 2, ""4"": 21}",0.0685,32.0,0.64,1.04,0.9298,165.8,9275.1
5000,42,0.007,0.002,5000,25,hyst_0.01,0.01,4,0.76,8,8.0,True,4,4,"{""0"": 1, ""1"": 4, ""2"": 0, ""3"": 1, ""4"": 19}",0.0343,36.0,0.36,0.88,0.9295,166.9,9278.6
5000,456,0.007,0.002,5000,25,hyst_0.01,0.01,3,0.6,8,8.0,True,3,3,"{""0"": 5, ""1"": 3, ""2"": 0, ""3"": 15, ""4"": 2}",-0.0088,72.0,0.28,0.72,0.9397,170.1,9265.8
5000,55,0.007,0.002,5000,25,hyst_0.01,0.01,4,0.6,7,7.0,False,3,4,"{""0"": 2, ""1"": 3, ""2"": 0, ""3"": 5, ""4"": 15}",0.0254,68.0,0.52,1.12,0.9383,175.7,9338.5
5000,7,0.007,0.002,5000,25,hyst_0.01,0.01,4,0.4,12,12.0,False,4,1,"{""0"": 2, ""1"": 8, ""2"": 0, ""3"": 5, ""4"": 10}",0.0225,48.0,0.44,1.16,0.9314,174.4,9284.1
5000,789,0.007,0.002,5000,25,hyst_0.01,0.01,4,0.84,7,7.0,True,4,4,"{""0"": 2, ""1"": 2, ""2"": 0, ""3"": 0, ""4"": 21}",0.064,36.0,0.48,0.88,0.9382,166.7,9300.4
5000,999,0.007,0.002,5000,25,hyst_0.01,0.01,4,0.52,12,12.0,False,3,4,"{""0"": 3, ""1"": 5, ""2"": 0, ""3"": 4, ""4"": 13}",0.0546,44.0,0.44,0.92,0.94,178.0,9247.0
10000,123,0.007,0.001,5000,25,hyst_0.01,0.01,1,0.32,14,14.0,False,0,1,"{""0"": 5, ""1"": 8, ""2"": 1, ""3"": 4, ""4"": 7}",0.0146,68.0,0.44,1.08,0.9394,322.4,42514.2
10000,1337,0.007,0.001,5000,25,hyst_0.01,0.01,3,0.44,7,7.0,False,3,4,"{""0"": 2, ""1"": 5, ""2"": 0, ""3"": 11, ""4"": 7}",0.0034,88.0,0.48,0.72,0.9344,298.5,42434.3
10000,2024,0.007,0.001,5000,25,hyst_0.01,0.01,3,0.32,13,13.0,False,1,3,"{""0"": 4, ""1"": 7, ""2"": 0, ""3"": 8, ""4"": 6}",0.0079,68.0,0.52,1.04,0.9325,293.1,42628.4
10000,314,0.007,0.001,5000,25,hyst_0.01,0.01,4,0.28,8,8.0,False,0,3,"{""0"": 5, ""1"": 6, ""2"": 0, ""3"": 7, ""4"": 7}",-0.0035,88.0,0.36,0.8,0.9455,301.1,42466.5
10000,42,0.007,0.001,5000,25,hyst_0.01,0.01,4,0.56,7,7.0,True,4,4,"{""0"": 1, ""1"": 4, ""2"": 0, ""3"": 6, ""4"": 14}",-0.003,76.0,0.4,0.84,0.9451,323.4,42574.7
10000,456,0.007,0.001,5000,25,hyst_0.01,0.01,4,0.36,6,6.0,False,3,4,"{""0"": 3, ""1"": 5, ""2"": 0, ""3"": 8, ""4"": 9}",0.0436,68.0,0.72,1.16,0.9459,308.8,42781.6
10000,55,0.007,0.001,5000,25,hyst_0.01,0.01,4,0.64,7,7.0,True,4,4,"{""0"": 2, ""1"": 5, ""2"": 0, ""3"": 2, ""4"": 16}",0.022,72.0,0.4,0.6,0.9507,308.6,42828.7
10000,7,0.007,0.001,5000,25,hyst_0.01,0.01,4,0.48,14,14.0,True,4,4,"{""0"": 2, ""1"": 7, ""2"": 0, ""3"": 4, ""4"": 12}",0.0347,48.0,0.36,0.96,0.938,303.2,42548.0
10000,789,0.007,0.001,5000,25,hyst_0.01,0.01,4,0.6,5,5.0,False,1,4,"{""0"": 3, ""1"": 6, ""2"": 0, ""3"": 1, ""4"": 15}",0.0077,68.0,0.72,1.08,0.9363,308.9,41892.8
10000,999,0.007,0.001,5000,25,hyst_0.01,0.01,4,0.48,6,6.0,False,3,4,"{""0"": 2, ""1"": 3, ""2"": 0, ""3"": 8, ""4"": 12}",0.0248,60.0,0.4,0.72,0.9261,297.9,42774.0
10000,123,0.007,0.002,5000,25,hyst_0.01,0.01,4,0.6,4,4.0,False,3,4,"{""0"": 3, ""1"": 1, ""2"": 0, ""3"": 6, ""4"": 15}",0.0365,52.0,0.36,0.84,0.9435,308.9,42807.3
10000,1337,0.007,0.002,5000,25,hyst_0.01,0.01,4,0.52,7,7.0,False,3,4,"{""0"": 3, ""1"": 3, ""2"": 0, ""3"": 6, ""4"": 13}",0.0215,68.0,0.52,0.96,0.9441,310.3,41970.0
10000,2024,0.007,0.002,5000,25,hyst_0.01,0.01,4,0.72,5,5.0,True,4,4,"{""0"": 3, ""1"": 2, ""2"": 0, ""3"": 2, ""4"": 18}",0.0615,44.0,0.52,1.0,0.9403,293.8,42222.2
10000,314,0.007,0.002,5000,25,hyst_0.01,0.01,4,0.44,9,9.0,False,3,4,"{""0"": 3, ""1"": 2, ""2"": 0, ""3"": 9, ""4"": 11}",0.0156,52.0,0.48,0.72,0.9546,306.9,42464.4
10000,42,0.007,0.002,5000,25,hyst_0.01,0.01,4,0.76,7,7.0,True,4,4,"{""0"": 2, ""1"": 2, ""2"": 0, ""3"": 2, ""4"": 19}",0.023,36.0,0.44,0.72,0.9455,300.3,42644.5
10000,456,0.007,0.002,5000,25,hyst_0.01,0.01,4,0.44,11,11.0,False,1,4,"{""0"": 2, ""1"": 5, ""2"": 0, ""3"": 7, ""4"": 11}",0.0572,48.0,0.32,0.88,0.9497,301.6,42615.6
10000,55,0.007,0.002,5000,25,hyst_0.01,0.01,4,0.56,9,9.0,True,4,4,"{""0"": 2, ""1"": 2, ""2"": 1, ""3"": 6, ""4"": 14}",0.0008,72.0,0.32,1.0,0.9429,297.6,42520.7
10000,7,0.007,0.002,5000,25,hyst_0.01,0.01,4,0.64,4,4.0,False,1,4,"{""0"": 2, ""1"": 4, ""2"": 0, ""3"": 3, ""4"": 16}",0.0339,44.0,0.76,1.12,0.9046,294.4,42588.7
10000,789,0.007,0.002,5000,25,hyst_0.01,0.01,4,0.88,5,5.0,True,4,4,"{""0"": 1, ""1"": 2, ""2"": 0, ""3"": 0, ""4"": 22}",0.0654,36.0,0.28,0.76,0.9384,317.3,42691.7
10000,999,0.007,0.002,5000,25,hyst_0.01,0.01,4,0.44,8,8.0,False,3,4,"{""0"": 2, ""1"": 3, ""2"": 0, ""3"": 9, ""4"": 11}",0.021,48.0,0.4,0.56,0.936,297.2,42571.7
