seed,window,links,v_labels,alive_tracked,mean_social,mean_stability,mean_spread,mean_familiarity,count_social,count_isolated,count_deeply_connected,reciprocal_pairs,asymmetric_pairs,fam_symmetry_mean,fam_symmetry_std,att_overlap_mean,att_overlap_pairs,subject_count_total,subject_hosted,subject_ghost,ghost_duration_mean,n_cids_with_tags,n_tags_total,tag_gain_social,tag_loss_social,tag_gain_stability,tag_loss_stability,tag_gain_spread,tag_loss_spread,tag_gain_familiarity,tag_loss_familiarity,ghost_births,ghost_reaped,pickup_uncontested,pickup_contested,pickup_no_eligible,pickup_total_success,death_pool_size,mean_ttl_bonus
22,20,2944,20,20,0.4786,0.6747,0.855,15.7177,10,6,16,47,30,0.9191,0.1711,28.8,173,88,20,44,6.05,0,0,0,0,0,0,0,0,0,0,1,6,0,1,0,1,0,0.05
22,21,2911,20,20,0.5737,0.6623,0.8297,13.1114,12,1,15,79,41,0.8895,0.2008,50.9,186,89,20,39,6.28,18,24,8,0,0,1,0,0,5,10,1,7,0,1,0,1,0,0.1
22,22,2906,20,20,0.6381,0.6635,0.8207,13.7282,14,1,17,94,41,0.8551,0.2303,52.4,185,90,20,33,6.3,12,17,4,0,1,1,0,0,5,6,0,2,0,0,0,0,0,0.08695652173913043
22,23,2955,23,23,0.6597,0.6635,0.8224,11.7536,14,0,15,129,55,0.8575,0.2276,43.7,246,93,23,31,7.06,14,18,5,0,1,1,0,0,3,8,2,6,0,2,0,2,0,0.17391304347826086
22,24,2905,23,23,0.6609,0.6696,0.8227,10.221,15,1,12,132,46,0.8604,0.228,43.6,248,95,23,27,6.89,14,14,1,0,0,0,0,0,3,10,2,3,1,1,0,2,0,0.23809523809523808
22,25,2903,21,21,0.7333,0.6644,0.8226,10.4598,15,0,12,123,38,0.8597,0.2256,54.9,205,95,21,26,7.0,11,16,5,0,0,0,0,0,6,5,2,4,0,2,0,2,0,0.3
22,26,2932,20,20,0.7442,0.6597,0.8322,11.7435,15,1,13,116,33,0.8542,0.2277,67.9,188,96,20,24,6.92,15,16,1,0,0,1,0,0,9,5,1,6,0,1,0,1,0,0.2727272727272727
22,27,3047,22,22,0.7013,0.6756,0.8342,9.971,16,1,11,127,41,0.8392,0.2383,65.8,230,99,22,19,6.58,13,14,0,0,1,0,0,1,2,10,3,5,2,1,0,3,0,0.47368421052631576
22,28,2837,19,19,0.7459,0.656,0.8393,9.6071,15,0,9,117,27,0.851,0.2127,79.3,171,99,19,17,5.41,10,10,0,1,0,1,0,0,1,7,1,3,0,1,0,1,0,0.5555555555555556
22,29,2851,18,18,0.823,0.6649,0.8365,9.2296,15,0,7,121,15,0.8443,0.2374,90.8,153,99,18,15,5.13,12,12,1,0,0,0,0,0,4,7,1,2,1,0,0,1,0,0.5882352941176471
22,30,2752,17,17,0.8235,0.6472,0.8252,9.9606,15,0,9,109,16,0.8475,0.2382,90.7,136,99,17,14,5.07,11,13,0,0,1,2,0,0,6,4,1,1,0,1,0,1,0,0.6111111111111112
22,31,2848,18,18,0.7366,0.6721,0.8399,10.145,14,0,8,105,20,0.8084,0.2694,73.2,153,101,18,14,5.36,11,14,0,3,1,0,0,1,2,7,2,1,0,2,0,2,0,0.8125
22,32,2796,16,16,0.7975,0.6693,0.8387,10.1803,14,0,6,95,9,0.8413,0.2405,86.4,120,101,16,15,5.33,9,11,2,0,2,1,0,0,3,3,0,0,0,0,0,0,0,0.8125
22,33,2844,16,16,0.8177,0.6812,0.8403,9.6652,15,0,7,102,14,0.8129,0.2677,94.8,120,101,16,15,6.33,8,10,2,0,0,0,0,0,3,5,0,2,0,0,0,0,0,0.8125
22,34,2683,16,16,0.8381,0.6746,0.8348,10.5967,15,0,7,96,17,0.8145,0.263,92.0,120,101,16,13,6.77,3,3,0,0,0,0,0,0,3,0,1,1,0,1,0,1,0,0.9333333333333333
22,35,2802,15,15,0.8476,0.6592,0.8443,11.8405,14,0,9,88,10,0.8427,0.2324,104.4,105,101,15,13,7.0,9,12,0,1,0,2,0,0,5,4,0,2,0,0,0,0,0,0.875
22,36,2766,16,16,0.8947,0.6649,0.8434,13.4994,15,0,12,98,13,0.8394,0.2361,106.2,120,102,16,11,7.36,11,13,4,0,0,0,0,0,7,2,0,1,0,0,0,0,0,0.7777777777777778
22,37,2759,18,18,0.7937,0.6769,0.8484,12.9895,17,1,13,116,15,0.8482,0.2492,96.8,153,104,18,10,8.0,11,13,0,3,0,0,0,0,6,4,0,4,0,0,0,0,0,0.7777777777777778
22,38,2734,18,18,0.8417,0.648,0.8403,14.0147,17,0,14,116,19,0.8173,0.2659,95.2,153,104,18,6,7.5,13,15,1,0,0,1,0,0,8,5,1,1,1,0,0,1,0,0.8235294117647058
22,39,2742,17,17,0.9379,0.6505,0.8408,14.414,17,0,12,106,15,0.8016,0.2666,102.7,136,104,17,6,6.83,12,14,5,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0.7777777777777778
