seed,window,links,v_labels,alive_tracked,mean_social,mean_stability,mean_spread,mean_familiarity,count_social,count_isolated,count_deeply_connected,reciprocal_pairs,asymmetric_pairs,fam_symmetry_mean,fam_symmetry_std,att_overlap_mean,att_overlap_pairs,subject_count_total,subject_hosted,subject_ghost,ghost_duration_mean,n_cids_with_tags,n_tags_total,tag_gain_social,tag_loss_social,tag_gain_stability,tag_loss_stability,tag_gain_spread,tag_loss_spread,tag_gain_familiarity,tag_loss_familiarity,ghost_births,ghost_reaped,pickup_uncontested,pickup_contested,pickup_no_eligible,pickup_total_success,death_pool_size,mean_ttl_bonus
0,20,2905,15,15,0.5897,0.6791,0.8629,13.7443,10,2,11,49,13,0.8978,0.2055,56.8,98,67,15,26,5.96,0,0,0,0,0,0,0,0,0,0,2,3,1,1,0,2,0,0.15384615384615385
0,21,2974,13,13,0.6648,0.6746,0.833,15.8884,10,2,11,47,16,0.8752,0.2438,113.5,78,67,13,25,6.0,10,10,0,0,0,1,0,0,7,2,1,3,0,1,0,1,0,0.21428571428571427
0,22,2902,14,14,0.6429,0.6628,0.8222,17.5352,10,2,14,56,15,0.9063,0.1936,83.8,91,69,14,23,6.22,8,8,0,0,0,0,0,1,4,3,1,1,0,1,0,1,0,0.3076923076923077
0,23,2867,13,13,0.7163,0.6701,0.8436,15.1901,10,1,13,54,12,0.8392,0.2499,93.6,77,69,13,23,6.78,11,13,2,0,0,0,0,0,2,9,0,5,0,0,0,0,0,0.2857142857142857
0,24,2926,14,14,0.7185,0.6594,0.8363,13.628,11,0,9,59,19,0.8159,0.2493,91.4,91,70,14,18,6.89,9,9,0,0,0,0,0,0,2,7,0,3,0,0,0,0,0,0.26666666666666666
0,25,2828,15,15,0.7111,0.6574,0.8372,13.5119,11,0,11,70,17,0.7995,0.2693,87.5,104,71,15,15,7.27,9,9,0,0,0,0,0,0,3,6,0,2,0,0,0,0,0,0.25
0,26,2754,16,16,0.7368,0.6669,0.836,12.4305,14,0,11,78,23,0.8078,0.2673,82.6,120,72,16,13,7.85,12,14,3,0,0,0,0,0,3,8,1,4,1,0,0,1,0,0.3333333333333333
0,27,2849,15,15,0.851,0.6721,0.8373,12.4447,14,0,11,75,18,0.8223,0.2699,89.0,105,72,15,10,7.2,12,16,5,0,0,0,0,0,6,5,1,2,0,1,0,1,0,0.35294117647058826
0,28,2780,17,17,0.7214,0.6665,0.8362,13.1703,13,0,13,81,22,0.8285,0.2556,72.4,136,75,17,9,6.78,8,9,0,1,0,0,0,0,3,5,0,2,0,0,0,0,0,0.35294117647058826
0,29,2827,17,17,0.7709,0.6453,0.8341,12.1509,13,0,12,87,29,0.8008,0.263,72.8,136,75,17,7,6.86,12,16,5,2,0,1,0,0,3,5,0,1,0,0,0,0,0,0.3333333333333333
0,30,2814,18,18,0.7865,0.6549,0.8283,10.8327,15,0,10,93,36,0.7746,0.2833,65.8,153,76,18,6,7.33,14,17,3,1,1,0,0,0,3,9,0,2,0,0,0,0,0,0.3157894736842105
0,31,2804,19,19,0.8053,0.6516,0.8341,11.899,17,0,11,103,38,0.8143,0.2653,67.9,171,77,19,4,7.0,12,16,3,0,1,1,0,0,7,4,2,1,0,2,0,2,0,0.47058823529411764
0,32,2805,17,17,0.8441,0.678,0.8318,11.2549,16,0,8,95,28,0.8034,0.2789,82.9,136,77,17,5,4.6,14,14,0,0,1,0,0,0,4,9,1,1,0,1,0,1,0,0.5
0,33,2830,18,18,0.7929,0.6658,0.8437,12.8252,16,1,11,101,31,0.7911,0.2716,92.1,153,79,18,5,3.6,7,7,0,1,0,0,0,0,2,4,0,0,0,0,0,0,0,0.5
0,34,2881,18,18,0.8466,0.6729,0.8229,13.7407,16,0,14,109,29,0.8264,0.2313,98.2,153,79,18,5,4.6,12,14,2,0,0,1,0,0,8,3,0,0,0,0,0,0,0,0.5
0,35,2909,18,18,0.8861,0.667,0.8469,13.534,16,0,12,113,24,0.8323,0.231,89.5,152,79,18,5,5.6,13,14,0,0,1,0,1,0,5,7,0,0,0,0,0,0,0,0.47368421052631576
0,36,2758,19,19,0.8246,0.6622,0.8326,11.8418,17,0,11,116,25,0.7909,0.2726,89.1,171,80,19,5,6.6,17,17,0,1,0,0,0,0,4,12,2,1,1,1,0,2,0,0.5882352941176471
0,37,2772,17,17,0.8543,0.6776,0.841,12.0229,15,0,12,100,19,0.7538,0.3216,104.5,136,80,17,6,4.83,9,11,1,0,1,0,0,0,4,5,1,1,0,1,0,1,0,0.6875
0,38,2764,16,16,0.8274,0.6741,0.8316,10.1186,14,0,9,86,23,0.808,0.2836,100.3,120,80,16,6,4.17,11,13,0,2,1,0,0,0,2,8,0,0,0,0,0,0,0,0.6875
0,39,2723,16,16,0.8375,0.6607,0.8439,12.9605,15,0,11,88,22,0.7656,0.3069,109.7,120,80,16,6,5.17,11,12,1,0,0,1,0,0,9,1,0,0,0,0,0,0,0,0.6111111111111112
