seed,window,links,v_labels,alive_tracked,mean_social,mean_stability,mean_spread,mean_familiarity,count_social,count_isolated,count_deeply_connected,reciprocal_pairs,asymmetric_pairs,fam_symmetry_mean,fam_symmetry_std,att_overlap_mean,att_overlap_pairs,subject_count_total,subject_hosted,subject_ghost,ghost_duration_mean,n_cids_with_tags,n_tags_total,tag_gain_social,tag_loss_social,tag_gain_stability,tag_loss_stability,tag_gain_spread,tag_loss_spread,tag_gain_familiarity,tag_loss_familiarity,ghost_births,ghost_reaped,pickup_uncontested,pickup_contested,pickup_no_eligible,pickup_total_success,death_pool_size,mean_ttl_bonus
8,20,2886,23,23,0.2812,0.6684,0.8457,30.3208,5,10,14,29,34,0.8037,0.3239,14.0,180,88,23,38,4.18,0,0,0,0,0,0,0,0,0,0,5,3,1,4,0,5,0,0.2777777777777778
8,21,2825,18,18,0.3833,0.6685,0.8106,18.5702,6,7,14,38,39,0.844,0.2359,25.9,149,88,18,40,4.22,14,18,3,0,0,1,0,1,5,8,4,1,1,2,1,3,1,0.5
8,22,2831,14,14,0.4898,0.6656,0.8004,12.7997,7,2,5,39,25,0.8142,0.2523,35.4,87,88,14,43,4.7,12,16,1,0,0,1,0,2,0,12,0,3,0,0,1,0,1,0.4666666666666667
8,23,2905,15,15,0.5091,0.6587,0.8121,9.7213,7,2,4,43,30,0.781,0.2942,37.5,97,89,15,40,5.3,12,14,0,0,0,2,2,0,1,9,1,3,0,1,1,1,1,0.4666666666666667
8,24,2863,15,15,0.5576,0.6603,0.8202,10.0101,8,2,7,43,21,0.8397,0.2422,38.6,102,90,15,38,5.79,10,13,1,0,1,1,1,0,5,4,1,2,0,1,1,1,0,0.5714285714285714
8,25,2764,14,14,0.5497,0.6492,0.7987,5.8954,7,1,2,38,17,0.754,0.3055,38.2,87,90,14,37,6.41,10,11,1,0,0,0,0,0,1,9,2,3,2,0,0,2,0,0.75
8,26,2723,12,12,0.5797,0.6767,0.8291,6.5269,7,1,2,31,13,0.8381,0.2605,45.1,64,90,12,36,6.75,5,5,0,0,0,0,1,0,3,1,1,2,0,1,0,1,0,0.9090909090909091
8,27,2753,11,11,0.6768,0.6719,0.7966,4.5855,7,0,0,25,14,0.8681,0.2651,42.7,54,90,11,35,7.37,11,19,7,1,1,1,0,1,2,6,0,6,0,0,0,0,0,0.7692307692307693
8,28,2778,13,13,0.5769,0.6544,0.8359,8.0163,8,1,4,31,22,0.8696,0.2207,40.0,73,92,13,29,7.83,10,15,1,3,0,1,1,0,8,1,2,7,1,0,1,1,1,0.5833333333333334
8,29,2733,12,12,0.6863,0.6902,0.8304,13.2742,8,0,8,39,16,0.8347,0.2417,52.0,66,93,12,24,7.54,9,15,6,1,1,0,0,0,4,3,0,8,0,0,1,0,1,0.4666666666666667
8,30,2721,15,15,0.6037,0.6652,0.837,10.6585,8,1,8,51,18,0.8327,0.2323,47.8,105,96,15,16,7.31,8,9,1,1,0,0,0,0,2,5,1,5,0,1,1,1,1,0.5333333333333333
8,31,2712,15,15,0.6467,0.6699,0.8349,10.5343,11,0,7,69,15,0.8073,0.2748,63.1,105,97,15,12,6.58,9,13,3,1,0,0,0,0,4,5,1,3,0,1,1,1,0,0.5625
8,32,2760,16,16,0.6726,0.6701,0.8307,12.3063,13,0,8,78,19,0.8111,0.2647,70.4,120,99,16,10,5.9,10,11,2,0,0,0,0,0,6,3,2,1,2,0,0,2,0,0.625
8,33,2741,16,16,0.7281,0.6623,0.842,11.2792,13,0,8,77,20,0.7822,0.3013,75.2,120,101,16,11,5.36,12,14,5,0,0,1,0,0,1,7,2,0,1,1,0,2,0,0.6
8,34,2780,15,15,0.7719,0.6642,0.837,9.5108,13,1,6,63,18,0.759,0.2913,63.9,105,102,15,13,5.54,10,11,3,0,0,0,0,0,2,6,2,2,0,1,1,1,1,0.6923076923076923
8,35,2759,13,13,0.8138,0.6677,0.8401,10.9085,12,0,6,53,14,0.8298,0.2408,87.3,78,102,13,13,4.92,6,6,0,0,0,0,0,0,4,2,1,1,1,0,1,1,1,0.8333333333333334
8,36,2745,12,12,0.8684,0.6595,0.8448,10.8585,12,0,6,53,7,0.8282,0.2431,98.3,66,102,12,13,5.15,4,4,0,0,0,0,0,0,2,2,0,2,0,0,1,0,1,0.6666666666666666
8,37,2728,15,15,0.7079,0.6765,0.8364,10.5352,12,1,8,63,13,0.8389,0.2167,69.6,105,105,15,11,5.18,7,7,0,1,0,0,0,0,3,3,0,0,0,0,1,0,0,0.6666666666666666
8,38,2747,15,15,0.7397,0.6623,0.8338,11.3448,12,0,11,75,11,0.8271,0.2351,75.3,105,105,15,11,6.18,7,8,2,0,0,1,0,0,3,2,2,0,0,2,0,2,0,0.8571428571428571
8,39,2577,14,14,0.8036,0.6479,0.8389,11.0158,13,0,9,67,9,0.8569,0.2143,73.2,91,106,14,13,6.23,10,10,0,0,0,0,0,0,3,7,0,1,0,0,0,0,0,0.8571428571428571
