seed,window,links,v_labels,alive_tracked,mean_social,mean_stability,mean_spread,mean_familiarity,count_social,count_isolated,count_deeply_connected,reciprocal_pairs,asymmetric_pairs,fam_symmetry_mean,fam_symmetry_std,att_overlap_mean,att_overlap_pairs,subject_count_total,subject_hosted,subject_ghost,ghost_duration_mean,n_cids_with_tags,n_tags_total,tag_gain_social,tag_loss_social,tag_gain_stability,tag_loss_stability,tag_gain_spread,tag_loss_spread,tag_gain_familiarity,tag_loss_familiarity,ghost_births,ghost_reaped,pickup_uncontested,pickup_contested,pickup_no_eligible,pickup_total_success,death_pool_size,mean_ttl_bonus
11,20,2856,17,17,0.402,0.6687,0.8549,20.4438,6,5,10,25,29,0.9276,0.1476,26.1,125,86,17,39,5.95,0,0,0,0,0,0,0,0,0,0,3,9,0,2,1,2,1,0.13333333333333333
11,21,2991,15,15,0.4208,0.6651,0.8213,24.8765,6,5,10,26,28,0.8683,0.2145,39.9,103,87,15,33,5.3,11,13,2,0,0,0,0,0,5,6,3,4,2,0,2,2,2,0.3333333333333333
11,22,2962,12,12,0.5677,0.6593,0.8161,8.9692,6,2,6,30,14,0.8124,0.258,49.3,65,87,12,32,5.22,9,11,2,0,0,0,0,0,2,7,2,0,1,1,2,2,2,0.5
11,23,2845,12,12,0.5877,0.6466,0.8429,12.7583,7,1,9,37,16,0.8273,0.2426,71.4,65,89,12,34,5.91,5,6,1,0,0,0,0,0,3,2,1,3,0,0,3,0,2,0.5
11,24,2898,12,12,0.6292,0.6666,0.8434,11.0457,7,0,8,46,10,0.8027,0.2697,102.6,66,90,12,32,6.34,6,7,1,0,0,0,0,0,2,4,0,3,0,0,2,0,1,0.46153846153846156
11,25,2854,13,13,0.7166,0.6528,0.8433,12.9797,8,0,9,57,11,0.8063,0.2503,95.1,78,91,13,29,6.97,8,13,6,0,0,0,0,0,5,2,0,4,0,0,1,0,1,0.42857142857142855
11,26,2876,14,14,0.7286,0.657,0.844,12.8651,12,0,8,70,10,0.7985,0.2855,93.3,91,92,14,25,7.48,6,7,2,0,0,0,0,0,1,4,0,5,0,0,1,0,0,0.42857142857142855
11,27,2838,14,14,0.7669,0.6654,0.8391,15.7701,14,0,10,73,9,0.7792,0.3072,102.8,91,92,14,20,7.85,10,11,1,0,0,0,0,0,7,3,1,8,1,0,0,1,0,0.5
11,28,2835,14,14,0.7619,0.6628,0.8352,14.1577,13,0,10,63,15,0.7694,0.2895,91.4,91,93,14,13,6.92,7,7,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0.4666666666666667
11,29,2849,15,15,0.7765,0.6477,0.8318,12.4365,13,0,8,64,24,0.8208,0.2271,81.3,104,94,15,13,7.92,11,15,6,0,0,1,0,0,2,6,1,3,0,1,0,1,0,0.4666666666666667
11,30,2817,15,15,0.8078,0.6787,0.8486,14.0532,14,0,10,73,18,0.8389,0.2356,79.0,105,95,15,11,7.64,9,11,2,0,1,0,0,0,5,3,0,3,0,0,0,0,0,0.4666666666666667
11,31,2858,15,15,0.8549,0.6653,0.8328,13.1195,14,0,9,77,20,0.8062,0.2737,86.2,105,95,15,8,7.75,7,12,4,0,0,1,0,1,2,4,0,3,0,0,0,0,0,0.4375
11,32,2809,16,16,0.8529,0.6623,0.8464,14.6207,15,0,11,87,17,0.7596,0.3066,84.3,120,96,16,5,7.4,7,9,2,0,0,0,0,0,4,3,1,2,0,0,1,0,1,0.3888888888888889
11,33,2740,18,18,0.8392,0.6651,0.8416,16.7532,17,0,14,106,23,0.8001,0.2628,84.4,153,99,18,4,5.25,12,14,2,0,0,1,0,0,8,3,2,1,2,0,1,2,1,0.4444444444444444
11,34,2766,18,18,0.8131,0.6623,0.8482,16.5742,17,0,15,119,17,0.7673,0.2818,97.0,153,101,18,5,3.2,14,18,3,3,0,1,0,0,4,7,1,0,1,0,1,1,1,0.47058823529411764
11,35,2760,17,17,0.8655,0.6593,0.8467,15.648,17,0,13,116,13,0.7672,0.2939,113.0,136,101,17,6,3.67,10,11,2,0,0,0,0,0,3,6,0,0,0,0,1,0,1,0.47058823529411764
11,36,2788,17,17,0.9235,0.6889,0.8389,15.1305,17,0,13,116,15,0.8057,0.2654,102.1,136,101,17,6,4.67,13,14,1,0,1,0,0,0,4,8,0,0,0,0,1,0,0,0.42105263157894735
11,37,2715,19,19,0.8325,0.6565,0.8422,15.952,17,0,15,125,21,0.8114,0.2626,89.3,171,103,19,6,5.67,11,13,0,1,0,1,0,0,7,4,2,1,1,1,0,2,0,0.5882352941176471
11,38,2864,17,17,0.8663,0.6575,0.8439,14.8943,17,0,14,109,14,0.8117,0.2661,103.7,136,103,17,7,4.43,9,9,1,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0.5555555555555556
11,39,2714,18,18,0.8188,0.6548,0.8361,12.893,17,0,11,117,17,0.8267,0.2577,94.2,153,104,18,7,5.43,10,10,0,1,0,0,0,0,2,7,0,0,0,0,0,0,0,0.5555555555555556
