seed,win,tri,ent,gk,div,nC,A_drift_bnd,A_drift_deep,A_erosion_d,A_core_pres,A_bnd_k,B_drift_bnd,B_drift_deep,B_erosion_d,B_core_pres,B_bnd_k,C_drift_bnd,C_drift_deep,C_erosion_d,C_core_pres,C_bnd_k
20,1,1,1.5847,0,0,2663,1.549152,1.80366,3,0.0,2.04,1.632169,1.379934,3,0.0,2.04,1.624331,1.463544,4,0.0,2.01
20,2,0,1.5756,1,1,690,1.505582,1.434685,4,0.0,1.9,1.520744,1.37978,4,0.0,1.89,1.574153,1.699844,3,0.0,1.92
20,3,0,1.573,4,0,186,1.545608,1.762043,4,0.0,2.0,1.5546,1.535394,3,0.0,1.89,1.557882,2.053021,4,0.0,1.92
20,4,0,1.5837,3,1,67,1.584683,0.707841,3,0.0,1.85,1.580072,1.880996,4,0.0,1.85,1.57525,2.102934,3,0.0,1.9
20,5,0,1.5395,3,1,54,1.662992,2.820837,3,0.0,1.85,1.586865,2.647129,4,0.0,1.91,1.546798,0,2,1.0,1.82
20,6,0,1.5774,3,1,42,1.527826,1.36828,3,0.0,1.86,1.56445,1.156984,4,0.0,1.89,1.55771,0.27108,3,0.0,1.84
20,7,0,1.5566,4,0,31,1.591098,0,2,1.0,1.89,1.569012,2.408973,3,0.0,1.89,1.557043,1.428358,3,0.0,1.83
20,8,0,1.4605,4,0,26,1.569751,0.835413,3,0.0,1.91,1.57489,1.023469,3,0.0,1.85,1.548922,2.006823,3,0.0,1.88
20,9,0,1.5727,3,1,58,1.635864,2.189024,3,0.0,1.81,1.4954,1.571619,4,0.0,1.83,1.619697,1.535964,3,0.0,1.92
20,10,0,1.543,4,0,49,1.535634,1.915983,4,0.0,1.92,1.585992,1.133798,3,0.0,1.89,1.561853,1.430095,3,0.0,1.9
20,11,0,1.5682,4,0,34,1.585297,1.459727,3,0.0,1.86,1.559609,0,2,1.0,1.85,1.596056,1.727852,3,0.0,1.87
20,12,0,1.4386,4,0,29,1.574303,1.248927,3,0.0,1.91,1.61239,0.999556,3,0.0,1.87,1.540694,1.398563,3,0.0,1.9
20,13,0,1.4819,4,0,33,1.566786,0.851532,3,0.0,1.84,1.477079,1.997532,4,0.0,1.89,1.560597,0.822706,4,0.0,1.85
20,14,0,1.5605,4,0,36,1.614563,1.14241,3,0.0,1.91,1.497006,1.993303,4,0.0,1.91,1.535175,1.972375,4,0.0,1.85
20,15,0,1.5682,4,0,34,1.554563,2.145624,3,0.0,1.88,1.581267,0.93408,3,0.0,1.91,1.56451,1.964262,3,0.0,1.88
20,16,0,1.4114,4,0,33,1.598368,1.135296,3,0.0,1.9,1.568402,1.619749,3,0.0,1.87,1.518582,1.270417,3,0.0,1.86
20,17,0,1.4807,4,0,18,1.548121,0.515007,3,0.0,1.88,1.568125,0,2,1.0,1.87,1.589938,0.224831,3,0.0,1.88
20,18,0,1.5538,4,0,21,1.574914,2.784023,3,0.0,1.87,1.554347,1.057357,4,0.0,1.88,1.517911,2.096411,3,0.0,1.84
20,19,0,1.5285,4,0,22,1.65557,1.606755,4,0.0,1.85,1.612825,0,2,1.0,1.84,1.584133,1.693139,3,0.0,1.85
20,20,0,1.569,4,1,33,1.594939,1.139883,5,0.0,1.88,1.559977,2.112438,4,0.0,1.88,1.560242,1.773512,3,0.0,1.91
20,21,0,1.5686,4,0,37,1.607041,1.723611,3,0.0,1.89,1.554007,2.144283,4,0.0,1.91,1.563165,1.745489,3,0.0,1.86
20,22,0,1.5801,4,0,30,1.587652,1.75709,3,0.0,1.88,1.576809,3.110426,3,0.0,1.88,1.576899,2.347005,3,0.0,1.86
20,23,0,1.5766,4,0,39,1.586605,2.242415,3,0.0,1.9,1.559696,1.992981,4,0.0,1.87,1.536166,1.564282,4,0.0,1.92
20,24,0,1.5343,4,0,24,1.570132,1.016952,4,0.0,1.83,1.55842,2.207015,4,0.0,1.93,1.609223,0.751524,3,0.0,1.85
20,25,0,1.5709,4,0,37,1.581231,1.403578,4,0.0,1.83,1.582139,1.364851,3,0.0,1.91,1.527533,1.788018,3,0.0,1.91
