seed,win,tri,ent,gk,div,nC,A_drift_bnd,A_drift_deep,A_erosion_d,A_core_pres,A_bnd_k,B_drift_bnd,B_drift_deep,B_erosion_d,B_core_pres,B_bnd_k,C_drift_bnd,C_drift_deep,C_erosion_d,C_core_pres,C_bnd_k
15,1,0,1.584,0,0,2675,1.635434,1.405067,3,0.0,2.01,1.53396,2.078031,3,0.0,1.93,1.625786,1.363967,3,0.0,1.98
15,2,0,1.5817,0,0,1134,1.60721,1.665972,3,0.0,1.94,1.646023,1.704144,3,0.0,1.89,1.555956,1.320728,3,0.0,1.91
15,3,0,1.5839,0,1,262,1.576747,1.651913,3,0.0,1.91,1.590625,0,2,1.0,1.85,1.574879,0.243777,3,0.0,1.89
15,4,1,1.547,1,1,96,1.547381,0.898996,4,0.0,1.85,1.546189,1.89459,3,0.0,1.92,1.564992,1.418189,3,0.0,1.86
15,5,0,1.5759,3,1,46,1.617667,0,2,1.0,1.87,1.593942,1.448228,4,0.0,1.84,1.553802,2.476335,3,0.0,1.88
15,6,0,1.5794,3,1,32,1.524296,1.203964,5,0.0909,1.93,1.597895,0,2,1.0,1.9,1.566192,2.053621,3,0.0,1.89
15,7,0,1.5505,1,1,23,1.607511,1.625493,4,0.0,1.84,1.590422,1.243705,4,0.0,1.85,1.547545,1.107277,4,0.0,1.89
15,8,0,1.5567,1,1,7,1.585367,1.955843,3,0.0,1.94,1.506331,0,2,1.0,1.9,1.55797,0,2,1.0,1.83
15,9,0,1.4855,0,1,20,1.574936,1.599602,3,0.0,1.88,1.541906,1.451113,4,0.0,1.85,1.578246,1.396759,4,0.0,1.92
15,10,0,1.5029,1,1,33,1.540663,1.327285,4,0.0,1.9,1.570781,1.932466,3,0.0,1.88,1.608737,1.539927,3,0.0,1.88
15,11,0,1.544,1,1,22,1.522617,1.428576,3,0.0,1.93,1.560188,1.994384,3,0.0,1.83,1.592412,0.833359,3,0.0,1.88
15,12,0,1.5546,4,1,12,1.643609,1.365554,4,0.0,1.91,1.520618,1.456212,3,0.0,1.84,1.58355,0.635639,3,0.0,1.88
15,13,0,1.4855,4,1,20,1.632253,2.209724,3,0.0,1.87,1.506415,1.608783,3,0.0,1.81,1.605522,1.575484,4,0.0,1.95
15,14,0,1.5365,4,1,35,1.53945,1.91551,3,0.0,1.89,1.600054,1.839858,3,0.0,1.87,1.582059,1.173232,3,0.0,1.9
15,15,0,1.5656,3,1,38,1.610267,1.588107,4,0.0,1.81,1.593518,2.247172,3,0.0,1.88,1.543522,1.32223,3,0.0,1.85
15,16,0,1.5841,4,0,41,1.556392,1.504991,3,0.0,1.88,1.57005,1.542858,3,0.3333,1.87,1.611879,1.352316,3,0.0,1.86
15,17,0,1.5309,4,0,37,1.602705,1.59563,4,0.0,1.86,1.539312,1.0621,4,0.0,1.91,1.526253,1.540411,3,0.0,1.91
15,18,0,1.5305,4,0,36,1.554966,1.592787,3,0.0,1.9,1.605579,1.595168,4,0.0,1.85,1.601421,1.308636,4,0.0,1.84
15,19,0,1.5735,3,1,39,1.636587,2.037497,3,0.0,1.89,1.686601,1.406186,3,0.0,1.87,1.575861,1.682068,3,0.0,1.87
15,20,0,1.557,4,0,41,1.516719,1.197002,3,0.0,1.92,1.602693,1.913927,4,0.0,1.9,1.565149,1.900972,3,0.0,1.86
15,21,0,1.557,4,0,50,1.585723,1.480192,3,0.0,1.86,1.57809,1.932311,3,0.0,1.87,1.579759,1.907636,3,0.0,1.86
15,22,1,1.5453,4,0,43,1.552142,0.430714,3,0.0,1.9,1.577425,0,2,1.0,1.83,1.549911,2.121489,3,0.0,1.85
15,23,0,1.5494,4,1,30,1.609345,1.590867,3,0.0,1.88,1.562855,1.862202,3,0.0,1.9,1.544829,0.484499,3,0.0,1.84
15,24,0,1.4926,3,1,28,1.584408,1.499979,3,0.0,1.89,1.53785,0,2,1.0,1.86,1.595632,2.079487,4,0.0,1.87
15,25,0,1.5546,3,1,24,1.523316,0,2,1.0,1.9,1.570639,3.050127,3,0.0,1.87,1.544311,2.766187,3,0.0,1.87
