window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral,lw_edge_oo,lw_edge_op,lw_edge_pp,thaw_mean_jaccard,thaw_mean_pressure,thaw_mean_add,thaw_mean_drop,thaw_mean_range,fb_died_share,fb_ema,fb_ratio,fb_multiplier,fb_warmup
86,4870,3114,2,4,3,1.8836,2,14.4,3101,0,4.6,1.0026,3109.1,16,1.0,65,5,6,1192,0.001178,0.0292,39.1061,85,41.6,0.0161,0.0067,0,0,0,0,0.079576,0.015625,42,0.8036,3.9083,0.4132,22,2,41,845,1180,526,0.0007,0.9993,621.3,3.8,0.0519,0.026525,0.007406,3.5818,1.2,0
87,4869,3122,1,5,1,1.8854,2,14.5,3107,0,4.62,1.0033,3113.8,17,1.0,64,4,5,1191,0.001434,0.0334,42.8954,86,41.8,0.0164,0.0065,1,1,0,0,0.066838,0.015625,40,0.7662,3.9726,0.4131,22,3,39,788,1261,505,0.0011,0.9989,603.5,3.7,0.0531,0.017995,0.008414,2.1387,1.1139,0
88,4865,3074,3,5,3,1.8141,2,14.4,14,3050,4.6,0.9896,3106.3,24,1.0,68,5,1,1208,0.001566,0.0331,58.8235,87,40.3,0.0168,0.006,1,0,0,0,0.07565,0.015625,42,0.7935,4.0483,0.4122,22,3,43,760,1269,470,0.001,0.999,583.7,3.8,0.0529,0.0,0.007613,0.0,0.9,0
89,4864,3115,0,0,0,1.9385,2,14.5,3103,0,4.63,1.0017,3110.7,13,1.0,66,0,2,1197,0.001179,0.0331,37.2493,88,42.1,0.016,0.0076,0,0,0,0,0.066298,0.015625,42,0.7643,4.1146,0.4123,22,2,42,804,1224,485,0.0008,0.9992,602.9,3.8,0.0528,0.002762,0.007151,0.3863,0.9386,0
90,4864,3157,2,5,3,1.9463,1,14.4,3159,0,4.65,1.0191,3120.4,21,1.0,66,2,2,1220,0.001271,0.0319,53.8462,89,43.0,0.0168,0.0069,1,0,0,0,0.066176,0.015625,42,0.7639,4.1807,0.4114,22,2,42,789,1302,533,0.0015,0.9985,632.8,3.7,0.0532,0.004902,0.006937,0.7067,0.9707,0
91,4864,3073,3,5,3,1.9464,1,14.4,7,3056,4.59,0.992,3097.9,17,1.0,68,4,2,1242,0.001199,0.0391,40.7125,90,42.6,0.0165,0.0078,2,0,0,0,0.06357,0.015625,43,0.7542,4.2394,0.411,24,2,42,785,1220,491,0.0013,0.9987,654.4,3.8,0.0527,0.00978,0.007207,1.3569,1.0357,0
92,4864,3053,0,0,3,1.8497,2,14.4,0,3048,4.53,0.9915,3079.2,5,1.0,66,0,2,1226,0.0013,0.0312,13.6612,91,43.5,0.0176,0.0069,0,0,0,0,0.072727,0.015625,42,0.7852,4.3121,0.4108,23,2,41,800,1193,491,0.0017,0.9983,704.2,3.7,0.0527,0.005195,0.007016,0.7405,0.974,0
93,4864,3055,0,0,3,1.8674,1,14.4,0,3050,4.6,0.9932,3075.9,5,1.0,64,0,2,1204,0.00117,0.0293,12.5945,92,45.7,0.0168,0.0061,0,0,0,0,0.078049,0.015625,41,0.7998,4.3902,0.4109,23,2,39,771,1156,513,0.0009,0.9991,635.8,3.9,0.0525,0.004878,0.006812,0.7161,0.9716,0
94,4862,3092,1,5,3,1.9281,1,14.4,3092,0,4.6,1.005,3081.7,5,1.0,64,1,1,1207,0.001152,0.0391,13.3333,93,46.6,0.0175,0.0061,1,0,0,0,0.057292,0.015625,41,0.7273,4.4475,0.4106,24,2,38,804,1165,515,0.0009,0.9991,630.4,4.0,0.0525,0.0,0.006163,0.0,0.9,0
95,4861,3105,0,0,3,1.9127,1,14.4,3113,0,4.64,1.0077,3089.2,0,1.0,63,0,1,1191,0.000969,0.031,0.0,94,47.6,0.0174,0.0061,0,0,0,0,0.080103,0.015625,41,0.8049,4.5043,0.4104,24,2,37,797,1219,524,0.0009,0.9991,627.6,3.9,0.0525,0.0,0.005576,0.0,0.9,0
96,4859,3083,0,0,3,1.8041,1,14.4,0,3083,4.59,0.9981,3088.8,0,1.0,62,0,1,1191,0.001011,0.0362,0.0,95,49.2,0.0176,0.0071,0,0,0,0,0.077994,0.015625,41,0.7997,4.5712,0.4105,24,2,36,784,1245,468,0.0008,0.9992,658.1,3.9,0.0522,0.002786,0.005311,0.5245,0.9525,0
97,4857,3090,1,5,3,1.8144,1,14.4,0,3085,4.51,0.9996,3091.2,5,1.0,61,1,2,1173,0.000991,0.0391,14.3266,96,50.4,0.0171,0.0063,1,1,0,0,0.053073,0.015625,39,0.7056,4.6215,0.4109,23,2,36,733,1287,495,0.001,0.999,595.2,4.0,0.0528,0.0,0.004805,0.0,0.9,0
