seed,win,tri,ent,gk,div,nC,A_erosion_d,A_core_pres,A_core_k_var,A_sub_clust,A_core_size,A_core_mk,B_erosion_d,B_core_pres,B_core_k_var,B_sub_clust,B_core_size,B_core_mk,C_erosion_d,C_core_pres,C_core_k_var,C_sub_clust,C_core_size,C_core_mk
6,1,0,1.5848,0,0,2651,4,0.0,0.0,4,4,0.0,3,0.0,0,0,2,0,4,0.0,0.0,13,13,0.0
6,2,0,1.5831,1,1,996,4,0.0,0.0,4,4,0.0,3,0.0,0,0,2,0,4,0.0,0.0,13,13,0.0
6,3,0,1.547,3,1,187,4,0.0,0.0,4,4,0.0,3,0.0,0,0,2,0,4,0.0,0.0,13,13,0.0
6,4,0,1.471,4,0,42,4,0.0,0.0,4,4,0.0,3,0.0,0,0,2,0,4,0.0,0.0,13,13,0.0
6,5,0,1.4958,4,0,34,3,0.0,0,0,2,0,4,0.0,0.0,5,5,0.0,3,0.0,0,0,1,0
6,6,0,1.5749,4,0,32,3,0.0,0,0,2,0,4,0.0,0.0,5,5,0.0,3,0.0,0,0,1,0
6,7,0,1.531,4,0,32,3,0.0,0,0,2,0,4,0.0,0.0,5,5,0.0,3,0.0,0,0,1,0
6,8,0,1.5816,4,0,36,3,0.0,0,0,2,0,4,0.0,0.0,5,5,0.0,3,0.0,0,0,1,0
6,9,0,1.5487,4,0,33,3,0.0,0,0,2,0,4,0.0,0.0,5,5,0.0,3,0.0,0,0,1,0
6,10,0,1.5645,4,0,43,3,0.0,0.0,3,3,0.0,4,0.1429,0.0,7,7,0.0,3,0.0,0.0,6,6,0.0
6,11,0,1.4866,4,0,29,3,0.0,0.0,3,3,0.0,4,0.0,0.0,7,7,0.0,3,0.0,0.0,6,6,0.0
6,12,0,1.5644,1,1,22,3,0.0,0.0,3,3,0.0,4,0.0,0.0,7,7,0.0,3,0.0,0.0,6,6,0.0
6,13,0,1.4034,1,1,26,3,0.0,0.0,3,3,0.0,4,0.0,0.0,7,7,0.0,3,0.0,0.0,6,6,0.0
6,14,1,1.5746,4,0,31,3,0.0,0.0,3,3,0.0,4,0.0,0.0,7,7,0.0,3,0.0,0.0,6,6,0.0
6,15,0,1.5839,4,0,37,4,0.0,0,0,2,0,2,1.0,0,0,0,0,3,0.0,0,0,1,0
6,16,0,1.53,4,0,33,4,0.0,0,0,2,0,2,1.0,0,0,0,0,3,0.0,0,0,1,0
6,17,0,1.4928,4,0,34,4,0.0,0,0,2,0,2,1.0,0,0,0,0,3,0.0,0,0,1,0
6,18,0,1.5722,4,0,38,4,0.0,0,0,2,0,2,1.0,0,0,0,0,3,0.0,0,0,1,0
6,19,0,1.5735,4,0,39,4,0.5,0,0,2,0,2,1.0,0,0,0,0,3,0.0,0,0,1,0
6,20,0,1.561,4,0,27,3,0.0,0.0,3,3,0.0,3,0.0,0,0,1,0,3,0.0,0.0,4,4,0.0
6,21,1,1.5779,4,0,38,3,0.0,0.0,4,4,0.0,4,0.0,0.0,6,6,0.0,4,0.0,0.0,10,10,0.0
6,22,0,1.5546,4,0,49,3,0.0,0,0,2,0,3,0.0,0,0,1,0,3,0.0,0.0,5,5,0.0
6,23,0,1.5147,4,0,29,3,0.0,0,0,1,0,4,0.0,0,0,2,0,3,0.0,0,0,1,0
6,24,0,1.5831,4,0,28,6,0.0,0.0,7,7,0.0,3,0.0,0,0,1,0,4,0.0,0.0,5,5,0.0
6,25,0,1.5589,4,0,20,3,0.0,0.0,6,6,0.0,4,0.0,0.0,4,4,0.0,4,0.0,0.0,5,5,0.0
