seed,win,tri,ent,gk,div,nC,A_erosion_d,A_core_pres,A_core_k_var,A_sub_clust,A_core_size,A_core_mk,B_erosion_d,B_core_pres,B_core_k_var,B_sub_clust,B_core_size,B_core_mk,C_erosion_d,C_core_pres,C_core_k_var,C_sub_clust,C_core_size,C_core_mk
8,1,0,1.5827,0,0,2633,3,0.0,0.0,5,5,0.0,4,0.0,0.0,6,6,0.0,4,0.0,0.0,8,8,0.0
8,2,0,1.5801,0,1,1178,3,0.0,0.0,5,5,0.0,4,0.0,0.0,6,6,0.0,4,0.0,0.0,8,8,0.0
8,3,0,1.5735,4,0,226,3,0.0,0.0,5,5,0.0,4,0.0,0.0,6,6,0.0,4,0.0,0.0,8,8,0.0
8,4,0,1.567,4,0,86,3,0.0,0.0,5,5,0.0,4,0.0,0.0,6,6,0.0,4,0.0,0.0,8,8,0.0
8,5,0,1.5568,4,1,77,3,0.0,0.0,3,3,0.0,3,0.0,0,0,2,0,3,0.0,0,0,1,0
8,6,0,1.5759,3,1,46,3,0.0,0.0,3,3,0.0,3,0.0,0,0,2,0,3,0.0,0,0,1,0
8,7,1,1.5843,1,1,47,3,0.0,0.0,3,3,0.0,3,0.0,0,0,2,0,3,0.0,0,0,1,0
8,8,0,1.5732,1,1,61,3,0.0,0.0,3,3,0.0,3,0.0,0,0,2,0,3,0.0,0,0,1,0
8,9,0,1.5401,1,1,35,3,0.0,0.0,3,3,0.0,3,0.0,0,0,2,0,3,0.0,0,0,1,0
8,10,0,1.574,1,1,41,3,0.0,0.0,3,3,0.0,2,1.0,0,0,0,0,4,0.0,0,0,2,0
8,11,0,1.5623,4,0,67,3,0.0,0.0,3,3,0.0,2,1.0,0,0,0,0,4,0.0,0,0,2,0
8,12,0,1.5448,3,1,54,3,0.0,0.0,3,3,0.0,2,1.0,0,0,0,0,4,0.0,0,0,2,0
8,13,0,1.5766,1,1,39,3,0.0,0.0,3,3,0.0,2,1.0,0,0,0,0,4,0.0,0,0,2,0
8,14,0,1.5656,1,1,39,3,0.0,0.0,3,3,0.0,2,1.0,0,0,0,0,4,0.0,0,0,2,0
8,15,0,1.5835,3,1,31,4,0.0,0.0,4,4,0.0,5,0.0,0.0,8,8,0.0,4,0.0,0.0,7,7,0.0
8,16,2,1.5816,4,0,41,4,0.0,0.0,4,4,0.0,5,0.0,0.0,8,8,0.0,4,0.0,0.0,7,7,0.0
8,17,0,1.5525,3,1,41,4,0.0,0.0,4,4,0.0,5,0.0,0.0,8,8,0.0,4,0.0,0.0,7,7,0.0
8,18,0,1.5618,1,1,31,4,0.0,0.0,4,4,0.0,5,0.0,0.0,8,8,0.0,4,0.1429,0.0,7,7,0.0
8,19,0,1.5353,3,1,28,4,0.0,0.0,4,4,0.0,5,0.0,0.0,8,8,0.0,4,0.0,0.0,7,7,0.0
8,20,0,1.5763,3,1,34,3,0.0,0.0,6,6,0.0,3,0.0,0.0,4,4,0.0,4,0.0,0.0,5,5,0.0
8,21,1,1.553,4,0,53,4,0.0,0.0,3,3,0.0,3,0.0,0,0,2,0,2,1.0,0,0,0,0
8,22,0,1.4335,4,0,47,4,0.0,0.0,7,7,0.0,2,1.0,0,0,0,0,3,0.0,0,0,2,0
8,23,0,1.5715,4,0,36,3,0.0,0.0,4,4,0.0,3,0.0,0,0,2,0,4,0.0,0.0,4,4,0.0
8,24,0,1.5294,4,0,19,3,0.0,0.0,4,4,0.0,3,0.0,0.0,5,5,0.0,4,0.0,0.0,5,5,0.0
8,25,0,1.5452,4,0,21,4,0.25,0.0,4,4,0.0,3,0.0,0.0,3,3,0.0,4,0.0,0.0,6,6,0.0
