seed,cid,t,window,pulse_n,trigger,tags,d_social,delta_social,theta_social,R_social,d_stability,delta_stability,theta_stability,R_stability,d_spread,delta_spread,theta_spread,R_spread,d_familiarity,delta_familiarity,theta_familiarity,R_familiarity,v11_b_gen,v11_delta,v11_d_n,v11_d_s,v11_d_r,v11_d_phase,v11_p_capture,v11_captured,v11_n_local,v11_s_avg_local,v11_r_local,v11_theta_avg_local
21,49,49,20,1,unformed,,0.0,0.0,0.0,0.0,0.715249,0.0,0.0,0.0,0.904262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.728084,0.357247,0.011628,0.082418,0.51266,0.822283,0.340105,cold_start,3,0.017524,0.48458,-1.87476
21,0,50,20,2,unformed,,0.111111,0.111111,0.0,0.0,0.73989,-0.26011,0.0,0.0,0.940798,-0.059202,0.0,0.0,8.928335,8.928335,0.0,0.0,18.676,0.529544,0.302326,0.246202,0.723995,0.845653,0.212707,cold_start,29,0.024539,0.262324,-1.764519
21,55,55,20,2,unformed,,0.777778,0.277778,0.0,0.0,0.772038,-0.042624,0.0,0.0,0.949612,-0.007233,0.0,0.0,13.50458,9.516564,0.0,0.0,34.581941,0.460895,1.093023,0.258647,0.350993,0.140917,0.256446,cold_start,99,0.02871,0.075339,-2.981712
21,57,57,20,2,unformed,,0.0,0.0,0.0,0.0,0.801846,-0.198154,0.0,0.0,0.922218,-0.077782,0.0,0.0,0.0,0.0,0.0,0.0,11.951868,0.374163,0.023256,0.02554,0.64273,0.805128,0.324788,cold_start,4,0.03403,0.357004,1.854356
21,9,59,20,2,unformed,,0.1,-0.4,0.0,0.0,0.655519,-0.242879,0.0,0.0,0.924802,-0.040971,0.0,0.0,8.966474,-0.944005,0.0,0.0,19.515039,0.207554,0.0,0.29227,0.030488,0.507459,0.511331,cold_start,3,0.0,0.377902,3.006474
21,71,71,20,2,unformed,,0.0,0.0,0.0,0.0,0.704191,-0.114435,0.0,0.0,0.926378,-0.029703,0.0,0.0,0.0,0.0,0.0,0.0,18.769951,0.373779,0.116279,0.243174,0.372913,0.76275,0.325129,cold_start,13,0.028687,0.566503,1.731068
21,72,72,20,2,unformed,,0.0,0.0,0.0,0.0,0.777471,-0.050035,0.0,0.0,0.941043,0.03576,0.0,0.0,0.0,0.0,0.0,0.0,18.411011,0.494272,0.209302,0.385924,0.553401,0.828462,0.234158,cold_start,21,0.026904,0.381799,1.336205
21,24,74,20,2,unformed,,0.4,-0.1,0.0,0.0,0.654571,-0.095078,0.0,0.0,0.9383,-0.000767,0.0,0.0,5.013437,2.574332,0.0,0.0,33.290005,0.584355,1.244186,0.294967,0.553617,0.244652,0.183206,cold_start,112,0.027084,0.191933,-2.40659
21,74,74,20,2,unformed,,0.0,0.0,0.0,0.0,0.71219,-0.034938,0.0,0.0,0.922259,-0.033907,0.0,0.0,0.0,0.0,0.0,0.0,18.846453,0.323994,0.046512,0.381042,0.407268,0.461154,0.372351,cold_start,7,0.014633,0.183769,1.728909
21,76,76,20,2,unformed,,0.0,0.0,0.0,0.0,0.799734,-0.068552,0.0,0.0,0.937821,0.021858,0.0,0.0,0.0,0.0,0.0,0.0,12.030516,0.364109,0.104651,0.028505,0.573704,0.749575,0.333807,cold_start,11,0.021531,0.426182,-2.270902
