window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_torque_contested,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral,lw_edge_oo,lw_edge_op,lw_edge_pp,thaw_mean_jaccard,thaw_mean_pressure,thaw_mean_add,thaw_mean_drop,thaw_mean_range,fb_died_share,fb_ema,fb_ratio,fb_multiplier,fb_warmup,dev_mean_score,dev_max_score,dev_n_responding,dev_mean_gf
1,5000,3118,0,0,3,1.9951,0,149.3,0,0,0.0,1.0,0.0,5,1.0,3,5,2,30,0,0.10723,0.4211,312.5,0,0.0,0.0,0.0895,0,0,0,0,0.421053,0.015625,3,0.9629,0.4211,0.9597,2,0,1,765,1239,515,1.0,0.0,0,0,0,0.0,0,0.0,1.0,1,0.0,0.0,0,1.0
2,5000,3157,0,0,3,1.8512,0,147.7,0,0,0.0,1.0,0.0,0,1.0,3,0,0,30,0,0.078443,0.4167,0.0,1,1.0,0.0,0.1179,0,0,0,0,0.416667,0.015625,3,0.9625,0.8377,0.9603,2,0,1,776,1247,528,1.0,0.0,0,0,0,0,0,0.0,1.0,1,0.5204,0.5862,3,0.4796
3,5000,3119,0,0,3,1.9752,0,148.1,0,0,0.0,1.0,0.0,5,1.0,4,5,4,59,0,0.046032,0.35,250.0,2,1.0,0.0,0.075,0,0,0,0,0.35,0.015625,6,0.9554,0.9877,0.9433,3,0,1,735,1235,540,1.0,0.0,0,0,0,0.1,0.05,2.0,1.0,1,0.2356,0.8429,3,0.7644
4,4996,3133,2,5,3,1.9742,1,148.1,0,0,0.0,1.0,0.0,14,1.0,9,7,2,124,0,0.03106,0.2,350.0,3,0.6,0.2,0.0528,1,0,0,0,0.2,0.015625,10,0.9219,1.0962,0.9078,4,0,5,785,1256,472,1.0,0.0,0,0,0,0.022222,0.038889,0.5714,1.0,1,0.219,0.7435,4,0.781
5,4888,3248,0,0,3,1.9281,1,146.3,0,0,0.0,1.0,0.0,3,1.0,10,3,2,132,0,0.02095,0.1795,83.3333,4,1.3,0.1282,0.0456,0,0,0,0,0.179487,0.015625,10,0.9129,1.1475,0.8833,3,0,7,797,1285,525,1.0,0.0,0,0,0,0.025641,0.034473,0.7438,1.0,1,0.4222,0.9018,9,0.5778
6,4661,3005,1,4,1,1.8449,1,133.8,0,0,0.0,1.0,0.0,5,1.0,8,2,4,124,0,0.025135,0.2581,172.4138,5,2.0,0.1935,0.0755,0,0,0,0,0.258065,0.015625,10,0.9395,1.1797,0.8659,4,0,4,793,1254,446,1.0,0.0,0,0,0,0.064516,0.043057,1.4984,1.0,1,0.5794,0.9965,10,0.4206
7,4646,3031,1,5,3,1.8375,1,129.4,0,0,0.0,1.0,0.0,21,1.0,19,17,6,221,0,0.0128,0.1111,235.9551,6,1.3,0.096,0.0242,1,0,0,0,0.181818,0.015625,15,0.9141,1.2201,0.8399,11,0,8,842,1164,487,1.0,0.0,0,0,0,0.0,0.032293,0.0,1.0,1,0.1452,0.7509,8,0.8548
8,4645,3079,1,3,0,1.9702,2,129.1,0,0,0.0,1.0,0.0,13,1.0,23,12,8,291,0,0.009627,0.0851,158.5366,7,1.6,0.0585,0.0187,0,0,0,0,0.12766,0.015625,20,0.8776,1.2627,0.806,10,3,10,797,1218,493,1.0,0.0,0,0,0,0.031915,0.032209,0.9909,1.0,1,0.3542,0.9045,19,0.6458
9,4638,3035,0,0,1,1.9628,2,129.2,0,0,0.0,1.0,0.0,8,1.0,23,8,8,302,0,0.008789,0.0824,101.2658,8,2.2,0.0412,0.0183,0,0,0,0,0.117647,0.015625,21,0.8672,1.298,0.783,9,3,11,842,1206,469,1.0,0.0,0,0,0,0.047059,0.035179,1.3377,1.0,1,0.3739,0.9415,23,0.6261
10,4454,2886,1,4,3,1.9774,1,126.5,0,0,0.0,1.0,0.0,14,1.0,31,12,4,355,0,0.006854,0.069,133.3333,9,2.3,0.0474,0.0125,0,0,0,0,0.103448,0.015625,27,0.849,1.3239,0.7546,12,5,14,763,1115,448,1.0,0.0,0,0,0,0.017241,0.031917,0.5402,1.0,1,0.3143,0.8483,23,0.6857
