window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_torque_contested,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral,lw_edge_oo,lw_edge_op,lw_edge_pp,thaw_mean_jaccard,thaw_mean_pressure,thaw_mean_add,thaw_mean_drop,thaw_mean_range,fb_died_share,fb_ema,fb_ratio,fb_multiplier,fb_warmup,dev_mean_score,dev_max_score,dev_n_responding,dev_mean_gf
1,5000,3193,0,0,3,1.9932,0,149.7,0,0,0.0,1.0,0.0,14,1.0,10,14,4,100,0,0.029739,0.1905,424.2424,0,0.0,0.0,0.0449,0,0,0,0,0.285714,0.015625,9,0.9453,0.2857,0.904,5,2,3,819,1264,495,1.0,0.0,0,0,0,0.0,0,0.0,1.0,1,0.0,0.0,0,1.0
2,5000,3230,1,5,1,1.9387,0,147.7,0,0,0.0,1.0,0.0,7,1.0,8,3,5,125,0,0.028798,0.2941,193.5484,1,0.8,0.2941,0.0712,1,0,0,0,0.411765,0.015625,8,0.9621,0.4832,0.9058,5,1,2,825,1239,541,1.0,0.0,0,0,0,0.088235,0.058824,1.5,1.0,1,0.4158,0.8205,10,0.5841
3,4999,3187,0,0,3,1.9794,0,148.3,0,0,0.0,1.0,0.0,0,1.0,6,0,2,85,0,0.034208,0.2727,0.0,2,1.7,0.2727,0.0731,0,0,0,0,0.454545,0.015625,5,0.9656,0.9377,0.919,4,1,1,783,1299,498,1.0,0.0,0,0,0,0.045455,0.052139,0.8718,1.0,1,0.4347,0.6826,8,0.5653
4,4998,3093,0,0,3,1.9431,1,148.4,0,0,0.0,1.0,0.0,0,1.0,6,0,0,74,0,0.030943,0.3077,0.0,3,2.7,0.2308,0.0821,0,0,0,0,0.307692,0.015625,5,0.9492,1.2454,0.9234,4,1,1,750,1218,501,1.0,0.0,0,0,0,0,0.031283,0.0,1.0,1,0.6462,0.8601,6,0.3538
5,4909,3201,2,5,1,1.8888,1,146.9,0,0,0.0,1.0,0.0,13,1.0,10,8,4,156,0,0.02277,0.2195,342.8571,4,1.5,0.1463,0.0493,1,0,0,0,0.219512,0.015625,9,0.9288,1.4162,0.8994,3,3,4,781,1262,538,1.0,0.0,0,0,0,0.04878,0.037116,1.3143,1.0,1,0.1988,0.7322,6,0.8012
6,4728,2927,1,5,3,1.8732,1,136.9,0,0,0.0,1.0,0.0,13,1.0,14,9,5,193,0,0.017578,0.1538,216.6667,5,1.6,0.1333,0.0376,1,0,0,0,0.215385,0.015625,12,0.9275,1.6315,0.8771,7,3,4,724,1182,479,1.0,0.0,0,0,0,0.015385,0.030907,0.4978,1.0,1,0.3033,0.9015,10,0.6967
7,4713,3038,1,5,3,1.9637,2,133.2,0,0,0.0,1.0,0.0,10,1.0,15,6,5,227,0,0.012675,0.127,172.4138,6,2.2,0.0913,0.0281,1,0,0,0,0.174603,0.015625,14,0.9105,1.8062,0.8616,5,2,8,825,1228,469,1.0,0.0,0,0,0,0.031746,0.031117,1.0202,1.0,1,0.412,0.9874,14,0.588
8,4709,2978,0,0,1,1.9819,2,132.7,0,0,0.0,1.0,0.0,4,1.0,17,4,2,233,0,0.012291,0.1899,54.0541,7,2.7,0.0886,0.0421,0,0,0,0,0.189873,0.015625,16,0.9177,1.8694,0.8431,8,2,7,813,1155,434,1.0,0.0,0,0,0,0.012658,0.027015,0.4686,1.0,1,0.4124,0.7928,15,0.5876
9,4704,3031,3,5,1,1.9337,1,132.8,0,0,0.0,1.0,0.0,20,1.0,21,10,6,330,0,0.009463,0.1193,182.6923,8,2.5,0.0826,0.0284,2,0,0,0,0.119266,0.015625,21,0.869,1.9428,0.8126,8,2,11,751,1251,448,1.0,0.0,0,0,0,0.027523,0.027116,1.015,1.0,1,0.34,0.8065,17,0.66
10,4552,2852,0,0,3,1.8631,1,130.8,0,0,0.0,1.0,0.0,8,1.0,20,8,9,295,0,0.009985,0.1277,94.1176,9,2.4,0.0766,0.0257,0,1,0,0,0.12766,0.015625,20,0.8776,1.9641,0.7858,9,2,9,779,1116,429,1.0,0.0,0,0,0,0.021277,0.026055,0.8166,1.0,1,0.3789,0.7884,21,0.6211
11,4289,2701,1,5,1,1.9678,1,115.2,0,0,0.0,1.0,0.0,6,1.0,18,2,4,277,0,0.009466,0.1446,74.0741,10,3.3,0.0803,0.0384,1,0,0,0,0.144578,0.015625,19,0.8919,1.9762,0.7668,6,2,10,757,1049,385,1.0,0.0,0,0,0,0.024096,0.025728,0.9366,1.0,1,0.5654,0.9401,20,0.4346
12,4274,2731,1,5,3,1.9279,0,110.0,0,0,0.0,1.0,0.0,10,1.0,21,6,3,313,0,0.008533,0.1028,89.1089,11,3.7,0.0681,0.0231,1,0,0,0,0.102804,0.015625,21,0.848,1.9949,0.7516,6,3,12,746,1034,399,1.0,0.0,0,0,0,0.037383,0.027521,1.3583,1.0,1,0.346,0.7872,18,0.654
13,4272,2794,2,5,3,1.9407,2,109.7,0,0,0.0,1.0,0.0,11,1.0,24,8,5,357,0,0.007436,0.0901,106.7961,12,3.7,0.0631,0.0216,1,0,0,0,0.135135,0.015625,24,0.8844,2.0039,0.731,6,3,15,738,1123,376,1.0,0.0,0,0,0,0.018018,0.026164,0.6887,1.0,1,0.4059,0.9162,21,0.5941
14,4268,2820,1,4,3,1.8586,2,110.0,0,0,0.0,1.0,0.0,21,1.0,34,18,8,441,0,0.005662,0.0682,127.2727,13,3.2,0.0355,0.0123,0,0,0,0,0.068182,0.015625,31,0.7708,2.0266,0.7085,11,2,21,761,1161,382,1.0,0.0,0,0,0,0.011364,0.02419,0.4698,1.0,1,0.3117,0.8421,24,0.6883
