seed,label_id,birth_window,death_window,lifespan,alive,phase_sig,n_core,last_social,last_stability,last_spread,last_familiarity,last_partners,last_st_mean,last_st_std,last_fam_max,last_att_nodes,trajectory_type,cognitive_id,became_ghost_w
21,0,1,29,29,False,0.8922,3,0.7391,0.6506,0.8074,7.5665,17,19.11,10.26,36.3974,595,social|stable|dead,0,29
21,86,19,25,7,False,1.846,2,0.36,0.644,0.7678,1.8579,9,6.19,3.42,6.4129,139,stable|focused_att|dead,86,25
21,87,19,20,2,False,3.0788,2,0.0,0.6646,0.7894,0.0,0,8.24,4.16,0.0,110,isolated|stable|focused_att|dead,87,20
21,88,19,24,6,False,-1.0146,2,0.25,0.599,0.699,2.7314,6,6.17,4.13,10.8627,120,stable|focused_att|dead,88,24
21,9,3,,37,True,1.4122,3,0.6786,0.6535,0.8464,15.1192,19,19.48,10.33,58.0874,419,social|stable|deep_conn,9,
21,24,6,29,24,False,-1.638,5,1.0,0.6548,0.8211,15.2469,23,43.66,23.01,46.3011,1766,social|stable|deep_conn|dead,24,29
21,27,7,,33,True,-2.7136,5,0.9286,0.6899,0.8637,30.495,26,48.4,21.76,496.6479,1791,social|stable|wide_att|deep_conn,27,
21,28,7,,33,True,1.687,5,0.9643,0.5685,0.8824,19.0285,27,56.8,43.11,54.5902,1881,social|stable|wide_att|deep_conn,28,
21,36,8,,32,True,-0.8528,4,0.8571,0.6671,0.8429,15.2743,24,36.84,18.39,55.5178,1179,social|stable|deep_conn,36,
21,44,9,,31,True,0.9429,5,0.7857,0.6735,0.8756,16.0722,22,53.88,26.12,51.2691,1672,social|stable|wide_att|deep_conn,44,
21,49,10,27,18,False,1.8251,2,0.28,0.7036,0.7805,1.0567,7,8.21,3.46,2.9097,174,stable|focused_att|dead,49,27
21,55,11,,29,True,2.8588,5,1.0,0.6723,0.8559,21.7975,28,56.96,27.76,96.8062,1951,social|stable|wide_att|deep_conn,55,
21,57,11,27,17,False,-0.675,2,0.28,0.611,0.7943,1.9819,7,6.17,3.93,6.5052,127,stable|focused_att|dead,57,27
21,71,14,26,13,False,-2.1559,3,0.6,0.6236,0.7967,4.8648,15,13.89,8.38,21.3758,392,social|stable|focused_att|dead,71,26
21,72,14,24,11,False,-1.2665,3,0.3333,0.6759,0.8138,8.806,8,17.22,8.26,27.6273,437,stable|dead,72,24
21,74,14,20,7,False,-3.1055,3,0.2632,0.6926,0.8622,11.2306,5,14.47,6.42,20.0199,254,stable|wide_att|deep_conn|dead,74,20
21,76,14,20,7,False,0.084,2,0.1053,0.6864,0.8241,28.9677,2,8.13,3.71,37.9156,112,isolated|stable|deep_conn|dead,76,20
21,77,15,30,16,False,0.5588,4,0.8333,0.6649,0.8768,12.0019,20,38.08,19.19,38.5653,1093,social|stable|wide_att|deep_conn|dead,77,30
21,79,16,,24,True,1.6038,5,0.9643,0.6575,0.8643,21.8691,27,58.51,30.48,96.8062,2069,social|stable|wide_att|deep_conn,79,
21,80,17,,23,True,2.6551,3,0.6429,0.6347,0.8576,4.4752,18,17.63,10.15,25.9193,463,social|stable|wide_att,80,
21,83,18,31,14,False,1.7166,5,0.875,0.6711,0.8542,14.583,21,56.79,27.83,60.5661,1883,social|stable|wide_att|deep_conn|dead,83,31
21,84,18,21,4,False,-3.1292,3,0.45,0.6173,0.7678,11.7286,9,18.49,11.47,42.2192,561,stable|focused_att|deep_conn|dead,84,21
21,95,20,22,3,False,-2.5686,3,0.2381,0.6546,0.8097,13.4478,5,18.51,9.77,20.5602,488,stable|deep_conn|dead,95,22
21,96,21,23,3,False,2.7654,2,0.0435,0.7078,0.7646,1.7755,1,5.8,2.4,1.7755,104,isolated|stable|focused_att|dead,96,23
21,97,23,25,3,False,1.2727,3,0.24,0.6397,0.7873,6.3934,6,14.14,7.97,11.6336,404,stable|focused_att|dead,97,25
21,98,24,,16,True,-2.5376,5,0.9286,0.7265,0.8561,24.5727,26,67.6,25.45,160.4247,2251,social|stable|wide_att|deep_conn,98,
21,99,26,28,3,False,-1.7873,3,0.3913,0.6678,0.8364,23.5632,9,18.58,9.24,55.6672,509,stable|deep_conn|dead,99,28
21,100,28,,12,True,-1.5001,3,0.75,0.6709,0.8289,7.2907,21,17.14,8.41,22.9427,458,social|stable,100,
21,101,28,32,5,False,-0.4865,3,0.5417,0.6477,0.7695,6.9061,13,14.48,7.88,25.9117,455,social|stable|focused_att|dead,101,32
21,102,28,29,2,False,3.1064,3,0.1304,0.6291,0.8321,13.9248,3,12.18,7.18,29.0877,226,isolated|stable|deep_conn|dead,102,29
21,103,29,,11,True,-0.338,5,0.9643,0.6144,0.8518,19.0811,27,52.3,32.83,52.742,1881,social|stable|wide_att|deep_conn,103,
21,104,30,,10,True,2.5409,5,0.8929,0.6894,0.8887,20.4948,25,69.54,31.33,59.5615,2148,social|stable|wide_att|deep_conn,104,
21,105,31,,9,True,0.8,4,0.8214,0.6287,0.8524,11.1588,23,28.78,16.99,28.5395,923,social|stable|wide_att|deep_conn,105,
21,106,31,36,6,False,2.5915,3,0.5385,0.6763,0.7758,5.7866,14,16.31,7.8,18.2297,488,social|stable|focused_att|dead,106,36
21,107,32,34,3,False,-1.0119,5,0.56,0.6233,0.8035,11.6352,14,38.67,23.37,30.2073,1595,social|stable|deep_conn|dead,107,34
21,108,32,34,3,False,0.8183,3,0.48,0.6899,0.8261,10.0179,12,17.1,7.69,34.9977,482,stable|deep_conn|dead,108,34
21,109,33,,7,True,-2.4596,5,0.8571,0.6472,0.8716,21.3727,24,58.29,31.77,160.4247,1826,social|stable|wide_att|deep_conn,109,
21,110,33,,7,True,-0.5642,5,0.8571,0.6904,0.844,25.2149,24,55.18,24.75,71.9861,1997,social|stable|deep_conn,110,
21,111,34,,6,True,-1.3442,5,0.8214,0.7009,0.8694,19.9418,23,64.91,27.7,61.9504,2077,social|stable|wide_att|deep_conn,111,
21,112,34,35,2,False,1.4113,5,0.5185,0.6899,0.8688,15.4286,14,56.22,25.27,45.7062,1634,social|stable|wide_att|deep_conn|dead,112,35
21,113,34,35,2,False,2.3399,4,0.3704,0.6619,0.8633,14.9531,10,27.01,13.79,34.6305,653,stable|wide_att|deep_conn|dead,113,35
21,114,36,,4,True,-1.3014,5,0.7143,0.6456,0.8605,20.9612,20,55.64,30.55,64.1675,1967,social|stable|wide_att|deep_conn,114,
21,115,36,,4,True,-1.0286,5,0.75,0.6974,0.8554,25.1862,21,51.16,22.19,51.3764,1866,social|stable|wide_att|deep_conn,115,
21,116,37,39,3,False,2.2238,3,0.3214,0.6374,0.826,10.8625,9,18.6,10.58,21.2749,541,stable|deep_conn|dead,116,39
21,117,37,39,3,False,2.1627,3,0.4643,0.69,0.8197,12.9485,13,18.38,8.26,25.7954,517,stable|deep_conn|dead,117,39
21,118,37,,3,True,-0.1984,3,0.2857,0.6696,0.7585,10.8609,8,11.46,5.66,42.8561,392,stable|focused_att|deep_conn,118,
21,119,38,39,2,False,1.8895,3,0.0714,0.6912,0.8506,13.3856,2,17.35,7.75,17.3149,350,isolated|stable|wide_att|deep_conn|dead,119,39
21,120,39,,0,True,-2.4809,3,0,0,0,0,0,0,0,0,0,isolated|focused_att,120,
