seed,window,rate,n_C,r_000,r_001,r_010,r_011,r_100,r_101,r_110,r_111,bd_0,bd_1,sz_0,sz_1,f_0,f_1,intr_0,intr_1,intr_2p,cp_full_types,cp_full_entropy
7,1,0.0,115,102,3,0,5,0,0,0,5,108,7,115,0,62,53,115,0,0,10,1.7077
7,2,0.0,63,54,3,0,2,0,0,0,4,58,5,63,0,35,28,63,0,0,9,1.8245
7,3,0.0,23,20,1,0,1,0,0,0,1,23,0,22,1,12,11,23,0,0,5,1.6097
7,4,0.0,9,3,2,0,1,0,0,0,3,5,4,9,0,3,6,9,0,0,5,2.1972
7,5,0.0,16,13,0,0,1,0,0,0,2,14,2,16,0,10,6,16,0,0,5,1.7744
7,6,0.0,16,9,0,0,3,0,0,0,4,10,6,14,2,9,7,16,0,0,8,2.6494
7,7,0.0,22,15,7,0,0,0,0,0,0,22,0,22,0,11,11,22,0,0,4,1.8955
7,8,0.0,12,11,0,0,1,0,0,0,0,11,1,12,0,8,4,12,0,0,3,1.1887
7,9,0.0,5,2,0,0,2,0,0,0,1,2,3,5,0,1,4,5,0,0,4,1.9219
7,10,0.0,7,6,1,0,0,0,0,0,0,7,0,7,0,3,4,7,0,0,3,1.4488
7,11,0.0,17,14,1,0,0,0,0,0,2,17,0,17,0,9,8,17,0,0,4,1.6087
7,12,0.0,22,18,3,0,1,0,0,0,0,21,1,22,0,12,10,22,0,0,4,1.6497
7,13,0.0,13,12,1,0,0,0,0,0,0,13,0,13,0,5,8,13,0,0,3,1.2957
7,14,0.0,23,13,7,0,2,0,0,0,1,21,2,23,0,11,12,23,0,0,7,2.4403
7,15,0.0,15,14,0,0,1,0,0,0,0,14,1,15,0,6,9,15,0,0,3,1.2729
7,16,0.0,15,9,4,0,1,0,0,0,1,13,2,15,0,10,5,15,0,0,5,2.0226
7,17,0.0,13,11,2,0,0,0,0,0,0,13,0,13,0,4,9,13,0,0,4,1.4885
7,18,0.0,15,12,0,0,3,0,0,0,0,13,2,15,0,9,6,15,0,0,4,1.7056
7,19,0.0,21,12,2,0,5,0,0,0,2,16,5,21,0,11,10,21,0,0,7,2.439
7,20,0.0,22,19,0,0,3,0,0,0,0,19,3,22,0,10,12,22,0,0,3,1.4365
7,21,0.0,14,9,2,0,1,0,0,0,2,13,1,14,0,7,7,14,0,0,5,2.121
7,22,0.0,18,17,1,0,0,0,0,0,0,18,0,18,0,6,12,18,0,0,3,1.1942
7,23,0.0,11,6,4,0,0,0,0,0,1,10,1,11,0,5,6,11,0,0,5,1.9717
7,24,0.0,6,3,0,0,2,0,0,0,1,4,2,5,1,3,3,6,0,0,4,1.7925
7,25,0.0,26,20,2,0,1,0,0,0,3,23,3,24,2,16,10,26,0,0,8,2.0944
