trajectory_class,n_cids_total_24seeds,ratio,n_cids_mean_per_seed
few_attractors,2075,0.3972052067381317,86.45833333333333
stable_atom,1888,0.3614088820826952,78.66666666666667
wandering,1261,0.24138591117917305,52.541666666666664
