seed,win,tri,bnd_links,ent,n_br,persist_br,br_max,gk,div,A_isl,A_drift_bnd,A_drift_near,A_drift_deep,A_erosion_d,A_core_pres,A_bnd_k,B_isl,B_drift_bnd,B_drift_near,B_drift_deep,B_erosion_d,B_core_pres,B_bnd_k,C_isl,C_drift_bnd,C_drift_near,C_drift_deep,C_erosion_d,C_core_pres,C_bnd_k
7,1,0,2187,1.5845,3,0,1,0,0,0,1.535324,1.507988,0.705856,4,0.4,2.07,0,1.590911,1.50373,0.631308,3,0.0,2.03,0,1.539619,1.618582,1.603663,3,0.0,1.98
7,2,0,2055,1.5836,1,0,1,3,1,0,1.575675,1.447277,1.115179,4,0.0,1.88,0,1.577921,1.572259,1.116346,4,0.0,1.89,0,1.540524,1.511062,1.377515,4,0.0,1.92
7,3,0,2012,1.581,2,0,1,3,1,0,1.581165,1.557874,2.023264,3,0.0,1.86,0,1.603335,1.541881,0,2,1.0,1.89,0,1.554966,1.713439,1.957568,4,0.0,1.86
7,4,0,2025,1.5833,3,0,1,3,1,0,1.520619,1.49698,0.24083,4,0.0,1.84,0,1.54731,1.584567,1.145133,4,0.0,1.88,0,1.597313,1.621222,1.249057,4,0.0,1.89
7,5,1,2070,1.553,5,0,1,3,1,0,1.568612,1.534558,1.712747,3,0.0,1.86,0,1.520647,1.607873,1.959184,3,0.0,1.87,0,1.608949,1.710853,1.477887,4,0.0,1.93
7,6,0,2071,1.5577,6,0,1,3,1,0,1.592634,1.514019,2.137023,4,0.0,1.85,0,1.635042,1.667634,1.52028,3,0.0,1.85,0,1.581165,1.532217,1.873143,4,0.0,1.86
7,7,0,2067,1.5564,2,0,1,4,0,0,1.616523,1.5682,0.93589,3,0.0,1.9,0,1.599864,1.61237,1.155204,3,0.0,1.91,0,1.534115,1.532749,1.048563,3,0.0,1.91
7,8,0,2059,1.5516,2,0,1,3,1,0,1.565964,1.548008,0.67663,3,0.0,1.93,0,1.56708,1.595698,1.763236,4,0.0,1.87,0,1.526648,1.596111,2.971218,3,0.0,1.78
7,9,0,2098,1.4949,5,0,1,4,0,0,1.573277,1.569756,0,2,1.0,1.92,0,1.61776,1.603925,1.506707,3,0.0,1.88,0,1.578919,1.582934,1.035565,3,0.0,1.91
7,10,0,2011,1.4531,9,0,1,4,0,0,1.547925,1.768049,1.163163,3,0.0,1.88,0,1.558543,1.510226,2.021019,3,0.0,1.83,0,1.533865,1.619345,1.11147,4,0.0,1.86
7,11,0,2075,1.5613,5,0,1,1,1,0,1.494484,1.654367,1.536526,3,0.0,1.88,0,1.629881,1.50984,2.25718,3,0.0,1.87,0,1.546963,1.565437,1.39888,3,0.0,1.89
7,12,0,1985,1.5488,7,0,1,4,0,0,1.531117,1.505164,2.859321,3,0.0,1.91,0,1.578853,1.573898,2.564662,3,0.0,1.89,0,1.611954,1.602875,2.330683,4,0.0,1.86
7,13,0,2108,1.5656,5,0,1,4,0,0,1.587153,1.717628,0.928047,3,0.0,1.92,0,1.535263,1.470154,1.023595,3,0.0,1.87,0,1.568189,1.629876,1.325809,4,0.1667,1.85
7,14,0,2049,1.579,5,0,1,4,0,0,1.574674,1.354229,1.875917,3,0.0,1.82,0,1.530886,1.710519,1.537184,4,0.0,1.83,0,1.59891,1.577235,1.118716,6,0.0,1.85
7,15,0,2083,1.4158,1,0,1,3,1,0,1.579255,1.511703,1.172482,3,0.0,1.97,0,1.583389,1.548895,1.947336,3,0.0,1.93,0,1.600717,1.565778,2.313836,4,0.0,1.87
7,16,0,1989,1.5494,2,0,1,3,1,0,1.559374,1.635061,1.335209,4,0.0,1.83,0,1.621152,1.547572,0.379679,3,0.0,1.89,0,1.564334,1.596605,0.96283,3,0.0,1.84
7,17,0,2007,1.5627,1,0,1,4,0,0,1.543598,1.606676,0.985068,3,0.0,1.9,0,1.56673,1.681431,1.984391,3,0.0,1.84,0,1.568358,1.586447,1.701411,4,0.0,1.9
7,18,0,2018,1.571,3,0,1,4,0,0,1.552283,1.564916,1.419342,3,0.0,1.9,0,1.553133,1.553452,1.321525,3,0.0,1.89,0,1.619306,1.57495,1.830416,3,0.25,1.93
7,19,0,2058,1.5292,0,0,0,4,0,0,1.594648,1.511772,2.017677,4,0.0,1.84,0,1.558402,1.718014,0.651265,3,0.0,1.87,0,1.521573,1.637754,0.616837,3,0.0,1.84
7,20,0,1915,1.5589,3,0,1,4,0,0,1.521054,1.557261,0.480776,3,0.0,1.83,0,1.56006,1.512626,1.502857,5,0.0,1.86,0,1.615969,1.761828,2.499807,3,0.0,1.84
7,21,0,2070,1.5677,4,0,1,1,1,0,1.594922,1.609775,1.131258,4,0.1667,1.86,1,1.580428,1.592427,0.015701,2,1.0,1.89,0,1.561671,1.70486,1.837967,3,0.0,1.93
7,22,0,2051,1.534,15,0,1,3,1,1,1.572166,1.51634,1.397465,4,0.0,1.88,0,1.612428,1.625006,0.620655,3,0.0,1.85,0,1.578091,1.477056,0,2,1.0,1.88
7,23,0,2109,1.5157,1,0,1,4,0,0,1.597666,1.57545,1.032645,4,0.0,1.96,0,1.606041,1.649111,1.917775,3,0.0,1.89,0,1.608937,1.56337,0,2,1.0,1.9
7,24,1,2153,1.5833,6,0,1,1,1,0,1.561159,1.514111,1.638855,3,0.0,1.87,0,1.52503,1.630836,2.066164,3,0.0,1.87,0,1.567314,1.461606,2.123613,4,0.0,1.9
7,25,0,2041,1.544,10,0,1,4,0,0,1.578309,1.634657,1.585567,5,0.0,1.87,1,1.516364,1.670163,0,2,1.0,1.88,0,1.559094,1.61411,2.137101,3,0.0,1.9
