seed,window,e_0_1_count,e_0_1_weight,e_0_2_count,e_0_2_weight,e_0_3_count,e_0_3_weight,e_1_2_count,e_1_2_weight,e_1_3_count,e_1_3_weight,e_2_3_count,e_2_3_weight
789,1,434,11.9493,415,11.9937,413,12.3004,363,9.9838,409,11.7527,407,11.9556
789,2,376,9.6,427,12.5095,418,11.8352,415,11.1518,398,11.2852,387,10.7813
789,3,346,9.2589,436,12.1067,382,10.1818,405,10.9978,378,10.5982,355,9.3883
789,4,419,10.747,416,11.565,397,11.5203,371,10.0343,392,11.2624,387,11.6792
789,5,421,11.6222,396,10.2904,397,11.1931,383,10.7924,378,10.5889,359,10.7197
789,6,397,10.4913,425,10.6918,356,10.7501,391,10.367,403,10.7753,375,10.1344
789,7,438,11.4479,396,10.8006,381,10.4658,384,10.6673,366,10.7082,370,9.9659
789,8,398,10.4385,401,10.668,379,10.6522,404,11.1578,388,10.3259,345,9.3049
789,9,378,10.1499,390,10.1726,370,9.5046,383,10.3957,345,9.3336,352,9.7028
789,10,404,11.0773,398,10.7878,374,10.7087,350,9.5095,362,10.676,354,9.8028
789,11,430,12.3153,455,12.0038,407,11.0285,383,10.4431,379,10.5482,390,10.8109
789,12,373,10.2208,442,12.1523,356,9.903,398,11.2813,358,9.6901,373,9.9108
789,13,394,10.0746,412,12.337,356,10.1056,345,10.1817,365,10.174,323,9.3907
789,14,410,10.8485,398,10.7511,385,10.4452,394,10.7863,367,9.4957,357,9.8016
789,15,368,10.0818,421,11.815,382,10.7368,358,9.8473,410,10.9287,360,9.4333
789,16,397,10.5529,398,10.7286,393,10.2323,343,9.1914,356,9.4026,345,9.2729
789,17,380,10.4324,410,11.3141,374,10.1535,410,11.3435,355,10.2236,363,10.6498
789,18,407,11.0709,408,13.0765,395,10.8004,373,11.0699,399,10.4878,358,9.5892
789,19,408,11.9264,384,10.5901,377,13.0675,396,10.7174,362,9.6785,344,9.3192
789,20,400,11.3573,399,10.8875,429,13.024,438,11.8478,336,8.7469,394,11.0123
789,21,380,10.2168,405,11.316,366,9.7465,367,10.0051,377,10.4742,353,9.9932
789,22,389,11.4415,431,11.4854,368,12.0795,384,10.3873,351,10.0065,381,9.7268
789,23,401,10.4816,399,10.0588,335,8.9467,360,10.3221,358,10.0267,343,9.3889
789,24,400,10.9553,414,11.3873,356,10.0521,422,11.7834,374,9.891,343,9.7708
789,25,394,11.1616,417,11.6842,389,11.07,392,11.1284,355,9.9149,370,11.216
