seed,window,e_0_1_count,e_0_1_weight,e_0_2_count,e_0_2_weight,e_0_3_count,e_0_3_weight,e_1_2_count,e_1_2_weight,e_1_3_count,e_1_3_weight,e_2_3_count,e_2_3_weight
13,1,400,10.4527,424,12.4713,395,10.7002,380,10.3124,411,11.2335,365,10.5316
13,2,396,11.4696,396,11.1786,385,10.622,366,9.4126,390,10.5593,344,10.1731
13,3,398,10.9867,367,10.8163,390,10.567,399,11.0378,348,9.4827,365,11.1219
13,4,405,11.758,408,12.0223,375,10.1435,360,9.3296,393,10.9912,369,10.6439
13,5,436,12.187,442,12.1137,414,11.8177,371,9.6991,380,10.1316,382,10.7609
13,6,383,10.8128,398,11.227,397,10.3996,374,10.892,391,10.7819,398,11.478
13,7,415,11.403,383,10.6997,394,11.4778,371,9.7763,309,8.3266,391,11.1847
13,8,364,10.7678,398,10.8781,368,11.0032,363,10.3297,376,10.5598,386,9.9974
13,9,390,12.1495,353,11.1069,389,10.5918,400,11.2005,344,10.2119,395,10.8007
13,10,418,12.0244,397,10.8636,351,9.7533,386,11.0821,406,11.2041,373,9.9739
13,11,387,9.9544,408,11.0843,387,10.9908,399,11.7402,353,9.011,357,10.5323
13,12,400,11.2017,401,11.0117,390,12.2646,391,10.549,352,10.3978,361,10.6658
13,13,375,10.02,429,11.5544,411,11.1449,362,9.8474,364,10.5147,356,10.124
13,14,389,10.8993,425,12.2218,404,12.1006,370,9.7802,347,9.0154,371,10.5105
13,15,398,12.8171,410,11.3178,359,9.1283,381,10.6445,374,10.7277,369,9.9737
13,16,396,11.1772,405,11.7092,367,10.0219,387,10.9062,366,11.251,397,11.8402
13,17,407,11.5473,405,11.2854,392,11.294,373,10.4313,377,11.2616,346,10.2839
13,18,408,12.3057,389,11.1905,393,10.4943,385,10.9207,353,9.4648,354,9.6323
13,19,441,11.9877,381,10.9236,372,10.1618,383,10.7629,343,9.2831,374,10.6686
13,20,418,11.2466,416,10.9066,377,9.9342,391,10.8835,327,10.5554,373,10.4654
13,21,398,11.1355,409,11.1082,357,10.7941,380,10.7948,359,10.058,340,9.3217
13,22,381,11.8254,398,10.3623,368,10.0218,416,11.1084,353,9.5889,351,10.1243
13,23,378,11.2244,384,10.4101,390,10.0376,394,10.9594,365,10.4449,373,10.2449
13,24,422,11.4608,407,11.4384,344,9.2844,394,12.0655,364,10.8932,357,8.984
13,25,389,10.4973,453,12.9106,379,10.4106,341,8.8228,340,8.7267,353,11.0276
