seed,window,step,global_k,global_n_C,r0_k,r0_n_C,r0_none,r0_valid,r0_switch,r1_k,r1_n_C,r1_none,r1_valid,r1_switch,r2_k,r2_n_C,r2_none,r2_valid,r2_switch,r3_k,r3_n_C,r3_none,r3_valid,r3_switch,divergence_flag
42,1,500,0,2573,0,669,0.991,True,0,0,674,0.9911,True,0,0,628,0.9936,True,0,0,602,0.995,True,0,0
42,2,700,0,735,4,198,1.0,True,1,0,196,0.9847,True,0,4,189,1.0,True,1,0,152,0.9868,True,0,1
42,3,900,0,93,3,23,0.8696,True,1,3,25,0.88,True,1,4,29,1.0,True,0,1,16,1.0,True,1,1
42,4,1100,3,25,3,5,1.0,True,0,3,8,1.0,True,0,4,7,1.0,True,0,0,5,1.0,True,1,1
42,5,1300,4,35,4,15,1.0,True,1,3,1,1.0,False,0,4,12,1.0,True,0,4,7,1.0,True,1,1
42,6,1500,4,27,4,12,0.75,True,0,3,4,0.25,False,0,4,6,0.8333,True,0,4,5,0.6,True,0,1
42,7,1700,4,36,4,11,0.8182,True,0,3,10,1.0,True,0,4,9,0.7778,True,0,4,6,1.0,True,0,1
42,8,1900,4,43,4,10,0.9,True,0,3,11,1.0,True,0,4,14,0.8571,True,0,4,8,0.75,True,0,1
42,9,2100,4,23,4,8,1.0,True,0,3,2,1.0,False,0,4,6,1.0,True,0,4,7,1.0,True,0,1
42,10,2300,4,49,4,10,0.9,True,0,4,13,0.9231,True,1,4,14,0.9286,True,0,4,12,0.8333,True,0,0
42,11,2500,4,51,4,11,1.0,True,0,4,13,1.0,True,0,4,12,0.9167,True,0,4,15,0.9333,True,0,0
42,12,2700,4,40,4,9,0.8889,True,0,4,8,0.875,True,0,4,14,0.7143,True,0,4,9,1.0,True,0,0
42,13,2900,4,22,4,3,1.0,False,0,4,7,1.0,True,0,4,6,1.0,True,0,4,6,1.0,True,0,0
42,14,3100,4,25,4,5,1.0,True,0,4,6,1.0,True,0,4,7,1.0,True,0,4,7,1.0,True,0,0
42,15,3300,4,27,4,4,0.75,False,0,4,6,1.0,True,0,4,10,1.0,True,0,4,7,0.5714,True,0,0
42,16,3500,4,35,4,7,0.7143,True,0,4,6,0.8333,True,0,4,10,0.8,True,0,4,12,0.9167,True,0,0
42,17,3700,4,27,4,9,0.7778,True,0,4,6,1.0,True,0,4,6,0.8333,True,0,4,6,0.8333,True,0,0
42,18,3900,4,34,4,9,1.0,True,0,4,7,1.0,True,0,4,8,1.0,True,0,4,10,1.0,True,0,0
42,19,4100,4,32,4,11,1.0,True,0,4,6,1.0,True,0,4,8,0.75,True,0,4,7,1.0,True,0,0
42,20,4300,0,35,4,13,1.0,True,0,4,4,0.75,False,0,4,12,0.9167,True,0,4,6,1.0,True,0,1
42,21,4500,1,32,4,10,1.0,True,0,4,10,1.0,True,0,4,7,0.8571,True,0,4,5,0.8,True,0,1
42,22,4700,4,32,4,8,1.0,True,0,4,10,1.0,True,0,4,10,1.0,True,0,4,4,0.75,False,0,0
42,23,4900,4,24,4,9,1.0,True,0,4,5,1.0,True,0,4,7,1.0,True,0,4,3,1.0,False,0,0
42,24,5100,4,17,4,7,1.0,True,0,4,5,1.0,True,0,4,3,1.0,False,0,4,2,1.0,False,0,0
42,25,5300,4,26,4,7,1.0,True,0,4,5,1.0,True,0,4,7,1.0,True,0,4,7,1.0,True,0,0
