seed,from,to,familiarity
30,0,98,1.0829
30,0,141,1.4191
30,0,53,3.3558
30,0,110,11.7529
30,0,44,15.0966
30,0,83,23.0871
30,0,32,25.6781
30,0,45,6.4648
30,0,1,6.4584
30,0,97,5.9484
30,0,179,3.5752
30,0,180,4.3483
30,0,124,6.7475
30,0,54,12.2408
30,0,171,29.5236
30,0,79,18.4424
30,0,103,1.6541
30,0,172,49.1412
30,0,63,4.3064
30,0,189,2.0192
30,0,168,2.6825
30,0,195,28.4488
30,0,197,7.5855
30,0,198,7.8654
30,1,98,7.4182
30,1,103,17.2322
30,1,110,13.0149
30,1,45,12.9627
30,1,44,28.4681
30,1,93,0.6718
30,1,83,12.6704
30,1,32,17.7832
30,1,79,7.7097
30,1,168,31.1116
30,1,0,6.4584
30,1,63,0.6615
30,1,171,18.8516
30,1,177,3.9515
30,1,104,7.3957
30,1,97,61.7845
30,1,141,15.24
30,1,193,0.7462
30,1,191,0.719
30,1,124,0.6294
30,1,195,28.4192
30,1,54,9.6337
30,1,199,9.2089
30,32,63,5.5349
30,32,83,31.4031
30,32,93,2.17
30,32,104,15.9219
30,32,141,15.3186
30,32,44,16.5586
30,32,97,3.4447
30,32,103,21.2909
30,32,98,1.543
30,32,0,25.6781
30,32,1,17.7832
30,32,54,1.1222
30,32,168,6.1661
30,32,171,2.2102
30,32,79,4.4231
30,32,172,14.639
30,32,180,0.7484
30,32,179,1.6355
30,32,193,1.9564
30,32,195,29.5298
30,32,197,13.9391
30,32,198,8.499
30,32,199,14.2137
30,168,97,19.1431
30,168,45,22.8887
30,168,0,2.6851
30,168,104,1.0846
30,168,79,13.0422
30,168,141,3.6763
30,168,63,10.2185
30,168,83,3.1687
30,168,1,31.1116
30,168,98,3.9159
30,168,32,6.1668
30,168,171,21.1369
30,168,172,0.5204
30,168,177,1.959
30,168,191,1.1513
30,168,195,19.9237
30,168,193,2.7042
30,168,189,0.8346
30,168,180,0.5845
30,168,198,9.2277
30,171,168,21.1369
30,171,83,55.5762
30,171,79,6.4101
30,171,1,18.8516
30,171,103,5.133
30,171,45,31.9708
30,171,44,10.9378
30,171,54,1.0986
30,171,98,2.3364
30,171,32,2.2102
30,171,177,1.2279
30,171,180,0.5359
30,171,0,29.5236
30,171,172,8.0877
30,171,141,5.4349
30,171,179,1.1094
30,171,124,4.9786
30,171,97,0.9798
30,171,53,1.4771
30,171,63,8.9228
30,171,189,1.7055
30,171,104,16.5482
30,171,197,1.7272
30,171,195,30.1624
30,44,45,19.0774
30,44,63,12.231
30,44,32,16.5586
30,44,103,10.9301
30,44,97,19.4543
30,44,93,0.6261
30,44,98,3.7357
30,44,1,28.4681
30,44,124,5.3411
30,44,54,4.4759
30,44,104,9.42
30,44,83,14.4219
30,44,0,15.0966
30,44,53,26.2138
30,44,110,26.8876
30,44,79,0.7001
30,44,141,2.7385
30,44,171,10.9378
30,44,179,0.8841
30,44,172,52.3658
30,44,177,5.164
30,44,197,0.8052
30,45,44,21.361
30,45,104,52.7274
30,45,32,2.7801
30,45,103,23.7743
30,45,83,6.5879
30,45,63,26.5492
30,45,54,11.042
30,45,98,1.1145
30,45,97,47.1509
30,45,141,11.7325
30,45,1,36.9526
30,45,79,46.7977
30,45,53,19.8713
30,45,124,1.3081
30,45,93,1.5533
30,45,168,24.8027
30,45,110,23.8618
30,45,0,20.4544
30,45,171,37.95
30,45,172,20.8416
30,45,193,0.8639
30,45,195,75.397
30,45,177,0.9621
30,45,179,6.6563
30,45,197,28.7542
30,45,199,30.3105
30,45,198,6.3495
30,172,63,1.4376
30,172,103,1.0336
30,172,32,14.639
30,172,180,15.0336
30,172,79,11.0324
30,172,54,8.8345
30,172,44,52.3658
30,172,83,5.1454
30,172,97,39.8801
30,172,168,0.5204
30,172,53,5.9001
30,172,104,17.0198
30,172,171,8.0877
30,172,0,49.1412
30,172,110,26.4813
30,172,45,7.5854
30,172,191,0.5857
30,172,189,0.7694
30,172,193,0.8124
30,172,195,44.1282
30,172,199,27.7982
30,172,197,7.8337
30,172,198,2.994
30,53,44,26.6107
30,53,79,0.7852
30,53,141,61.3991
30,53,93,2.7363
30,53,124,4.4445
30,53,97,25.2813
30,53,103,25.7612
30,53,0,4.9457
30,53,1,1.8984
30,53,98,1.2427
30,53,83,41.8942
30,53,45,19.8713
30,53,104,2.1303
30,53,63,13.7548
30,53,54,21.9517
30,53,168,0.6404
30,53,110,2.5214
30,53,179,4.35
30,53,172,6.0229
30,53,171,3.2911
30,53,189,3.9152
30,53,177,3.588
30,53,191,1.2948
30,53,180,6.8563
30,53,193,2.5977
30,53,195,35.3977
30,53,197,43.8344
30,53,199,12.7968
30,53,198,5.7877
30,63,32,5.5349
30,63,93,0.7059
30,63,44,12.231
30,63,45,26.0367
30,63,97,19.8587
30,63,54,12.5169
30,63,141,8.3927
30,63,98,9.3382
30,63,168,10.2185
30,63,79,24.6785
30,63,1,0.6615
30,63,53,7.9958
30,63,172,1.4376
30,63,177,10.1142
30,63,186,0.7967
30,63,171,8.9228
30,63,83,40.2736
30,63,0,4.3064
30,63,191,0.8106
30,63,189,1.5816
30,63,179,5.9802
30,63,195,56.3392
30,63,197,3.3561
30,63,199,16.1423
30,63,198,4.5668
30,63,104,9.4287
30,195,168,27.508
30,195,172,44.1781
30,195,45,75.397
30,195,79,20.6663
30,195,189,1.5818
30,195,97,20.3171
30,195,53,35.3977
30,195,83,5.4729
30,195,0,29.6509
30,195,32,50.937
30,195,44,20.6533
30,195,1,34.9396
30,195,63,65.2286
30,195,171,35.0965
30,195,98,9.5399
30,195,54,10.5484
30,195,103,7.1359
30,195,180,1.921
30,195,141,25.5857
30,195,104,39.9985
30,195,110,8.7232
30,195,197,25.8544
30,195,198,26.8065
30,197,45,28.7542
30,197,103,59.4786
30,197,54,16.4487
30,197,180,4.1224
30,197,110,10.6829
30,197,63,16.7389
30,197,179,1.813
30,197,171,1.7272
30,197,0,11.7455
30,197,141,8.9078
30,197,104,8.4707
30,197,44,0.8052
30,197,195,25.8544
30,197,79,6.2518
30,197,32,18.6957
30,197,53,43.8344
30,197,97,24.8023
30,197,172,35.8391
30,197,199,11.2182
30,197,1,2.7099
30,197,198,5.9641
30,197,83,12.2181
30,198,141,4.9113
30,198,97,12.1254
30,198,54,24.463
30,198,110,14.5076
30,198,103,12.0811
30,198,32,12.3692
30,198,79,37.9957
30,198,63,4.5668
30,198,104,2.2857
30,198,172,13.1295
30,198,199,16.7477
30,198,195,26.8065
30,198,45,6.3495
30,198,168,9.2277
30,198,1,14.2247
30,198,0,7.8654
30,198,53,5.7877
30,198,197,5.9641
30,199,110,24.5997
30,199,103,2.2206
30,199,63,16.1423
30,199,172,27.7982
30,199,97,22.1276
30,199,198,16.7477
30,199,197,7.5673
30,199,1,9.2089
30,199,104,6.3401
30,199,32,14.2137
30,199,45,20.0983
30,79,97,6.0398
30,79,110,18.8485
30,79,45,42.9878
30,79,168,13.0422
30,79,83,30.8189
30,79,1,7.7097
30,79,63,24.6785
30,79,44,0.7001
30,79,171,6.4101
30,79,32,4.4231
30,79,172,11.0324
30,79,141,10.1938
30,79,54,0.7877
30,79,0,18.4424
30,79,180,3.1651
30,79,189,0.9564
30,79,193,0.8935
30,79,195,19.9686
30,79,198,37.9957
30,83,97,5.8216
30,83,32,31.4031
30,83,45,6.5555
30,83,53,40.6217
30,83,98,1.6395
30,83,44,14.4219
30,83,0,23.0871
30,83,1,12.6704
30,83,124,4.1348
30,83,141,4.1918
30,83,103,2.1861
30,83,79,30.8189
30,83,168,3.1601
30,83,171,55.5762
30,83,110,4.1467
30,83,179,5.3772
30,83,172,5.1454
30,83,63,40.2736
30,83,54,14.245
30,83,191,1.2411
30,83,195,4.7986
30,83,197,12.2181
30,97,83,15.5903
30,97,32,3.5481
30,97,124,3.1507
30,97,79,6.2502
30,97,45,47.1509
30,97,104,7.0893
30,97,53,25.2813
30,97,93,1.1321
30,97,103,13.5237
30,97,98,7.5048
30,97,141,18.6871
30,97,44,24.8574
30,97,0,6.3808
30,97,168,19.8877
30,97,63,29.9543
30,97,110,2.157
30,97,1,62.9278
30,97,177,7.6388
30,97,172,46.1887
30,97,179,1.2068
30,97,180,2.1485
30,97,171,6.0451
30,97,193,1.4764
30,97,191,0.7227
30,97,195,20.3171
30,97,198,12.1254
30,97,197,24.8023
30,97,199,22.1276
30,103,45,23.7743
30,103,1,17.2472
30,103,141,55.7487
30,103,63,12.9052
30,103,98,1.7676
30,103,124,1.0885
30,103,53,25.7612
30,103,97,13.5237
30,103,54,28.6965
30,103,83,5.0845
30,103,32,22.2433
30,103,44,12.8436
30,103,110,21.3777
30,103,104,2.908
30,103,93,1.2537
30,103,79,5.8281
30,103,171,5.1762
30,103,177,0.7669
30,103,172,8.0861
30,103,168,2.336
30,103,180,2.2912
30,103,179,2.2028
30,103,0,19.7074
30,103,189,2.33
30,103,193,0.9053
30,103,195,7.1359
30,103,197,59.4786
30,103,199,6.0332
30,103,198,12.0811
30,104,97,5.146
30,104,44,9.0663
30,104,53,0.9126
30,104,93,0.7226
30,104,98,5.8374
30,104,141,11.9227
30,104,193,0.5282
30,104,189,0.5041
30,104,124,1.216
30,104,195,39.9985
30,104,1,4.5565
30,104,197,1.3393
30,104,172,16.9889
30,104,63,9.4287
